,section,news_title,link_url
0,헤드라인,"“노바백스 도입 안 돼도 올해 접종 차질 없어”…렘데시비르, 변이 11종 모두 효과",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=056&aid=0011096795
1,헤드라인,"'폭염 속 사투' 소방관 격려...文 ""소방관 안전도 중요""",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001624085
2,헤드라인,"롯데쇼핑, 2분기 영업익 76억…""송도롯데몰 세금 일시적 반영""(종합)",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=277&aid=0004950004
3,헤드라인,“자영업자 목소리가 불법이면 거리에 나앉아 죽으란거냐” 자영업 비대위 대표 경찰 소환,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=023&aid=0003631987
4,헤드라인,"카카오, 또 최대 실적…여민수 공동대표 “구독 생태계 확장”",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=005&aid=0001462628
5,정치,"홍준표 “朴 전 대통령 잡아 넣은 윤석열, TK서 '압도적 지지' 기가 막혀”",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=469&aid=0000622270
6,정치,“지도부가 주인공 아니다”…제동 걸린 이준석표 경선,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=449&aid=0000212977
7,정치,최재형 “박근혜 즉각 사면해야”…윤석열 ‘화법 교정’,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=449&aid=0000212976
8,정치,‘北 지령받고 美스텔스기 반대’ 4명에 간첩죄 혐의 적용… 野 “文대통령 해명하라”,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003607745
9,정치,"'전과 공방' 진흙탕 싸움 …이재명 ""李 공개할 차례"" 이낙연측 ""적반하장""",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=421&aid=0005527649
10,경제,"""2.6억 아파트, 주담대 6억까지""…금융당국 뒷짐 진 사이 대출 시장 '대혼란'",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=469&aid=0000622267
11,경제,상장 첫 날 상한가 친 카뱅…임직원 총 평가차익 '5700억',https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=008&aid=0004627722
12,경제,40~50대 위중증 환자 급증…노바백스 도입 빨간불,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=449&aid=0000212972
13,경제,내년 외항선 LNG 수입부과금 면제…선박 주유소 ‘LNG 벙커링’ 키운다,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=366&aid=0000752589
14,경제,"[美친주] 모더나, 호실적에도 주가 빠진 이유… 백신 판매량 때문?",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=417&aid=0000722770
15,사회,경남 확진자 127명 추가 발생 … 유흥주점·요양병원·대형마트 감염 속출(종합2보),https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=277&aid=0004950060
16,사회,첫 확진 뒤 12일간 추가…금산 아동시설 26명 집단감염,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=437&aid=0000273136
17,사회,"‘K 백신 허브’ 외쳤건만, 노바백스 미국에서 신청 연기",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=469&aid=0000622266
18,사회,30대 女보육교사 화이자 2차접종 다음날 숨져… “인과성 조사 중”,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=023&aid=0003632061
19,사회,"[주진우 라이브] 중수본 “4단계 해도 확진자 줄어들지 않는 이유…델타 변이 빠른 전파력·줄지 않는 이동량 때문, 전체적 안정화에는 시간 걸릴 것”",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=056&aid=0011096889
20,생활/문화,[날씨] 주말 '35도 안팎' 폭염 지속…내륙 강한 소나기,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=103&oid=214&aid=0001140451
21,생활/문화,"칼슘, 비타민D...슬기로운 갱년기를 위한 비결",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=103&oid=296&aid=0000051195
22,생활/문화,마을 앞바다 해저 보물선을 찾아라,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=103&oid=028&aid=0002555734
23,생활/문화,"김연경, 무슨 말이 필요해? 모두 널 작품이라고 불러",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=103&oid=028&aid=0002555732
24,생활/문화,[날씨] 주말이 열대야·무더위 고비...내주 기세 꺾인다,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=103&oid=052&aid=0001624082
25,세계,일본 신규 확진자 1만 5645명…누적 확진자 100만 명 넘어,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=104&oid=015&aid=0004588724
26,세계,"불붙는 미중 '백신외교' 경쟁... 美 ""1억1000만분 기부"" vs 中 ""20억회분 공급""",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=104&oid=469&aid=0000622269
27,세계,2만8000년 전 ‘동굴사자’ 미라 발견…손상 없이 완벽 보존,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=104&oid=020&aid=0003374664
28,세계,"WSJ ""中 '빅테크 때리기' 속 메이퇀에 벌금 10억달러 부과""",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=104&oid=015&aid=0004588723
29,세계,일본 코로나19 누적 확진자 100만명 넘었다,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=104&oid=032&aid=0003090347
30,IT/과학,"[르포] '메타버스'로 열린 정부 행사…""안 보여요, 안 들려요"" 아우성",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=421&aid=0005527631
31,IT/과학,[이주의 바이오 키워드] #백신 양극화 #백신 가격인상 #백신 강국,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=243&aid=0000015118
32,IT/과학,시중銀 방치 '56억 예금' 끌어안은 카카오뱅크…1조 포식하나,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000035870
33,IT/과학,"""이러다 가상 인간끼리 연애 할라""…로지 김래아 열풍에 꽃미남 버전 나온다",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=009&aid=0004835012
34,IT/과학,"“올해 백신 주문 더 안받아요”…모더나, 콧대 높을 만 했다",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000752585
