,prd_name,price,sale_price
0,Isntree Hyaluronic Acid Toner 200ml (Renewal),USD 19.00,USD 11.99
1,SON&PARK BEAUTY WATER 340ml,USD 29.40,USD 18.99
2,SOME BY MI AHA BHA PHA 30 Days Miracle Toner 150ml,USD 24.00,USD 11.99
3,SOME BY MI Galactomyces Pure Vitamin C Glow Toner 200ml,USD 34.00,USD 17.99
4,PURITO Centella Green Level Calming Toner 200ml,USD 25.20,USD 16.99
5,SON&PARK Beauty Water 60ml,USD 10.50,USD 6.49
6,Pyunkang Yul Essence Toner 100ml,USD 14.50,USD 9.89
7,secretKey Hyaluron Aqua Soft Toner 500ml,USD 22.00,USD 17.48
8,ROUND LAB 1025 Dokdo Toner 200ml,USD 17.00,USD 11.99
9,SOME BY MI Snail Truecica Miracle Repair Toner 135ml,USD 24.00,USD 15.99
10,Dr.MYSKIN Vita Galacto Bifida 90 Toner 110ml,USD 15.70,USD 10.99
11,COSRX AHA 7 WHITEHEAD POWER LIQUID 100ml,USD 17.81,USD 11.99
12,secretKey Fresh Toner 248ml,USD 12.00,USD 9.99
13,BLITHE Vital Treatment 8 Nourishing Beans 150ml,USD 42.90,USD 22.99
14,COSRX Two In One Poreless Power Liquid 100ml,USD 22.00,USD 12.99
15,Pyunkang Yul Essence Toner 200ml,USD 21.90,USD 15.33
16,Isntree Clear Skin BHA Toner 200ml,USD 21.96,USD 13.89
17,COSRX One Step Moisture Up Pad 70ea,USD 19.50,USD 14.99
18,Elizavecca Hell-Pore Clean up AHA Fruit Toner 200ml,USD 14.00,USD 10.99
19,BENTON Aloe BHA Skin Toner 200ml,USD 19.00,USD 11.99
20,COSRX One Step Original Clear Pad 70ea,USD 19.63,USD 14.99
21,NATURE REPUBLIC Soothing & Moisture Aloe Vera 92% Soothing Gel Mist 150ml,USD 12.16,USD 8.50
22,COSRX BHA BLACKHEAD POWER LIQUID100 ML,USD 20.81,USD 12.99
23,SKIN&LAB Medicica Balancing Toner 180ml,USD 21.63,USD 18.39
24,MAY ISLAND 7 Days Secret Centella Cica Toner 155ml,USD 16.50,USD 11.53
25,TIAM Vita B5 Toner 180ml,USD 18.60,USD 10.99
26,BADSKIN Hyaluronic Spa Toner 500ml,USD 26.00,USD 17.99
27,TIAM AC Fighting AHA BHA PHA Toner 180ml,USD 18.70,USD 11.99
28,Real Barrier Aqua Soothing Toner 200ml,USD 26.40,USD 18.48
29,Real Barrier Extreme Essence Toner 190ml,USD 30.00,USD 21.00
30,innisfree Jeju Orchid Skin 200ml,USD 27.92,USD 17.59
31,ROUND LAB Mugwort Calming Toner 300ml,USD 25.00,USD 16.99
32,innisfree Jeju Cherry Blossom Skin 200ml,USD 20.22,USD 15.16
33,iUNIK Vitamin Hyaluronic Acid Vitalizing Toner 200ml,USD 21.99,USD 16.99
34,G9SKIN White In Milk Toner 300ml,USD 18.00,USD 11.99
35,COSRX AC Collection Calming Liquid Mild 125ml,USD 26.00,USD 17.99
36,NACIFIC Real Calendula Floral Toner 180ml,USD 26.00,USD 14.17
37,CARYOPHY Portulaca Toner 300ml,USD 24.00,USD 20.40
38,KEEP COOL Soothe Fixence Mist 60ml,USD 10.00,USD 6.99
39,NEOGEN DERMALOGY Real Cica Pad 90ea,USD 17.90, 
40,MAMONDE Rose Water Toner 250ml,USD 18.48,USD 13.86
41,heimish Bulgarian Rose Mist Serum 55ml,USD 24.00,USD 18.00
42,BLITHE Vital Treatment 5 Energy Roots 150ml,USD 37.60,USD 26.28
43,Elizavecca Hell-Pore Perfect Wine Sparkling Peeling Pad 30ea,USD 20.00,USD 14.98
44,MISSHA New Artemisia Calming Mist 120ml,USD 34.00,USD 27.17
45,so natural Yellow Cica Toner 260ml,USD 28.00,USD 19.57
46,so natural Vegan Make up Calm Fixx 100ml,USD 21.00,USD 14.68
