∞Ì∞¥ID,≥Ø¬•,«‡µø
C_1,2020-01-03,A7
C_1,2020-01-08,A6
C_1,2020-02-06,A5
C_1,2020-02-17,A5
C_1,2020-02-18,A7
C_1,2020-02-20,A1
C_1,2020-03-02,A1
C_1,2020-03-06,A4
C_1,2020-03-24,A7
C_1,2020-03-26,A5
C_1,2020-04-03,A5
C_1,2020-04-12,A6
C_1,2020-04-30,A6
C_1,2020-05-04,A4
C_1,2020-05-07,A3
C_1,2020-05-08,A2
C_1,2020-05-14,A3
C_1,2020-05-27,A6
C_2,2020-01-10,A4
C_2,2020-02-09,A3
C_2,2020-03-12,A6
C_2,2020-03-14,A7
C_2,2020-03-19,A3
C_2,2020-03-21,A6
C_2,2020-04-19,A1
C_2,2020-04-28,A1
C_2,2020-05-02,A1
C_2,2020-05-03,A2
C_2,2020-05-10,A5
C_2,2020-05-19,A7
C_2,2020-06-01,A5
C_2,2020-06-06,A4
C_3,2020-01-06,A5
C_3,2020-01-15,A3
C_3,2020-01-16,A3
C_3,2020-01-17,A7
C_3,2020-01-18,A2
C_3,2020-02-03,A6
C_3,2020-02-11,A1
C_3,2020-02-16,A1
C_3,2020-02-20,A6
C_3,2020-03-09,A7
C_3,2020-03-17,A3
C_3,2020-04-25,A4
C_3,2020-05-04,A4
C_3,2020-05-16,A3
C_3,2020-05-28,A2
C_3,2020-06-13,A5
C_3,2020-06-19,A2
C_3,2020-06-23,A6
C_4,2020-01-19,A5
C_4,2020-02-05,A3
C_4,2020-02-09,A6
C_4,2020-03-03,A3
C_4,2020-03-11,A2
C_4,2020-03-14,A6
C_4,2020-03-20,A6
C_4,2020-04-19,A1
C_4,2020-04-21,A5
C_4,2020-05-15,A2
C_4,2020-05-17,A3
C_4,2020-05-21,A2
C_4,2020-06-20,A5
C_5,2020-01-01,A2
C_5,2020-01-10,A7
C_5,2020-01-11,A5
C_5,2020-01-13,A5
C_5,2020-01-26,A6
C_5,2020-02-08,A1
C_5,2020-02-10,A7
C_5,2020-02-26,A3
C_5,2020-03-04,A6
C_5,2020-03-05,A4
C_5,2020-03-24,A3
C_5,2020-05-11,A7
C_6,2020-01-14,A7
C_6,2020-01-15,A6
C_6,2020-01-31,A4
C_6,2020-02-06,A1
C_6,2020-02-07,A4
C_6,2020-04-21,A3
C_6,2020-05-19,A2
C_6,2020-05-23,A6
C_6,2020-06-02,A1
C_6,2020-06-13,A3
C_7,2020-01-11,A3
C_7,2020-02-02,A7
C_7,2020-02-20,A1
C_7,2020-03-11,A6
C_7,2020-03-22,A7
C_7,2020-03-23,A3
C_7,2020-04-19,A7
C_7,2020-05-13,A6
C_7,2020-06-05,A2
C_7,2020-06-09,A3
C_7,2020-06-10,A7
C_7,2020-06-18,A3
C_7,2020-06-23,A7
C_8,2020-01-10,A2
C_8,2020-01-23,A1
C_8,2020-01-25,A3
C_8,2020-02-13,A6
C_8,2020-02-21,A7
C_8,2020-02-28,A1
C_8,2020-03-02,A6
C_8,2020-03-11,A2
C_8,2020-03-14,A3
C_8,2020-03-22,A2
C_8,2020-03-26,A6
C_8,2020-04-01,A5
C_8,2020-04-04,A7
C_8,2020-04-06,A3
C_8,2020-04-13,A3
C_8,2020-05-11,A3
C_8,2020-05-24,A3
C_8,2020-06-22,A7
C_9,2020-01-03,A2
C_9,2020-01-05,A6
C_9,2020-01-07,A4
C_9,2020-01-11,A1
C_9,2020-01-26,A1
C_9,2020-02-11,A1
C_9,2020-02-14,A1
C_9,2020-03-09,A4
C_9,2020-03-13,A1
C_9,2020-03-14,A5
C_9,2020-04-01,A2
C_9,2020-04-18,A6
C_9,2020-05-11,A5
C_9,2020-05-24,A5
C_9,2020-05-25,A7
C_10,2020-01-03,A2
C_10,2020-01-06,A6
C_10,2020-01-19,A6
C_10,2020-01-26,A4
C_10,2020-02-19,A5
C_10,2020-02-24,A6
C_10,2020-02-29,A2
C_10,2020-03-08,A3
C_10,2020-03-22,A7
C_10,2020-04-10,A6
C_10,2020-04-12,A4
C_10,2020-04-16,A3
C_10,2020-04-19,A5
C_10,2020-04-29,A3
C_10,2020-05-12,A6
C_10,2020-05-27,A6
C_10,2020-06-11,A1
C_10,2020-06-13,A3
