구,거래금액(만원)/전용면적(㎡)
노원구,703.6556763581607
송파구,1440.6605345975834
강서구,852.656550692511
강남구,2052.0234297714783
강동구,1007.3485617972104
구로구,707.5254747661596
성북구,771.3718849139093
양천구,1038.1674091830096
도봉구,594.0831559447149
서초구,1755.428375398917
영등포구,1039.3271743667474
성동구,1245.322731530397
동대문구,841.1038002332182
마포구,1222.0746992178426
동작구,1066.5280357295555
은평구,729.631736936542
중랑구,660.863797010878
관악구,757.8723954832781
서대문구,922.6495959307229
강북구,665.2665275240547
용산구,1463.5569941480935
광진구,1105.816013612929
금천구,619.2196784320796
중구,1024.5257994044152
종로구,1015.9495230836583
