구,년도,거래금액(만원)/전용면적(㎡),거래금액(만원)/1평,거래금액(만원)/국민평수(32평)
노원구,2020,843.8968597643575,2789.741580556117,89271.73057779574
송파구,2020,1601.006686115803,5292.58388786133,169362.68441156257
강서구,2020,964.7405187487117,3189.22473577171,102055.19154469472
강남구,2020,2086.8278562006353,6898.604224610218,220755.33518752697
강동구,2020,1169.990641882384,3867.7375140751565,123767.600450405
구로구,2020,769.8062676918404,2544.8140126416706,81434.04840453346
성북구,2020,914.799659596867,3024.130992700429,96772.19176641373
양천구,2020,1143.5517855439098,3780.336339374274,120970.76285997676
도봉구,2020,675.1603705711286,2231.9350256284783,71421.9208201113
서초구,2020,1914.6092847157813,6329.286654274159,202537.1729367731
영등포구,2020,1180.242814223722,3901.628991618567,124852.12773179414
성동구,2020,1471.1585441871305,4863.333847995654,155626.68313586092
동대문구,2020,995.6521127510931,3291.4118195508727,105325.17822562793
마포구,2020,1344.6443989178135,4445.105284276525,142243.3690968488
동작구,2020,1230.7600794951513,4068.628209393879,130196.10270060413
은평구,2020,827.5980901999607,2735.861352611677,87547.56328357366
중랑구,2020,760.1537042511486,2512.9047132078836,80412.95082265227
관악구,2020,871.08553370393,2879.6214910354465,92147.88771313429
서대문구,2020,1038.870468459656,3434.282411576904,109897.03717046093
강북구,2020,771.1488544287049,2549.2523157375963,81576.07410360308
용산구,2020,1594.030917304014,5269.52349595985,168624.7518707152
광진구,2020,1291.4524552806736,4269.264154880022,136616.4529561607
금천구,2020,739.4623545059954,2444.5035595906024,78224.11390689928
중구,2020,1138.6345011712517,3764.0808544544066,120450.58734254101
종로구,2020,1034.7218861050374,3420.568090257741,109458.17888824771
