기간,행정구역,미성년자,청년,성인,노인,남성_인구,여성_인구,총인구수,미성년자_비율,청년_비율,성인_비율,노인_비율,남녀_성비
2019,강남구,99155,161589,341839,104175,260806,284363,545169,18.19,29.64,62.7,19.11,91.72
2019,강동구,70623,126748,267704,97740,215335,220732,436067,16.2,29.07,61.39,22.41,97.55
2019,강북구,41080,84385,186920,85954,153235,160719,313954,13.08,26.88,59.54,27.38,95.34
2019,강서구,91410,190496,372839,127547,286563,305233,591796,15.45,32.19,63.0,21.55,93.88
2019,관악구,55797,196245,336650,107647,251009,249085,500094,11.16,39.24,67.32,21.53,100.77
2019,광진구,49230,119926,230054,72066,170262,181088,351350,14.01,34.13,65.48,20.51,94.02
2019,구로구,62080,120306,248746,95838,200987,205677,406664,15.27,29.58,61.17,23.57,97.72
2019,금천구,29551,71907,147448,55811,118209,114601,232810,12.69,30.89,63.33,23.97,103.15
2019,노원구,92613,141911,320771,119521,257923,274982,532905,17.38,26.63,60.19,22.43,93.8
2019,도봉구,48396,88298,197924,87042,163051,170311,333362,14.52,26.49,59.37,26.11,95.74
2019,동대문구,47342,106486,213557,85295,172113,174081,346194,13.67,30.76,61.69,24.64,98.87
2019,동작구,56047,130543,250285,89631,191976,203987,395963,14.15,32.97,63.21,22.64,94.11
2019,마포구,56287,126381,243019,74729,176891,197144,374035,15.05,33.79,64.97,19.98,89.73
2019,서대문구,45010,93515,191015,73372,148663,160734,309397,14.55,30.22,61.74,23.71,92.49
2019,서초구,81964,123233,264580,84282,206039,224787,430826,19.02,28.6,61.41,19.56,91.66
2019,성동구,43418,96949,192564,64907,147273,153616,300889,14.43,32.22,64.0,21.57,95.87
2019,성북구,70096,128311,270693,101861,214437,228213,442650,15.84,28.99,61.15,23.01,93.96
2019,송파구,115307,210536,425636,135018,327164,348797,675961,17.06,31.15,62.97,19.97,93.8
2019,양천구,85739,120799,278883,93543,225186,232979,458165,18.71,26.37,60.87,20.42,96.66
2019,영등포구,50306,122641,234333,83039,182438,185240,367678,13.68,33.36,63.73,22.58,98.49
2019,용산구,30523,70870,143488,54659,110356,118314,228670,13.35,30.99,62.75,23.9,93.27
2019,은평구,72390,135651,291315,116327,231528,248504,480032,15.08,28.26,60.69,24.23,93.17
2019,종로구,19959,43948,92739,38592,73746,77544,151290,13.19,29.05,61.3,25.51,95.1
2019,중구,14697,39135,78582,32892,61910,64261,126171,11.65,31.02,62.28,26.07,96.34
2019,중랑구,53244,115773,245949,97822,196959,200056,397015,13.41,29.16,61.95,24.64,98.45
