기간,자치구,전체인구(계),전체인구(남),전체인구(여),65세이상 인구(계),65세이상 인구(남),65세이상 인구(여),노인 비율%(계),노인 비율%(남),노인 비율%(여)
2019,종로구,161869,78215,83654,27519,12162,15357,15.94,6.97,8.97
2019,중구,136488,66823,69665,23275,10247,13028,15.89,6.93,8.95
2019,용산구,245185,119599,125586,38791,16466,22325,15.09,6.34,8.75
2019,성동구,308979,150861,158118,43947,19181,24766,13.2,5.75,7.45
2019,광진구,366972,176917,190055,47902,21360,26542,11.81,5.26,6.55
2019,동대문구,363023,178490,184533,59350,26397,32953,15.22,6.74,8.49
2019,중랑구,402024,199006,203018,65164,29136,36028,14.36,6.38,7.98
2019,성북구,454744,219099,235645,70850,30498,40352,14.55,6.27,8.27
2019,강북구,317695,154638,163057,60577,26032,34545,17.23,7.41,9.82
2019,도봉구,335631,163961,171670,58714,26286,32428,15.45,6.84,8.61
2019,노원구,537303,259810,277493,80923,34024,46899,13.3,5.52,7.78
2019,은평구,484546,233360,251186,80738,34987,45751,15.18,6.58,8.6
2019,서대문구,323171,153215,169956,52074,22030,30044,15.16,6.39,8.77
2019,마포구,385925,181303,204622,52429,21954,30475,12.86,5.39,7.47
2019,양천구,462285,227019,235266,61264,27446,33818,11.63,5.19,6.44
2019,강서구,598273,289691,308582,84077,37157,46920,12.5,5.51,6.99
2019,구로구,439371,219602,219769,65779,30089,35690,13.32,6.14,7.17
2019,금천구,251820,128954,122866,37660,17184,20476,13.48,6.14,7.34
2019,영등포구,400986,200986,200000,57872,26142,31730,13.43,6.06,7.36
2019,동작구,408912,197706,211206,62226,27087,35139,14.02,6.12,7.9
2019,관악구,517334,259194,258140,75194,33591,41603,13.45,6.05,7.4
2019,서초구,435107,208181,226926,57136,25886,31250,11.95,5.42,6.53
2019,강남구,550209,263345,286864,71025,31935,39090,11.6,5.23,6.37
2019,송파구,682741,330412,352329,87334,40350,46984,11.41,5.26,6.15
2019,강동구,440390,217338,223052,63452,28968,34484,12.75,5.8,6.95
