기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	외국인	외국인	외국인
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2017	합계	합계	10,124,579	4,957,857	5,166,722	1,365,126	602,107	763,019	1,359,901	599,378	760,523	5,225	2,729	2,496
2017	종로구	소계	164,257	80,094	84,163	26,182	11,441	14,741	26,030	11,356	14,674	152	85	67
2017	종로구	사직동	9,717	4,467	5,250	1,708	734	974	1,698	729	969	10	5	5
2017	종로구	삼청동	3,097	1,459	1,638	634	274	360	625	267	358	9	7	2
2017	종로구	부암동	10,726	5,160	5,566	1,748	781	967	1,746	780	966	2	1	1
2017	종로구	평창동	19,163	9,032	10,131	3,037	1,289	1,748	3,028	1,282	1,746	9	7	2
2017	종로구	무악동	8,375	3,921	4,454	1,279	530	749	1,279	530	749	-	-	-
2017	종로구	교남동	10,363	4,850	5,513	1,406	559	847	1,401	556	845	5	3	2
2017	종로구	가회동	4,657	2,194	2,463	900	373	527	890	366	524	10	7	3
2017	종로구	종로1.2.3.4가동	8,592	5,045	3,547	1,865	1,012	853	1,835	994	841	30	18	12
2017	종로구	종로5·6가동	5,690	3,096	2,594	1,089	507	582	1,087	507	580	2	-	2
2017	종로구	이화동	8,752	4,075	4,677	1,302	531	771	1,299	530	769	3	1	2
2017	종로구	창신1동	6,285	3,390	2,895	1,126	548	578	1,117	544	573	9	4	5
2017	종로구	창신2동	10,274	5,159	5,115	1,635	705	930	1,615	696	919	20	9	11
2017	종로구	창신3동	7,526	3,721	3,805	1,096	486	610	1,093	484	609	3	2	1
2017	종로구	숭인1동	6,865	3,405	3,460	1,088	464	624	1,085	463	622	3	1	2
2017	종로구	숭인2동	10,140	5,154	4,986	1,584	758	826	1,577	754	823	7	4	3
2017	종로구	청운효자동	13,606	6,465	7,141	2,142	865	1,277	2,117	851	1,266	25	14	11
2017	종로구	혜화동	20,429	9,501	10,928	2,543	1,025	1,518	2,538	1,023	1,515	5	2	3
2017	중구	소계	134,593	66,337	68,256	21,384	9,332	12,052	21,148	9,206	11,942	236	126	110
2017	중구	소공동	2,787	1,470	1,317	257	128	129	231	111	120	26	17	9
2017	중구	회현동	5,953	3,261	2,692	1,369	699	670	1,311	670	641	58	29	29
2017	중구	명동	3,469	1,523	1,946	662	238	424	642	227	415	20	11	9
2017	중구	필동	4,885	2,425	2,460	780	337	443	776	336	440	4	1	3
2017	중구	장충동	5,648	2,755	2,893	756	326	430	750	325	425	6	1	5
2017	중구	광희동	5,875	3,038	2,837	1,103	525	578	1,087	516	571	16	9	7
2017	중구	을지로동	1,786	1,110	676	446	261	185	437	256	181	9	5	4
2017	중구	신당5동	9,830	4,891	4,939	1,486	618	868	1,476	612	864	10	6	4
2017	중구	황학동	13,095	6,433	6,662	1,760	809	951	1,745	801	944	15	8	7
2017	중구	중림동	11,575	5,827	5,748	1,730	764	966	1,716	757	959	14	7	7
2017	중구	신당동	9,544	4,717	4,827	1,274	579	695	1,235	557	678	39	22	17
2017	중구	다산동	15,399	7,453	7,946	2,392	1,032	1,360	2,385	1,027	1,358	7	5	2
2017	중구	약수동	18,400	8,792	9,608	3,329	1,373	1,956	3,322	1,370	1,952	7	3	4
2017	중구	청구동	14,999	7,170	7,829	2,412	947	1,465	2,411	946	1,465	1	1	-
2017	중구	동화동	11,348	5,472	5,876	1,628	696	932	1,624	695	929	4	1	3
2017	용산구	소계	244,444	119,423	125,021	36,882	15,489	21,393	36,488	15,245	21,243	394	244	150
2017	용산구	후암동	18,846	9,229	9,617	2,910	1,173	1,737	2,891	1,161	1,730	19	12	7
2017	용산구	용산2가동	12,355	6,046	6,309	1,985	837	1,148	1,966	823	1,143	19	14	5
2017	용산구	남영동	8,585	5,217	3,368	1,504	863	641	1,490	854	636	14	9	5
2017	용산구	원효로2동	15,233	7,118	8,115	2,241	922	1,319	2,236	921	1,315	5	1	4
2017	용산구	효창동	9,594	4,602	4,992	1,401	590	811	1,398	589	809	3	1	2
2017	용산구	용문동	12,759	6,150	6,609	1,903	791	1,112	1,900	788	1,112	3	3	-
2017	용산구	이촌1동	28,960	13,553	15,407	4,142	1,689	2,453	4,102	1,661	2,441	40	28	12
2017	용산구	이촌2동	9,229	4,358	4,871	1,676	663	1,013	1,673	662	1,011	3	1	2
2017	용산구	이태원1동	8,791	4,490	4,301	1,480	559	921	1,442	538	904	38	21	17
2017	용산구	이태원2동	11,014	5,273	5,741	1,842	746	1,096	1,805	724	1,081	37	22	15
2017	용산구	서빙고동	14,274	6,909	7,365	1,994	802	1,192	1,972	783	1,189	22	19	3
2017	용산구	보광동	16,541	8,273	8,268	2,633	1,056	1,577	2,614	1,046	1,568	19	10	9
2017	용산구	청파동	21,233	10,067	11,166	3,181	1,308	1,873	3,162	1,300	1,862	19	8	11
2017	용산구	원효로1동	15,266	7,431	7,835	1,737	779	958	1,712	763	949	25	16	9
2017	용산구	한강로동	18,059	8,900	9,159	2,883	1,290	1,593	2,817	1,247	1,570	66	43	23
2017	용산구	한남동	23,705	11,807	11,898	3,370	1,421	1,949	3,308	1,385	1,923	62	36	26
2017	성동구	소계	312,711	154,077	158,634	41,273	17,972	23,301	41,152	17,900	23,252	121	72	49
2017	성동구	왕십리2동	18,185	8,919	9,266	2,331	1,014	1,317	2,327	1,011	1,316	4	3	1
2017	성동구	마장동	24,193	11,921	12,272	3,387	1,524	1,863	3,378	1,519	1,859	9	5	4
2017	성동구	사근동	12,812	6,452	6,360	1,409	621	788	1,403	617	786	6	4	2
2017	성동구	행당1동	14,387	7,058	7,329	2,060	889	1,171	2,058	888	1,170	2	1	1
2017	성동구	행당2동	25,423	11,997	13,426	3,302	1,385	1,917	3,299	1,384	1,915	3	1	2
2017	성동구	응봉동	16,696	7,937	8,759	2,304	984	1,320	2,303	984	1,319	1	-	1
2017	성동구	금호1가동	13,191	6,386	6,805	2,033	850	1,183	2,027	846	1,181	6	4	2
2017	성동구	금호4가동	14,452	6,963	7,489	2,009	824	1,185	2,008	824	1,184	1	-	1
2017	성동구	성수1가1동	17,676	8,926	8,750	1,963	866	1,097	1,952	859	1,093	11	7	4
2017	성동구	성수1가2동	16,413	8,237	8,176	2,012	911	1,101	2,004	909	1,095	8	2	6
2017	성동구	성수2가1동	18,783	9,759	9,024	2,549	1,166	1,383	2,536	1,157	1,379	13	9	4
2017	성동구	성수2가3동	12,056	6,266	5,790	1,638	775	863	1,629	769	860	9	6	3
2017	성동구	송정동	11,987	6,369	5,618	1,564	725	839	1,549	715	834	15	10	5
2017	성동구	용답동	16,687	8,790	7,897	2,425	1,086	1,339	2,413	1,080	1,333	12	6	6
2017	성동구	왕십리도선동	27,582	13,237	14,345	3,190	1,353	1,837	3,186	1,352	1,834	4	1	3
2017	성동구	금호2.3가동	24,735	11,892	12,843	3,584	1,486	2,098	3,583	1,486	2,097	1	-	1
2017	성동구	옥수동	27,453	12,968	14,485	3,513	1,513	2,000	3,497	1,500	1,997	16	13	3
2017	광진구	소계	372,298	180,645	191,653	43,953	19,565	24,388	43,790	19,479	24,311	163	86	77
2017	광진구	화양동	24,610	11,392	13,218	2,174	971	1,203	2,162	964	1,198	12	7	5
2017	광진구	군자동	21,980	10,829	11,151	2,594	1,170	1,424	2,587	1,167	1,420	7	3	4
