,기간,행정구역,미성년자,성인,노인,총인구수,미성년자_비율,성인_비율,노인_비율
0,2017,강남구,104370,354113,97681,556164,18.77,63.67,17.56
1,2017,강동구,75133,273864,87226,436223,17.22,62.78,20.0
2,2017,강북구,47267,197084,80128,324479,14.57,60.74,24.69
3,2017,강서구,100950,384787,115954,601691,16.78,63.95,19.27
4,2017,관악구,63898,338623,100776,503297,12.7,67.28,20.02
5,2017,광진구,55087,236733,65883,357703,15.4,66.18,18.42
6,2017,구로구,67981,255867,86894,410742,16.55,62.29,21.16
7,2017,금천구,33715,150839,50600,235154,14.34,64.14,21.52
8,2017,노원구,105227,339564,109612,554403,18.98,61.25,19.77
9,2017,도봉구,55198,209863,79105,344166,16.04,60.98,22.98
10,2017,동대문구,51608,219036,80003,350647,14.72,62.47,22.82
11,2017,동작구,60988,252737,82492,396217,15.39,63.79,20.82
12,2017,마포구,60716,244013,70186,374915,16.19,65.08,18.72
13,2017,서대문구,48677,195242,68881,312800,15.56,62.42,22.02
14,2017,서초구,87400,274437,79265,441102,19.81,62.22,17.97
15,2017,성동구,47291,197133,60384,304808,15.52,64.67,19.81
16,2017,성북구,75354,273874,94827,444055,16.97,61.68,21.35
17,2017,송파구,120844,423798,119854,664496,18.19,63.78,18.04
18,2017,양천구,94124,292331,84699,471154,19.98,62.05,17.98
19,2017,영등포구,55009,236022,77519,368550,14.93,64.04,21.03
20,2017,용산구,33318,144296,51547,229161,14.54,62.97,22.49
21,2017,은평구,80354,299258,107182,486794,16.51,61.48,22.02
22,2017,종로구,21981,96269,36520,154770,14.2,62.2,23.6
23,2017,중구,16056,79320,30333,125709,12.77,63.1,24.13
24,2017,중랑구,60572,258733,88921,408226,14.84,63.38,21.78
