기간,행정구역,미성년자,성인,남성_인구,여성_인구,총인구수,미성년자_비율,성인_비율,남녀_성비
2018,강남구,100207,342708,259611,282753,542364,18.48,63.19,91.82
2018,강동구,71019,265393,211816,215757,427573,16.61,62.07,98.17
2018,강북구,44182,192219,156071,163093,319164,13.84,60.23,95.69
2018,강서구,96161,379490,290079,306870,596949,16.11,63.57,94.53
2018,관악구,59724,338443,252160,249797,501957,11.9,67.42,100.95
2018,광진구,52416,234294,172794,182765,355559,14.74,65.89,94.54
2018,구로구,64017,249672,200417,204080,404497,15.83,61.72,98.21
2018,금천구,31573,149330,118915,115002,233917,13.5,63.84,103.4
2018,노원구,98591,330867,263919,279833,543752,18.13,60.85,94.31
2018,도봉구,51883,204372,166160,173253,339413,15.29,60.21,95.91
2018,동대문구,49429,216231,173567,174485,348052,14.2,62.13,99.47
2018,동작구,58343,251872,192533,203670,396203,14.73,63.57,94.53
2018,마포구,58694,244091,178240,196837,375077,15.65,65.08,90.55
2018,서대문구,46693,192629,149569,160744,310313,15.05,62.08,93.05
2018,서초구,84399,268430,207868,226083,433951,19.45,61.86,91.94
2018,성동구,46046,198936,151359,156862,308221,14.94,64.54,96.49
2018,성북구,71409,267204,211904,223964,435868,16.38,61.3,94.62
2018,송파구,117093,422822,323526,343109,666635,17.56,63.43,94.29
2018,양천구,89893,285393,228634,235551,464185,19.37,61.48,97.06
2018,영등포구,52415,235240,183224,184554,367778,14.25,63.96,99.28
2018,용산구,31855,144177,110640,118359,228999,13.91,62.96,93.48
2018,은평구,76304,295246,233702,249495,483197,15.79,61.1,93.67
2018,종로구,20971,94589,74825,78240,153065,13.7,61.8,95.64
2018,중구,15290,79029,61947,63778,125725,12.16,62.86,97.13
2018,중랑구,56882,253211,200419,202790,403209,14.11,62.8,98.83
