기간,행정구역,미성년자,성인,남성_인구,여성_인구,총인구수,미성년자_비율,성인_비율,남녀_성비
2020,강남구,95900,335394,257999,281232,539231,17.78,62.2,91.74
2020,강동구,73711,279814,226216,233754,459970,16.03,60.83,96.78
2020,강북구,37741,181061,150143,157912,308055,12.25,58.78,95.08
2020,강서구,84254,363137,280034,300151,580185,14.52,62.59,93.3
2020,관악구,50972,332452,248339,246721,495060,10.3,67.15,100.66
2020,광진구,45503,225946,167310,179372,346682,13.13,65.17,93.28
2020,구로구,58388,245095,199673,204735,404408,14.44,60.61,97.53
2020,금천구,27217,145803,117226,114507,231733,11.74,62.92,102.37
2020,노원구,86417,311990,252383,270654,523037,16.52,59.65,93.25
2020,도봉구,44402,189960,158620,166637,325257,13.65,58.4,95.19
2020,동대문구,44435,210398,169769,173068,342837,12.96,61.37,98.09
2020,동작구,52385,245896,189152,202068,391220,13.39,62.85,93.61
2020,마포구,53271,241640,175150,196740,371890,14.32,64.98,89.03
2020,서대문구,43797,192319,149360,162813,312173,14.03,61.61,91.74
2020,서초구,79180,258867,203359,221767,425126,18.63,60.89,91.7
2020,성동구,40264,186216,143387,150169,293556,13.72,63.43,95.48
2020,성북구,65967,266035,210810,226343,437153,15.09,60.86,93.14
2020,송파구,109812,416574,322299,345661,667960,16.44,62.37,93.24
2020,양천구,82424,273082,222824,231427,454251,18.15,60.12,96.28
2020,영등포구,50114,241690,187647,191833,379480,13.21,63.69,97.82
2020,용산구,29105,144322,110722,119318,230040,12.65,62.74,92.8
2020,은평구,68380,289462,230279,249556,479835,14.25,60.33,92.28
2020,종로구,18540,91049,72635,76749,149384,12.41,60.95,94.64
2020,중구,13609,77406,61222,64018,125240,10.87,61.81,95.63
2020,중랑구,49823,241647,195165,199537,394702,12.62,61.22,97.81
