구,인구밀도
강남구,13770.058213110606
강동구,18877.05451586656
강북구,13202.076271186439
강서구,14138.537644787648
관악구,17240.547852553264
광진구,21108.382180539276
구로구,21495.427435387675
금천구,19034.946236559143
노원구,14871.10609480813
도봉구,15852.832929782084
동대문구,25124.137931034482
동작구,24560.978593272168
마포구,16010.817610062892
서대문구,18318.32104367555
서초구,9128.191489361701
성동구,17823.546856465004
성북구,18195.19739519739
송파구,19891.558441558445
양천구,26294.141298104536
영등포구,16593.36048879837
용산구,11186.328303612256
은평구,16297.744107744109
종로구,6649.769970723547
중구,13517.570281124497
중랑구,21597.945945945947
