구,거래금액(만원)/전용면적(㎡)
노원구,541.1091222913183
송파구,1029.9145237429166
강서구,652.2719839442088
강남구,1466.0823194668621
강동구,746.5778891032552
구로구,543.7846052312177
성북구,576.890195671003
양천구,777.9962031620374
도봉구,468.8830988197136
서초구,1238.216487048515
영등포구,717.6506118667578
성동구,829.1752296832866
동대문구,610.6085603296561
마포구,835.2820449299854
동작구,746.2936111113003
은평구,562.8011306311403
중랑구,498.25494715295895
관악구,572.5300409284267
서대문구,662.2876109994726
강북구,514.4329777499834
용산구,1012.6406049236574
광진구,791.1224267329189
금천구,473.8227098981608
중구,761.2215290699108
종로구,696.5950572358337
