기간,자치구,노인 비율%(계),노인 비율%(남),노인 비율%(여)
2020,강남구,11.6,5.23,6.37
2020,강동구,12.75,5.8,6.95
2020,강북구,17.23,7.41,9.82
2020,강서구,12.5,5.51,6.99
2020,관악구,13.45,6.05,7.4
2020,광진구,11.81,5.26,6.55
2020,구로구,13.32,6.14,7.17
2020,금천구,13.48,6.14,7.34
2020,노원구,13.3,5.52,7.78
2020,도봉구,15.45,6.84,8.61
2020,동대문구,15.22,6.74,8.49
2020,동작구,14.02,6.12,7.9
2020,마포구,12.86,5.39,7.47
2020,서대문구,15.16,6.39,8.77
2020,서초구,11.95,5.42,6.53
2020,성동구,13.2,5.75,7.45
2020,성북구,14.55,6.27,8.27
2020,송파구,11.41,5.26,6.15
2020,양천구,11.63,5.19,6.44
2020,영등포구,13.43,6.06,7.36
2020,용산구,15.09,6.34,8.75
2020,은평구,15.18,6.58,8.6
2020,종로구,15.94,6.97,8.97
2020,중구,15.89,6.93,8.95
2020,중랑구,14.36,6.38,7.98
