자치구,년도,거래금액(만원)/전용면적(㎡),거래금액(만원)/1평,거래금액(만원)/국민평수(32평)
강남구,2019,2052.0234297714733,6783.54827378709,217073.54476118687
강동구,2019,1007.3485617972084,3330.0777653607843,106562.4884915451
강북구,2019,665.2665275240553,2199.228107691109,70375.29944611549
강서구,2019,852.6565506925143,2818.6992354310537,90198.37553379372
관악구,2019,757.8723954832788,2505.363196902691,80171.62230088611
광진구,2019,1105.816013612929,3655.589990561417,116978.87969796534
구로구,2019,707.5254747661613,2338.9271015998547,74845.66725119535
금천구,2019,619.2196784320795,2047.007124665592,65504.22798929895
노원구,2019,703.6556763581634,2326.134380069672,74436.30016222948
도봉구,2019,594.0831559447147,1963.9111856746988,62845.15794159036
동대문구,2019,841.1038002332206,2780.508326253977,88976.26644012728
동작구,2019,1066.528035729557,3525.7123825942326,112822.79624301544
마포구,2019,1222.0746992178422,4039.9162095538554,129277.31870572334
서대문구,2019,922.6495959307208,3050.081194483838,97602.5982234828
서초구,2019,1755.4283753989164,5803.068791968107,185698.20134297945
성동구,2019,1245.322731530399,4116.769206052221,131736.61459367108
성북구,2019,771.3718849139118,2549.989606570136,81599.66741024435
송파구,2019,1440.66053459758,4762.5139853646615,152400.44753166917
양천구,2019,1038.1674091830102,3431.9582487660577,109822.66396051383
영등포구,2019,1039.3271743667483,3435.792183113982,109945.34985964742
용산구,2019,1463.5569941480926,4838.204757899853,154822.55225279529
은평구,2019,729.6317369365395,2412.0056514887583,77184.18084764027
종로구,2019,1015.9495230836586,3358.5106941671124,107472.3422133476
중구,2019,1024.5257994044157,3386.862019784126,108379.58463309205
중랑구,2019,660.8637970108771,2184.6736272016024,69909.55607045128
