기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	외국인	외국인	외국인
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2018	합계	합계	10,049,607	4,910,849	5,138,758	1,416,131	625,040	791,091	1,410,297	621,950	788,347	5,834	3,090	2,744
2018	종로구	소계	163,026	79,156	83,870	26,742	11,779	14,963	26,572	11,682	14,890	170	97	73
2018	종로구	사직동	9,818	4,448	5,370	1,763	748	1,015	1,756	745	1,011	7	3	4
2018	종로구	삼청동	3,073	1,455	1,618	634	269	365	621	260	361	13	9	4
2018	종로구	부암동	10,537	5,054	5,483	1,742	773	969	1,736	770	966	6	3	3
2018	종로구	평창동	19,105	8,970	10,135	3,154	1,354	1,800	3,144	1,347	1,797	10	7	3
2018	종로구	무악동	8,260	3,865	4,395	1,307	559	748	1,307	559	748	-	-	-
2018	종로구	교남동	10,846	5,060	5,786	1,483	605	878	1,478	602	876	5	3	2
2018	종로구	가회동	4,546	2,126	2,420	902	372	530	893	365	528	9	7	2
2018	종로구	종로1.2.3.4가동	8,462	4,943	3,519	1,872	1,034	838	1,838	1,014	824	34	20	14
2018	종로구	종로5·6가동	5,597	3,046	2,551	1,091	520	571	1,088	520	568	3	-	3
2018	종로구	이화동	8,621	4,020	4,601	1,342	550	792	1,339	549	790	3	1	2
2018	종로구	창신1동	6,237	3,366	2,871	1,169	585	584	1,158	579	579	11	6	5
2018	종로구	창신2동	10,015	5,072	4,943	1,673	722	951	1,649	709	940	24	13	11
2018	종로구	창신3동	7,439	3,667	3,772	1,135	496	639	1,132	494	638	3	2	1
2018	종로구	숭인1동	6,723	3,310	3,413	1,148	495	653	1,144	493	651	4	2	2
2018	종로구	숭인2동	10,088	5,074	5,014	1,603	780	823	1,593	775	818	10	5	5
2018	종로구	청운효자동	13,293	6,260	7,033	2,172	898	1,274	2,149	884	1,265	23	14	9
2018	종로구	혜화동	20,366	9,420	10,946	2,552	1,019	1,533	2,547	1,017	1,530	5	2	3
2018	중구	소계	135,633	66,674	68,959	22,005	9,635	12,370	21,750	9,498	12,252	255	137	118
2018	중구	소공동	2,936	1,516	1,420	260	127	133	227	107	120	33	20	13
2018	중구	회현동	5,952	3,239	2,713	1,393	710	683	1,332	677	655	61	33	28
2018	중구	명동	3,470	1,538	1,932	701	253	448	677	239	438	24	14	10
2018	중구	필동	5,045	2,552	2,493	787	348	439	783	347	436	4	1	3
2018	중구	장충동	5,653	2,782	2,871	774	329	445	767	327	440	7	2	5
2018	중구	광희동	6,057	3,165	2,892	1,115	541	574	1,097	532	565	18	9	9
2018	중구	을지로동	1,901	1,143	758	458	261	197	448	255	193	10	6	4
2018	중구	신당5동	9,691	4,802	4,889	1,525	642	883	1,513	635	878	12	7	5
2018	중구	황학동	13,380	6,524	6,856	1,794	821	973	1,776	811	965	18	10	8
2018	중구	중림동	12,980	6,523	6,457	1,887	839	1,048	1,872	833	1,039	15	6	9
2018	중구	신당동	9,419	4,639	4,780	1,304	583	721	1,270	565	705	34	18	16
2018	중구	다산동	15,113	7,317	7,796	2,427	1,046	1,381	2,420	1,041	1,379	7	5	2
2018	중구	약수동	17,973	8,503	9,470	3,398	1,430	1,968	3,390	1,426	1,964	8	4	4
2018	중구	청구동	14,844	7,040	7,804	2,506	991	1,515	2,504	989	1,515	2	2	-
2018	중구	동화동	11,219	5,391	5,828	1,676	714	962	1,674	714	960	2	-	2
2018	용산구	소계	245,090	119,766	125,324	37,640	15,892	21,748	37,212	15,630	21,582	428	262	166
2018	용산구	후암동	18,703	9,109	9,594	2,934	1,183	1,751	2,908	1,168	1,740	26	15	11
2018	용산구	용산2가동	12,107	5,952	6,155	2,016	851	1,165	1,998	839	1,159	18	12	6
2018	용산구	남영동	8,501	5,133	3,368	1,550	908	642	1,533	898	635	17	10	7
2018	용산구	원효로2동	15,064	7,066	7,998	2,291	958	1,333	2,286	958	1,328	5	-	5
2018	용산구	효창동	9,054	4,315	4,739	1,291	530	761	1,285	526	759	6	4	2
2018	용산구	용문동	12,757	6,136	6,621	1,955	816	1,139	1,953	814	1,139	2	2	-
2018	용산구	이촌1동	29,341	13,758	15,583	4,308	1,782	2,526	4,259	1,748	2,511	49	34	15
2018	용산구	이촌2동	9,090	4,284	4,806	1,673	676	997	1,666	671	995	7	5	2
2018	용산구	이태원1동	9,315	4,945	4,370	1,527	577	950	1,494	562	932	33	15	18
2018	용산구	이태원2동	10,927	5,162	5,765	1,847	744	1,103	1,810	718	1,092	37	26	11
2018	용산구	서빙고동	14,257	6,899	7,358	2,041	826	1,215	2,014	807	1,207	27	19	8
2018	용산구	보광동	16,124	8,098	8,026	2,669	1,059	1,610	2,651	1,050	1,601	18	9	9
2018	용산구	청파동	20,922	9,871	11,051	3,232	1,327	1,905	3,211	1,318	1,893	21	9	12
2018	용산구	원효로1동	16,034	7,785	8,249	1,842	812	1,030	1,818	797	1,021	24	15	9
2018	용산구	한강로동	19,209	9,399	9,810	2,978	1,363	1,615	2,909	1,319	1,590	69	44	25
2018	용산구	한남동	23,685	11,854	11,831	3,486	1,480	2,006	3,417	1,437	1,980	69	43	26
2018	성동구	소계	316,463	155,091	161,372	42,767	18,612	24,155	42,629	18,531	24,098	138	81	57
2018	성동구	왕십리2동	18,148	8,821	9,327	2,422	1,053	1,369	2,416	1,048	1,368	6	5	1
2018	성동구	마장동	24,157	11,855	12,302	3,486	1,581	1,905	3,476	1,575	1,901	10	6	4
2018	성동구	사근동	13,408	6,665	6,743	1,418	610	808	1,412	606	806	6	4	2
2018	성동구	행당1동	16,728	8,135	8,593	2,273	995	1,278	2,270	993	1,277	3	2	1
2018	성동구	행당2동	25,075	11,840	13,235	3,385	1,431	1,954	3,382	1,430	1,952	3	1	2
2018	성동구	응봉동	16,405	7,756	8,649	2,361	985	1,376	2,360	985	1,375	1	-	1
2018	성동구	금호1가동	16,191	7,775	8,416	2,305	977	1,328	2,298	973	1,325	7	4	3
2018	성동구	금호4가동	15,488	7,423	8,065	2,123	867	1,256	2,121	866	1,255	2	1	1
2018	성동구	성수1가1동	17,570	8,840	8,730	1,985	897	1,088	1,974	891	1,083	11	6	5
2018	성동구	성수1가2동	15,786	7,894	7,892	1,975	879	1,096	1,968	877	1,091	7	2	5
2018	성동구	성수2가1동	18,317	9,506	8,811	2,627	1,183	1,444	2,613	1,174	1,439	14	9	5
2018	성동구	성수2가3동	11,915	6,180	5,735	1,711	810	901	1,701	804	897	10	6	4
2018	성동구	송정동	11,778	6,258	5,520	1,624	742	882	1,606	730	876	18	12	6
2018	성동구	용답동	15,659	8,248	7,411	2,392	1,086	1,306	2,373	1,076	1,297	19	10	9
2018	성동구	왕십리도선동	27,853	13,304	14,549	3,366	1,414	1,952	3,362	1,413	1,949	4	1	3
2018	성동구	금호2.3가동	24,467	11,690	12,777	3,663	1,539	2,124	3,661	1,538	2,123	2	1	1
2018	성동구	옥수동	27,518	12,901	14,617	3,651	1,563	2,088	3,636	1,552	2,084	15	11	4
2018	광진구	소계	371,063	179,527	191,536	45,619	20,291	25,328	45,432	20,200	25,232	187	91	96
2018	광진구	화양동	24,804	11,423	13,381	2,166	968	1,198	2,152	961	1,191	14	7	7
2018	광진구	군자동	22,029	10,803	11,226	2,735	1,239	1,496	2,722	1,234	1,488	13	5	8
