기간,자치구,전체인구(계),전체인구(남),전체인구(여),65세이상 인구(계),65세이상 인구(남),65세이상 인구(여)
2018,종로구,"163,026","79,156","83,870","26,742","11,779","14,963"
2018,중구,"135,633","66,674","68,959","22,005","9,635","12,370"
2018,용산구,"245,090","119,766","125,324","37,640","15,892","21,748"
2018,성동구,"316,463","155,091","161,372","42,767","18,612","24,155"
2018,광진구,"371,063","179,527","191,536","45,619","20,291","25,328"
2018,동대문구,"364,338","179,774","184,564","57,165","25,347","31,818"
2018,중랑구,"408,147","202,448","205,699","61,830","27,516","34,314"
2018,성북구,"447,687","216,495","231,192","67,782","29,163","38,619"
2018,강북구,"322,915","157,522","165,393","58,196","25,034","33,162"
2018,도봉구,"341,649","167,043","174,606","55,964","24,854","31,110"
2018,노원구,"548,160","265,870","282,290","77,096","32,280","44,816"
2018,은평구,"487,666","235,600","252,066","77,420","33,525","43,895"
2018,서대문구,"323,080","153,816","169,264","50,456","21,334","29,122"
2018,마포구,"386,359","182,573","203,786","50,833","21,270","29,563"
2018,양천구,"468,145","230,457","237,688","58,045","25,907","32,138"
2018,강서구,"603,611","293,289","310,322","79,660","35,261","44,399"
2018,구로구,"438,486","219,949","218,537","61,801","28,372","33,429"
2018,금천구,"254,021","130,398","123,623","35,739","16,301","19,438"
2018,영등포구,"403,600","203,319","200,281","55,673","25,178","30,495"
2018,동작구,"409,385","198,458","210,927","59,479","25,930","33,549"
2018,관악구,"520,040","260,742","259,298","72,249","32,306","39,943"
2018,서초구,"438,163","209,977","228,186","54,751","24,797","29,954"
2018,강남구,"547,453","262,203","285,250","67,085","30,105","36,980"
2018,송파구,"673,507","326,849","346,658","81,364","37,554","43,810"
2018,강동구,"431,920","213,853","218,067","58,770","26,797","31,973"
