"기간","자치구","인구밀도"
1991,"종로구",9865
1991,"중구",18438
1991,"용산구",13460
1991,"성동구",23273
1991,"동대문구",32477
1991,"중랑구",24866
1991,"성북구",22329
1991,"도봉구",16721
1991,"노원구",14758
1991,"은평구",16699
1991,"서대문구",22192
1991,"마포구",18526
1991,"양천구",28921
1991,"강서구",9862
1991,"구로구",22795
1991,"영등포구",18922
1991,"동작구",26206
1991,"관악구",19855
1991,"서초구",8852
1991,"강남구",13271
1991,"송파구",20371
1991,"강동구",22744
1992,"종로구",9496
1992,"중구",17701
1992,"용산구",13135
1992,"성동구",22991
1992,"동대문구",31862
1992,"중랑구",25284
1992,"성북구",21699
1992,"도봉구",17212
1992,"노원구",16049
1992,"은평구",17107
1992,"서대문구",22054
1992,"마포구",18125
1992,"양천구",28918
1992,"강서구",10573
1992,"구로구",22528
1992,"영등포구",18546
1992,"동작구",26114
1992,"관악구",19887
1992,"서초구",8865
1992,"강남구",14280
1992,"송파구",20409
1992,"강동구",22453
1993,"종로구",9264
1993,"중구",16755
1993,"용산구",12646
1993,"성동구",22627
1993,"동대문구",31076
1993,"중랑구",25381
1993,"성북구",21162
1993,"도봉구",17519
1993,"노원구",16522
1993,"은평구",17257
1993,"서대문구",21589
1993,"마포구",17704
1993,"양천구",28449
1993,"강서구",11454
1993,"구로구",22080
1993,"영등포구",18217
1993,"동작구",26900
1993,"관악구",19914
1993,"서초구",8680
1993,"강남구",14426
1993,"송파구",20310
1993,"강동구",21905
1994,"종로구",8989
1994,"중구",15677
1994,"용산구",12286
1994,"성동구",22221
1994,"동대문구",31199
1994,"중랑구",24716
1994,"성북구",20511
1994,"도봉구",17432
1994,"노원구",16613
1994,"은평구",17261
1994,"서대문구",21288
1994,"마포구",17280
1994,"양천구",28302
1994,"강서구",12276
1994,"구로구",21211
1994,"영등포구",17651
1994,"동작구",26951
1994,"관악구",19569
1994,"서초구",8735
1994,"강남구",14471
1994,"송파구",20067
1994,"강동구",21192
1995,"종로구",8559
1995,"중구",14608
1995,"용산구",11934
1995,"성동구",20347
1995,"광진구",22941
1995,"동대문구",29582
1995,"중랑구",24565
1995,"성북구",20269
1995,"강북구",16734
1995,"도봉구",17942
1995,"노원구",16891
1995,"은평구",16939
1995,"서대문구",21105
1995,"마포구",16775
1995,"양천구",27996
1995,"강서구",12644
1995,"구로구",19019
1995,"금천구",21759
1995,"영등포구",17016
1995,"동작구",26709
1995,"관악구",18886
1995,"서초구",8644
1995,"강남구",14135
1995,"송파구",19742
1995,"강동구",20611
1996,"종로구",8339
1996,"중구",13524
1996,"용산구",11661
1996,"성동구",19668
