"계정코드별","지역코드별",2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05
"예금취급기관","서울",193139.8,193848.4,194886.7,195633.0,196699.9,197868.1,198817.2,199989.5,200291.6,201343.5,201945.4,202092.0,200857.0,200955.6,200579.4,200872.2,201376.2,201622.2,201771.5,201656.3,199885.0,200269.1,200577.4,201002.1,200072.2,199441.8,199090.2,199239.5,200043.2,201007.4,201256.2,202007.6,201617.4,202438.9,203133.6,203601.7,202891.1,204192.4,204754.0,204805.3,205503.2,206691.8,208293.8,209866.3,211558.6,213996.4,216254.4,217982.0,218276.2,219526.8,222200.6,225540.0,226020.3,223362.3,224570.6,227245.5,229412.7,233046.8,235396.6,237929.1,238917.9,240100.7,241702.3,243294.3,245951.7,248586.1,250932.3,254359.0,255854.3,258447.8,261979.3,262435.9,262293.2,262727.2,263208.1,264498.4,266384.9,268358.5,271009.2,274899.9,276197.3,278568.7,281452.2,282438.7,283669.8,284094.8,285382.6,287303.5,288940.0,289868.6,291201.8,293203.6,295266.1,298189.6,300850.4,301803.2,301208.6,301725.2,302256.6,304106.8,306218.9,307850.9,310648.3,314138.1,315819.7,318900.5,321228.2,323097.2,323866.6,326252.6,330397.8,332221.8,334236.2,336897.1,340297.2,345570.0,350203.9,355160.8,361190.4,363817.0,368505.5,371717.3,375179.8,385299.8,383313.8
"주택담보대출","서울",124710.3,125280.3,126216.0,126822.7,126687.8,127018.0,127536.8,127651.6,128044.9,128497.6,129001.2,129389.5,128780.1,128685.7,128734.1,128727.8,128511.4,128578.4,128199.5,127699.1,127010.2,126580.8,126096.5,126569.8,125883.7,125338.6,125078.4,124678.2,125056.8,125500.5,125437.8,125667.6,125556.5,126081.0,126408.4,127035.2,126949.9,127728.2,128438.2,128399.9,128903.2,129784.1,130921.4,131869.6,133147.8,134970.1,136373.7,137629.0,138052.9,139228.2,141060.9,143806.2,143928.8,140432.2,141387.3,143353.1,145157.6,147568.3,149085.7,151157.6,151897.6,152080.1,153160.2,154391.2,156076.0,158001.3,159624.8,161830.8,163200.0,164916.1,167171.7,167875.7,167698.8,167852.0,168377.3,169036.1,169838.4,171044.5,172570.4,174607.2,174828.7,175427.9,176351.5,176991.0,177280.4,177150.8,177624.2,178078.0,178762.9,178960.1,179277.6,179981.4,181251.5,181938.7,183394.7,183858.0,183577.9,183974.3,184496.7,185582.2,186359.3,186961.8,187995.3,189603.0,190097.9,192231.8,193327.0,194201.6,195176.2,196654.8,198287.6,200025.0,201328.2,202582.3,203613.0,205553.4,208142.8,210849.4,212534.2,214865.7,217196.4,220054.2,222423.7,224023.6,225226.0
"기타대출","서울",68429.5,68568.1,68670.7,68810.3,70012.1,70850.1,71280.4,72337.8,72246.7,72845.8,72944.2,72702.5,72076.9,72269.9,71845.2,72144.3,72864.8,73043.7,73572.0,73957.1,72874.8,73688.4,74480.9,74432.3,74188.5,74103.2,74011.8,74561.3,74986.4,75506.9,75818.3,76340.0,76060.9,76358.0,76725.1,76566.5,75941.2,76464.2,76315.9,76405.4,76600.1,76907.7,77372.4,77996.7,78410.8,79026.3,79880.6,80352.9,80223.3,80298.6,81139.7,81733.8,82091.5,82930.1,83183.3,83892.4,84255.1,85478.5,86310.9,86771.5,87020.3,88020.6,88542.1,88903.1,89875.7,90584.8,91307.5,92528.2,92654.3,93531.7,94807.6,94560.2,94594.4,94875.3,94830.8,95462.3,96546.5,97314.0,98438.8,100292.7,101368.6,103140.8,105100.7,105447.7,106389.4,106944.0,107758.5,109225.6,110177.0,110908.6,111924.2,113222.2,114014.6,116250.9,117455.7,117945.1,117630.7,117750.9,117759.9,118524.6,119859.6,120889.1,122653.0,124535.0,125721.8,126668.8,127901.2,128895.6,128690.4,129597.8,132110.2,132196.8,132908.0,134314.8,136684.2,140016.7,142061.1,144311.4,148656.1,148951.3,151309.1,151663.2,152756.2,161276.2,158087.8
"예금은행","서울",169489.2,170077.8,170858.8,171365.5,172186.6,173081.5,173692.4,174583.9,174706.2,175526.6,175814.7,175716.7,174706.3,174787.0,174449.1,174582.1,175168.0,175293.0,175424.4,175390.6,174773.1,175302.3,175673.7,176071.2,175082.3,174498.2,174200.7,174637.3,175390.8,176288.1,176455.3,177067.0,176907.9,177635.8,178360.5,178680.9,177913.1,179093.7,179429.8,179265.7,179632.0,180580.6,181694.5,182838.9,184249.7,186206.2,188203.4,189680.1,189694.1,190796.3,192721.8,195837.1,196106.9,193178.7,193915.1,196322.4,198213.4,201129.3,203049.1,205092.6,205296.8,205957.0,206806.4,207808.2,209930.0,211880.7,213391.0,216015.0,217478.3,219312.8,221987.3,221765.7,220821.5,220672.7,220617.9,221426.6,222927.3,224768.7,227469.9,230997.6,232271.1,234410.7,237018.3,238196.5,239190.4,239632.9,241036.3,242900.6,244660.4,245744.6,247169.5,249245.6,251547.8,254393.4,256775.7,257626.8,256885.8,257365.0,258154.6,259680.8,261748.6,263417.0,265963.2,269423.7,271268.1,274102.3,276243.6,277978.7,278623.0,280797.6,284821.7,286316.8,288171.8,290795.0,293846.6,298771.6,303023.1,307478.0,312736.3,314963.4,318912.2,321493.4,324146.7,332640.9,330308.3
"주택담보대출","서울",110023.5,110519.4,111300.8,111772.6,111618.7,111827.7,112259.3,112255.8,112454.4,112836.4,113238.7,113511.0,112948.5,112935.5,113018.8,113063.5,112938.1,113052.8,112853.3,112446.3,111954.2,111746.0,111475.8,112091.6,111540.9,111162.4,111101.6,110800.5,111249.2,111704.0,111735.9,111957.5,111812.5,112367.0,112716.3,113314.0,113198.6,113939.6,114563.7,114504.5,114945.8,115767.6,116795.1,117790.7,119122.2,121037.3,122517.3,123839.5,124316.3,125547.0,127371.7,130256.1,130403.8,126913.5,127804.2,129722.9,131438.7,133698.7,135043.0,136921.7,137481.7,137498.4,138328.7,139269.0,140815.3,142442.5,143787.5,145726.2,147081.0,148459.6,150289.6,150524.8,150057.6,149951.1,150077.9,150448.7,151060.9,152162.7,153613.1,155351.2,155535.3,156014.4,156963.3,157613.3,157860.7,157826.9,158308.0,158951.7,159842.5,160289.3,160847.2,161771.3,163264.1,164124.3,165656.4,166251.4,166048.0,166523.5,167189.5,168348.7,169248.5,170019.9,171237.7,173020.1,174397.0,176025.6,177219.5,178277.8,179412.9,180957.0,182729.9,184514.3,185898.0,187310.7,188450.9,190483.9,193141.5,195840.5,197539.2,199946.5,202250.9,204918.2,207094.9,208558.5,209714.0
"기타대출","서울",59465.8,59558.4,59558.0,59592.9,60567.9,61253.8,61433.1,62328.1,62251.8,62690.2,62576.0,62205.7,61757.8,61851.5,61430.3,61518.6,62229.9,62240.2,62571.0,62944.3,62818.9,63556.3,64197.9,63979.6,63541.5,63335.9,63099.1,63836.9,64141.6,64584.1,64719.5,65109.4,65095.4,65268.8,65644.1,65366.9,64714.5,65154.1,64866.1,64761.2,64686.2,64813.0,64899.4,65048.1,65127.5,65169.0,65686.1,65840.7,65377.8,65249.2,65350.1,65581.0,65703.2,66265.2,66110.9,66599.5,66774.7,67430.6,68006.1,68170.9,67815.2,68458.7,68477.7,68539.2,69114.7,69438.2,69603.5,70288.7,70397.3,70853.2,71697.7,71240.9,70763.8,70721.6,70540.0,70977.9,71866.4,72606.0,73856.8,75646.4,76735.8,78396.3,80054.9,80583.2,81329.7,81806.0,82728.3,83948.9,84817.9,85455.4,86322.3,87474.3,88283.7,90269.1,91119.2,91375.4,90837.9,90841.5,90965.1,91332.1,92500.1,93397.1,94725.5,96403.7,96871.2,98076.7,99024.1,99700.9,99210.1,99840.6,102091.8,101802.5,102273.8,103484.3,105395.7,108287.7,109881.6,111637.5,115197.1,115016.9,116661.3,116575.2,117051.8,124082.4,120594.3
"비은행예금취급기관","서울",23650.5,23770.6,24028.0,24267.5,24513.2,24786.6,25124.8,25405.6,25585.4,25816.9,26130.8,26375.3,26150.7,26168.6,26130.3,26290.1,26208.2,26329.2,26347.1,26265.6,25112.0,24966.8,24903.7,24930.8,24989.9,24943.6,24889.6,24602.2,24652.4,24719.3,24800.9,24940.6,24709.5,24803.2,24773.1,24920.8,24978.0,25098.7,25324.3,25539.6,25871.2,26111.2,26599.3,27027.4,27308.9,27790.2,28051.0,28301.9,28582.1,28730.5,29478.8,29702.8,29913.3,30183.6,30655.5,30923.1,31199.3,31917.5,32347.5,32836.6,33621.0,34143.7,34895.9,35486.2,36021.7,36705.4,37541.3,38344.0,38376.0,39135.0,39992.0,40670.3,41471.7,42054.5,42590.2,43071.9,43457.6,43589.8,43539.4,43902.3,43926.2,44158.0,44434.0,44242.2,44479.4,44461.9,44346.4,44402.9,44279.6,44124.0,44032.3,43958.0,43718.3,43796.2,44074.7,44176.4,44322.8,44360.2,44102.0,44426.0,44470.3,44433.9,44685.1,44714.3,44551.5,44798.3,44984.6,45118.5,45243.6,45455.0,45576.1,45905.0,46064.4,46102.1,46450.6,46798.4,47180.8,47682.8,48454.1,48853.5,49593.3,50223.9,51033.1,52658.9,53005.4
"주택담보대출","서울",14686.8,14760.8,14915.2,15050.1,15069.1,15190.3,15277.5,15395.8,15590.6,15661.2,15762.5,15878.5,15831.5,15750.2,15715.3,15664.4,15573.3,15525.7,15346.1,15252.8,15056.1,14834.8,14620.7,14478.2,14342.9,14176.2,13976.9,13877.7,13807.7,13796.5,13702.0,13710.1,13744.0,13713.9,13692.1,13721.3,13751.3,13788.6,13874.5,13895.5,13957.4,14016.5,14126.3,14078.9,14025.6,13932.8,13856.4,13789.6,13736.6,13681.2,13689.2,13550.1,13525.0,13518.7,13583.1,13630.2,13718.9,13869.6,14042.7,14235.9,14415.9,14581.7,14831.5,15122.2,15260.8,15558.7,15837.3,16104.5,16119.1,16456.5,16882.1,17351.0,17641.1,17900.8,18299.4,18587.4,18777.5,18881.8,18957.3,19256.0,19293.4,19413.5,19388.2,19377.7,19419.7,19323.8,19316.2,19126.2,18920.4,18670.8,18430.4,18210.1,17987.4,17814.4,17738.3,17606.7,17530.0,17450.8,17307.2,17233.6,17110.7,16941.9,16757.6,16583.0,15700.9,16206.2,16107.5,15923.8,15763.3,15697.8,15557.7,15510.7,15430.2,15271.6,15162.1,15069.5,15001.3,15008.9,14995.1,14919.1,14945.5,15135.9,15328.7,15465.1,15512.0
"기타대출","서울",8963.7,9009.8,9112.8,9217.4,9444.1,9596.3,9847.3,10009.8,9994.8,10155.7,10368.2,10496.8,10319.2,10418.4,10414.9,10625.7,10634.9,10803.5,11001.0,11012.8,10055.9,10132.0,10283.0,10452.6,10647.0,10767.4,10912.7,10724.5,10844.8,10922.9,11098.9,11230.5,10965.5,11089.2,11081.0,11199.5,11226.7,11310.1,11449.8,11644.2,11913.8,12094.8,12473.0,12948.5,13283.3,13857.3,14194.5,14512.3,14845.5,15049.4,15789.6,16152.8,16388.3,16664.8,17072.4,17292.9,17480.4,18047.9,18304.8,18600.7,19205.1,19562.0,20064.4,20364.0,20760.9,21146.7,21704.0,22239.5,22256.9,22678.5,23109.9,23319.3,23830.6,24153.7,24290.8,24484.5,24680.1,24708.0,24582.1,24646.3,24632.8,24744.5,25045.7,24864.5,25059.7,25138.0,25030.2,25276.7,25359.2,25453.2,25601.8,25747.9,25730.9,25981.9,26336.4,26569.7,26792.8,26909.5,26794.8,27192.4,27359.6,27492.0,27927.5,28131.3,28850.6,28592.1,28877.1,29194.7,29480.3,29757.2,30018.4,30394.3,30634.3,30830.5,31288.5,31729.0,32179.5,32673.8,33459.0,33934.4,34647.8,35088.0,35704.4,37193.8,37493.5
"상호저축은행","서울",3973.4,4071.7,4175.8,4320.7,4437.3,4565.4,4767.8,4840.0,4966.0,4985.2,5138.9,5248.3,5140.9,5202.1,5198.7,5326.8,5285.4,5323.2,5362.2,5306.5,4184.4,4146.1,4133.0,4035.7,4353.2,4373.7,4314.1,4003.3,3999.9,3948.7,4004.7,4078.9,3792.1,3812.3,3724.1,3731.6,3748.1,3699.3,3730.6,3720.2,3820.9,3733.5,3847.1,4195.8,4441.5,4891.0,5114.6,5311.7,5564.1,5720.5,6471.5,6687.9,6828.8,6919.4,7171.2,7199.4,7313.6,7714.7,7894.5,8092.4,8486.1,8753.4,9102.2,9368.5,9653.2,9895.0,10323.5,10571.2,10621.5,10892.9,11178.9,11339.0,11784.1,12127.8,12270.4,12483.7,12595.9,12577.0,12385.8,12660.2,12630.0,12706.2,12867.5,12778.0,13047.6,13170.2,13187.8,13396.3,13453.0,13442.6,13658.6,13878.4,13844.5,14088.7,14368.9,14521.0,14793.8,15005.5,14837.0,15175.4,15378.2,15432.5,15839.0,16046.1,15976.4,16268.5,16525.8,16691.8,17015.4,17186.5,17381.8,17731.9,17944.2,18054.0,18497.5,18892.8,19293.1,19770.7,20318.7,20793.5,21375.2,21759.5,22301.8,23118.4,23672.1
