행정구역(시군구)별(2),평균연봉(원)
강남구,711977.8395730087
강동구,405105.55776166415
강북구,292829.9928588431
강서구,373891.5660196746
관악구,315681.6394844655
광진구,377348.7423521414
구로구,347566.79061701667
금천구,300568.0554713243
노원구,376818.0582280599
도봉구,319734.3627653215
동대문구,348179.21038122557
동작구,407967.567302746
마포구,467339.0593675742
서대문구,411391.50826548645
서초구,711775.8331803838
성동구,461637.3851475976
성북구,393469.3445410504
송파구,505915.8421131366
양천구,457720.4254568425
영등포구,432783.36102206516
용산구,627043.2591348173
은평구,344862.72399095335
종로구,487047.7708819678
중구,462029.18781725893
중랑구,303161.86919480737
