"계정항목코드별",2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06
"종금사할인어음",3.91,4.35,4.90,3.98,4.15,4.46,4.23,4.22,4.18,3.97,4.04,4.11,3.94,3.94,3.76,3.91,3.96,3.94,3.56,3.41,3.52,3.20,3.11,3.35,3.10,3.13,2.99,3.08,3.15,2.95,2.90,2.92,2.93,2.92,2.93,3.03,3.02,2.95,2.89,2.95,2.99,2.90,2.88,2.84,2.61,2.57,2.52,2.42,2.45,2.49,2.21,2.06,2.17,1.97,1.89,1.87,1.86,1.90,1.94,1.96,1.93,1.89,1.88,1.90,1.87,1.79,1.71,1.63,1.67,1.69,1.81,1.98,1.88,1.69,1.88,1.77,1.64,1.81,1.70,1.65,1.83,1.80,1.89,2.34,1.94,1.91,2.32,2.05,2.00,2.15,2.05,2.05,2.10,2.19,2.24,2.42,2.27,2.27,2.27,2.28,2.25,2.19,2.16,1.88,1.98,1.89,2.01,2.05,1.89,1.81,1.73,1.64,1.55,1.43,1.36,1.26,1.24,1.22,1.17,1.31,1.11,1.20,1.35,1.21,1.07,1.46
"계약금액내대출",12.30,11.42,11.51,10.78,11.55,11.39,13.93,11.94,13.22,11.69,12.98,13.08,13.49,14.78,12.87,12.77,12.97,14.50,11.82,15.06,15.12,11.03,10.14,9.49,10.44,10.98,9.18,10.34,9.60,8.31,9.61,9.60,10.67,8.94,8.43,9.36,9.51,8.73,9.84,8.67,9.00,9.41,9.80,8.65,9.10,7.40,7.77,7.41,6.85,7.12,6.87,7.85,8.43,8.91,9.44,11.57,9.69,9.62,11.05,7.81,9.29,9.64,8.76,8.86,9.05,8.84,7.69,7.84,10.24,8.34,9.58,9.63,10.12,11.19,13.16,7.27,8.76,6.73,7.21,7.18,7.48,7.36,6.73,8.34,6.37,6.77,6.90,7.54,6.24,6.30,6.78,7.01,7.07,5.94,6.55,6.52,6.68,7.14,6.15,6.73,6.63,6.57,6.14,6.39,6.80,6.79,6.75,6.69,6.32,6.28,6.52,6.54,6.60,6.03,6.11,6.02,-,0.00,-,-,-,-,-,-,-,-
"할인어음",9.89,10.27,9.97,9.62,10.25,9.90,9.64,9.49,9.88,9.92,9.38,9.82,10.24,9.52,9.81,9.50,9.23,9.37,8.89,9.58,9.50,8.84,8.99,9.24,9.55,9.29,9.32,9.39,8.46,9.06,9.17,8.70,8.69,8.66,8.42,8.51,8.75,8.04,8.42,8.78,8.08,8.78,8.73,8.12,8.51,8.36,7.86,8.22,8.21,8.05,8.57,7.90,7.72,8.07,7.47,7.73,8.17,7.30,7.35,7.30,7.32,7.42,7.58,7.34,7.34,7.26,7.40,7.40,7.04,6.93,7.11,7.53,7.62,7.53,7.66,6.62,7.05,7.67,7.36,7.77,6.97,6.35,6.70,6.85,6.77,7.00,6.76,6.60,6.79,7.18,7.61,6.77,7.34,7.43,7.08,7.23,6.84,7.25,6.98,6.77,7.38,6.64,6.48,6.52,6.37,6.30,5.09,7.02,6.75,7.06,5.76,6.79,5.39,6.88,6.55,7.14,6.50,6.07,5.19,6.59,7.07,7.39,6.48,6.57,7.21,7.28
"일반대출",15.00,15.22,15.41,15.41,16.72,15.07,17.50,16.71,16.71,16.78,17.02,14.71,17.15,15.72,14.88,15.56,15.20,15.73,15.43,15.55,15.37,16.00,15.10,13.73,15.72,15.52,15.28,14.78,13.73,13.10,12.06,12.27,11.13,12.00,11.40,10.92,11.61,10.07,9.96,9.92,10.72,10.83,11.40,11.70,11.72,12.24,12.21,11.66,12.51,11.96,12.07,11.73,11.33,11.22,11.75,11.41,11.43,11.03,10.81,11.46,12.10,11.91,11.57,11.45,10.90,10.93,11.20,11.44,10.97,10.92,10.69,10.67,11.75,11.36,10.96,10.77,11.02,10.57,10.95,11.30,10.73,11.07,11.02,10.50,11.42,10.83,10.41,10.69,10.75,10.26,10.92,10.99,10.59,10.84,10.62,10.28,11.36,10.89,10.48,10.34,10.42,10.63,11.30,10.48,10.33,10.51,10.05,9.74,10.63,10.08,10.18,9.79,9.80,9.76,10.01,10.15,9.73,10.18,10.05,9.94,10.14,10.11,9.70,9.96,10.21,9.71
"기업자금대출1)",10.22,10.31,10.51,10.12,10.42,10.04,10.43,10.44,10.57,9.84,10.73,10.19,10.68,10.29,10.04,9.88,9.60,9.75,9.63,9.49,9.38,9.24,8.96,8.99,9.29,9.09,8.82,8.85,8.55,8.67,8.26,8.32,8.06,8.16,7.90,7.87,8.12,8.16,8.01,7.81,8.08,8.20,8.52,8.20,8.34,8.33,8.25,8.27,8.37,8.36,8.27,8.48,8.01,7.94,8.18,7.98,8.16,7.86,7.87,7.90,7.84,7.85,7.97,7.88,7.57,7.81,8.13,7.80,7.90,7.45,7.25,7.61,7.97,7.57,7.99,8.06,8.28,8.29,8.35,8.46,8.34,8.15,8.21,8.39,8.85,8.47,8.14,8.38,8.25,8.09,8.42,8.33,8.27,7.88,8.04,7.79,8.26,8.15,7.73,7.61,7.52,7.65,7.91,7.23,7.38,7.01,6.79,6.68,6.91,6.80,6.62,6.34,6.34,6.46,6.14,6.22,5.99,6.02,5.93,6.14,6.07,6.08,6.03,6.05,6.27,6.40
"가계자금대출 1)",21.22,21.16,23.42,23.22,23.71,23.68,23.22,22.95,23.25,23.57,22.14,21.93,22.70,22.56,22.70,23.11,22.37,22.89,22.94,23.54,22.41,22.51,22.89,20.39,21.75,21.44,21.34,21.33,19.99,18.39,17.40,17.01,16.25,16.21,17.15,16.59,17.16,13.80,13.92,14.28,14.86,15.92,15.83,17.27,17.46,17.56,17.05,17.33,17.15,16.82,17.72,15.59,15.98,16.41,16.35,15.89,16.30,15.88,14.82,16.58,17.37,17.23,16.22,15.60,15.22,15.04,14.57,15.70,15.19,15.51,15.42,14.75,15.51,15.21,14.80,14.28,14.60,14.04,15.23,14.67,14.40,15.15,15.25,14.55,15.87,14.78,14.40,14.35,14.59,14.08,14.71,15.18,14.55,14.41,14.20,14.32,14.73,14.31,14.93,13.78,14.27,14.69,15.29,14.90,14.94,15.24,14.75,14.64,14.75,14.81,14.67,14.26,14.26,14.20,14.25,14.27,14.41,14.22,14.05,13.98,14.25,14.40,14.04,14.00,13.76,13.48
"주택담보대출",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.24,8.03,7.84,8.30,7.63,7.61,7.56,7.60,7.43,7.52,7.48,7.43,7.09,6.93,7.58,7.07,6.83,6.96,6.84,6.78,6.70,6.63,6.50,6.31,6.55,6.43,6.11,5.96,6.07,5.96,5.72,5.92,5.81,5.99,5.85,5.74,6.09,6.00,5.99,5.70,5.78,5.92,5.72,6.08,6.15,6.06,5.87,6.23,6.17,6.33,6.23,6.23,5.93,6.38,6.28,6.47,6.85,6.51,6.56,6.10,6.55,6.46,6.24,5.78,5.98,6.28,6.06,6.04,5.88,6.20,5.45,5.84,5.85,5.49,5.38,5.06,5.47,5.12,5.11,5.32,5.41,4.84,5.24,5.21,4.90,5.08,4.84,5.34,4.92,4.91
"기타담보대출",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.81,7.72,8.08,7.40,8.49,8.19,7.27,8.33,8.16,7.26,7.15,7.06,7.21,7.45,8.00,7.03,7.04,7.79,7.15,7.19,7.48,7.12,6.44,7.33,7.50,7.37,7.35,6.89,6.70,6.71,6.44,6.80,6.88,6.82,7.08,6.81,7.47,7.58,7.81,8.77,8.24,6.94,8.20,7.75,7.15,7.51,7.26,7.39,7.27,7.27,7.32,6.98,6.85,6.71,8.09,8.65,7.87,7.27,7.19,7.34,7.17,7.08,7.53,5.89,6.22,6.55,7.95,7.68,7.56,7.84,7.66,7.47,7.22,7.18,7.94,7.34,7.48,7.72,7.66,7.20,7.46,6.90,6.92,7.14,7.20,7.92,7.76,8.02,8.03,7.50
"보증대출",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.51,10.45,10.41,10.46,10.47,10.46,10.44,10.45,10.48,10.44,10.41,10.27,10.36,10.38,10.35,10.21,10.09,9.83,9.79,8.72,8.65,8.42,8.51,8.52,8.71,8.96,8.17,7.36,8.29,8.47,8.50,8.57,9.31,9.96,10.42,10.22,9.58,9.70,9.38,9.55,9.68,9.69,9.88,10.20,10.39,11.26,11.35,11.64,11.53,11.52,11.52,11.57,11.45,11.59,11.94,12.33,12.46,12.43,12.25,11.92,11.97,11.97,11.47,10.75,10.17,9.97,9.90,10.04,9.96,9.98,9.94,9.46,9.55,9.61,9.40,9.23,9.18,9.18,9.07,8.95,8.76,8.60,8.66,8.62,8.78,8.76,8.55,8.35,8.17,8.08
"일반신용대출",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.26,21.38,21.75,23.41,20.94,23.37,23.05,24.43,22.74,23.32,24.39,25.85,25.71,25.75,26.32,23.40,24.46,25.12,25.50,25.88,24.99,26.00,25.50,25.57,25.77,24.75,24.11,23.61,22.62,23.28,23.23,23.26,22.71,23.05,22.19,22.39,22.88,22.07,21.69,20.78,21.37,22.29,22.44,21.61,21.78,20.86,21.93,21.96,21.69,20.25,19.94,19.71,19.74,19.55,19.47,19.48,19.32,18.78,18.82,19.20,19.27,19.12,19.15,18.91,18.73,18.80,18.58,18.28,18.32,18.36,18.16,17.93,17.98,17.67,17.34,17.07,17.02,16.98,16.92,16.89,16.83,16.94,16.51,16.72,16.52,16.49,16.12,15.67,15.39,15.33
