,환율,코스피지수,기준금리,가계대출(10억원),주택대출(10억원),거래금액(만원)/전용면적(㎡)
2017년 01월,1157.8,2061.73,1.25,262293.2,167698.8,693.7584172377253
2017년 02월,1132.1,2082.8,1.25,262727.2,167852.0,707.8022157023198
2017년 03월,1116.1,2136.17,1.25,263208.1,168377.3,715.6448262572145
2017년 04월,1130.1,2160.18,1.25,264498.4,169036.1,748.5181924647505
2017년 05월,1123.9,2301.89,1.25,266384.9,169838.4,782.5377562346424
2017년 06월,1139.6,2372.2,1.25,268358.5,171044.5,724.0013419101319
2017년 07월,1119.1,2412.9,1.25,271009.2,172570.4,769.4450833442701
2017년 08월,1122.8,2372.18,1.25,274899.9,174607.2,711.428585035329
2017년 09월,1146.7,2371.84,1.25,276197.3,174828.7,798.8173883594088
2017년 10월,1125.0,2482.87,1.25,278568.7,175427.9,805.1418789333575
2017년 11월,1082.4,2533.51,1.5,281452.2,176351.5,867.7010659695322
2017년 12월,1071.4,2467.73,1.5,282438.7,176991.0,869.0732064335176
2018년 01월,1071.5,2520.94,1.5,283669.8,177280.4,852.3122345562434
2018년 02월,1071.0,2439.1,1.5,284094.8,177150.8,771.679820071664
2018년 03월,1066.5,2451.57,1.5,285382.6,177624.2,747.100186549599
2018년 04월,1076.2,2458.22,1.5,287303.5,178078.0,750.340782496593
2018년 05월,1081.3,2461.3,1.5,288940.0,178762.9,753.9542333751685
2018년 06월,1121.7,2394.51,1.5,289868.6,178960.1,761.4027976665856
2018년 07월,1116.7,2284.25,1.5,291201.8,179277.6,871.8440182192894
2018년 08월,1108.8,2283.8,1.5,293203.6,179981.4,887.1678362860075
2018년 09월,1112.7,2307.33,1.5,295266.1,181251.5,872.4303704316361
2018년 10월,1140.6,2153.48,1.5,298189.6,181938.7,830.8250233343095
2018년 11월,1121.8,2083.33,1.75,300850.4,183394.7,829.1409957349458
2018년 12월,1118.1,2070.13,1.75,301803.2,183858.0,809.2033647964781
2019년 01월,1117.2,2101.98,1.75,301208.6,183577.9,831.876131155712
2019년 02월,1117.8,2210.2,1.75,301725.2,183974.3,852.735344429075
2019년 03월,1137.8,2161.91,1.75,302256.6,184496.7,900.795835224425
2019년 04월,1158.2,2212.12,1.75,304106.8,185582.2,979.4186613483992
2019년 05월,1190.0,2086.9,1.75,306218.9,186359.3,1068.9117057638557
2019년 06월,1156.8,2086.9,1.75,307850.9,186961.8,1098.075009767414
2019년 07월,1182.0,2079.48,1.5,310648.3,187995.3,1081.0150328145028
2019년 08월,1215.2,1944.24,1.5,314138.1,189603.0,1024.5510538468327
2019년 09월,1201.3,2045.21,1.5,315819.7,190097.9,1077.4648669861149
2019년 10월,1168.4,2065.75,1.25,318900.5,192231.8,1064.995904177297
2019년 11월,1179.3,2128.79,1.25,321228.2,193327.0,1062.735321302254
2019년 12월,1157.8,2147.01,1.25,323097.2,194201.6,1008.8020605992403
2020년 01월,1183.5,2203.44,1.25,323866.6,195176.2,904.3655775468004
2020년 02월,1215.9,2167.12,1.25,326252.6,196654.8,939.0913060311608
2020년 03월,1222.6,1786.75,0.75,330397.8,198287.6,915.4272887041702
2020년 04월,1225.2,1849.59,0.75,332221.8,200025.0,952.1246112914802
2020년 05월,1239.4,1965.17,0.5,334236.2,201328.2,1043.504344351667
2020년 06월,1200.7,2134.7,0.5,336897.1,202582.3,1118.2111334249128
2020년 07월,1191.4,2195.95,0.5,340297.2,203613.0,1120.7943289756831
2020년 08월,1185.1,2349.87,0.5,345570.0,205553.4,1213.2836286438387
2020년 09월,1173.5,2371.52,0.5,350203.9,208142.8,1211.8270537287726
2020년 10월,1133.4,2357.82,0.5,355160.8,210849.5,1191.643351322397
2020년 11월,1104.4,2504.18,0.5,361190.4,212534.2,1281.300612561023
2020년 12월,1088.0,2755.77,0.5,363817.0,214865.7,1347.6095501364794
