구,거래금액(만원)/전용면적(㎡)
노원구,668.3558863494111
송파구,1280.876405039977
강서구,795.7030279763378
강남구,1773.8226447685236
강동구,926.3039571622762
구로구,652.1481166080858
성북구,714.4136373346678
양천구,927.8422713975988
도봉구,562.1695410167097
서초구,1547.5708457889245
영등포구,928.8255972829458
성동구,1118.338008393614
동대문구,775.8410417098669
마포구,1072.2134456769193
동작구,958.1129598042606
은평구,690.1804566890482
중랑구,610.3512901000805
관악구,700.2845813687331
서대문구,833.5804688698827
강북구,631.6176858136187
용산구,1274.0356888785086
광진구,996.5925528868042
금천구,590.9299462379819
중구,936.6616401793168
종로구,871.5143279718943
