기간	자치구	동	인구	면적	인구밀도
2020	합계	합계	9,911,088	605.23	16,376
2020	종로구	소계	158,996	23.91	6,649
2020	종로구	사직동	9,806	1.23	7,972
2020	종로구	삼청동	2,909	1.49	1,952
2020	종로구	부암동	10,333	2.27	4,552
2020	종로구	평창동	18,582	8.87	2,095
2020	종로구	무악동	8,592	0.36	23,867
2020	종로구	교남동	10,634	0.35	30,383
2020	종로구	가회동	4,418	0.54	8,181
2020	종로구	종로1.2.3.4가동	8,448	2.35	3,595
2020	종로구	종로5·6가동	5,656	0.6	9,427
2020	종로구	이화동	8,111	0.78	10,399
2020	종로구	창신1동	5,964	0.31	19,239
2020	종로구	창신2동	9,503	0.26	36,550
2020	종로구	창신3동	7,107	0.23	30,900
2020	종로구	숭인1동	6,388	0.23	27,774
2020	종로구	숭인2동	10,178	0.35	29,080
2020	종로구	청운효자동	12,633	2.57	4,916
2020	종로구	혜화동	19,734	1.12	17,620
2020	중구	소계	134,635	9.96	13,517
2020	중구	소공동	3,011	0.95	3,169
2020	중구	회현동	5,757	0.84	6,854
2020	중구	명동	3,685	0.99	3,722
2020	중구	필동	4,754	1.14	4,170
2020	중구	장충동	5,468	1.36	4,021
2020	중구	광희동	6,416	0.74	8,670
2020	중구	을지로동	1,967	0.6	3,278
2020	중구	신당5동	10,867	0.39	27,864
2020	중구	황학동	13,531	0.33	41,003
2020	중구	중림동	12,801	0.48	26,669
2020	중구	신당동	9,191	0.55	16,711
2020	중구	다산동	14,725	0.51	28,873
2020	중구	약수동	17,354	0.48	36,154
2020	중구	청구동	14,281	0.34	42,003
2020	중구	동화동	10,827	0.26	41,642
2020	용산구	소계	244,645	21.87	11,188
2020	용산구	후암동	18,202	0.86	21,165
2020	용산구	용산2가동	11,272	1.96	5,751
2020	용산구	남영동	8,116	1.19	6,820
2020	용산구	원효로2동	14,331	0.71	20,185
2020	용산구	효창동	10,326	0.44	23,468
2020	용산구	용문동	12,455	0.28	44,482
2020	용산구	이촌1동	28,961	2.86	10,126
2020	용산구	이촌2동	8,808	1.22	7,220
2020	용산구	이태원1동	8,764	0.57	15,375
2020	용산구	이태원2동	10,795	0.86	12,552
2020	용산구	서빙고동	14,000	2.8	5,000
2020	용산구	보광동	15,531	0.71	21,875
2020	용산구	청파동	20,496	0.91	22,523
2020	용산구	원효로1동	16,730	0.59	28,356
2020	용산구	한강로동	22,097	2.9	7,620
2020	용산구	한남동	23,761	3.01	7,894
2020	성동구	소계	300,505	16.86	17,822
2020	성동구	왕십리2동	17,416	0.41	42,478
