
기간	자치구	비만(BMI≥25)	저체중(BMI<18.5)	정상(18.5≤BMI＜25)	체질량지수(BMI)(평균)
2020	서울시	28.2	-	-	-
2020	종로구	28.1	5.1	66.8	23.4
2020	중구	25.6	5	69.4	23.2
2020	용산구	25.4	3.4	71.2	23.5
2020	성동구	28.6	4.6	66.7	23.4
2020	광진구	24.6	6.5	68.9	23.1
2020	동대문구	30.8	3.7	65.5	23.7
2020	중랑구	31.4	3	65.7	23.9
2020	성북구	27.5	6.1	66.4	23.4
2020	강북구	30.3	4.4	65.4	23.8
2020	도봉구	33.5	3	63.4	24.1
2020	노원구	30.9	4.3	64.7	23.7
2020	은평구	27.9	5.1	67	23.4
2020	서대문구	26.5	4.9	68.6	23.5
2020	마포구	27.2	5.2	67.6	23.4
2020	양천구	28.6	4.9	66.6	23.4
2020	강서구	29.9	4.4	65.7	23.7
2020	구로구	29	5.6	65.4	23.6
2020	금천구	29.9	4.4	65.8	23.6
2020	영등포구	27.7	5.2	67.1	23.3
2020	동작구	29.1	4.9	66	23.4
2020	관악구	26.6	3.9	69.5	23.3
2020	서초구	24	5.7	70.3	23
2020	강남구	24.8	6.4	68.8	23
2020	송파구	26.5	3.9	69.7	23.4
2020	강동구	31.3	3.7	65	23.6
