기간,자치구,범죄_발생_합계,10만명 당 범죄 발생 건수
2018,강남구,7513,1423.398308147296
2018,강동구,3919,996.5549742383171
2018,강북구,3437,1063.089822160394
2018,강서구,4629,860.207488411908
2018,관악구,5026,1100.6918919349664
2018,광진구,3915,1306.6748415874722
2018,구로구,4810,1210.1449454507697
2018,금천구,3293,1395.7942347071826
2018,노원구,4007,774.0661183774956
2018,도봉구,2249,588.9579951268809
2018,동대문구,3680,1142.0707250640708
2018,동작구,3100,840.4782396902597
2018,마포구,5172,1407.177726173559
2018,서대문구,2802,1003.1806595276382
2018,서초구,4726,1084.9151171445624
2018,성동구,2457,897.7324711813926
2018,성북구,3042,787.8532032633733
2018,송파구,5807,836.4397308872171
2018,양천구,3515,836.3044906664369
2018,영등포구,5840,1622.9899558973075
2018,용산구,3411,1772.9335062598525
2018,은평구,3590,803.605982653038
2018,종로구,3690,2650.5079541371315
2018,중구,4030,3327.898190495128
2018,중랑구,4288,1133.6552507508513
