기간,자치구,의료기관_총_합계,종합병원,10만명 당 의료기관 수,10만명 당 종합병원 수
2020,강남구,2693,3,493.97526271669886,0.5502880758076854
2020,강동구,823,3,188.73246542389128,0.6879676746921918
2020,강북구,466,1,148.42938774470147,0.31851799945214904
2020,강서구,861,4,145.48932402381902,0.6759085901222719
2020,관악구,698,1,139.573760133095,0.19996240706747131
2020,광진구,552,2,157.1082965703714,0.5692329585883023
2020,구로구,569,2,139.91895028819863,0.49180650364920425
2020,금천구,354,1,152.055324084017,0.4295348137966582
2020,노원구,734,3,137.73561891894428,0.5629521209221156
2020,도봉구,367,1,110.09053221422958,0.2999742022186092
2020,동대문구,586,4,169.26925365546487,1.155421526658463
2020,동작구,588,2,148.49872336556697,0.5050976985223367
2020,마포구,742,0,198.3771572179074,0.0
2020,서대문구,441,2,142.53531870056915,0.6464186789141458
2020,서초구,1251,1,290.372447345332,0.23211226806181615
2020,성동구,456,1,151.55090415402358,0.33234847402198153
2020,성북구,540,1,121.99254490003388,0.22591212018524792
2020,송파구,1194,2,176.63740955469325,0.29587505788055823
2020,양천구,638,3,139.25114314711948,0.6547859395632577
2020,영등포구,779,7,211.87016900657642,1.9038397728447174
2020,용산구,310,1,135.56653693094853,0.4373114094546727
2020,은평구,677,2,141.03226451569896,0.4166388907406173
2020,종로구,494,4,326.5252164716769,2.6439288783131736
2020,중구,572,2,453.35298919720066,1.585150311878324
2020,중랑구,531,3,133.7480951601325,0.7556389557069633
