,Date,Amazon
1,2019 7월 ,https://finance.yahoo.com/news/heres-how-much-amazon-prime-day-is-expected-to-rake-in-this-year-170658536.html
2,,https://finance.yahoo.com/news/amazon-reports-2q-2019-earnings-170731527.html
3,,https://finance.yahoo.com/news/amazon-prime-cancel-200425532.html
4,,https://finance.yahoo.com/news/where-amazon-5-years-130000281.html
5,,https://finance.yahoo.com/news/amazons-stock-is-not-without-risk-analyst-175944910.html
6,2019 8월,https://finance.yahoo.com/news/amazon-barred-from-using-certain-storylines-in-its-lord-of-the-rings-series-120148238.html
7,,https://finance.yahoo.com/news/amazon-prime-stock-buy-now-202046409.html
8,2019 9월,https://finance.yahoo.com/news/3-reasons-amazon-stock-down-145844754.html
9,2019 10월,https://finance.yahoo.com/news/amazon-could-disrupt-google-and-facebooks-ad-dominance-105129301.html
10,,https://finance.yahoo.com/news/estimating-intrinsic-value-amazon-com-101948819.html
11,2019 11월,https://au.finance.yahoo.com/news/amazon-launched-amazon-hub-parcel-013050358.html
12,,https://finance.yahoo.com/news/amazon-has-too-much-power-over-our-economy-activist-144149033.html
13,2019 12월,NONE
14,2020 1월,https://finance.yahoo.com/news/amazon-earnings-q-4-gdp-what-to-know-in-markets-thursday-001832696.html
15,,https://finance.yahoo.com/news/amazon-has-reduced-the-economic-risk-of-wuhan-coronavirus-222749068.html
16,,https://finance.yahoo.com/news/amazon-set-break-record-one-133412345.html
17,,https://finance.yahoo.com/news/biggest-risk-amazon-stock-162543197.html
18,,https://au.finance.yahoo.com/news/amazon-entered-australian-gig-economy-224826020.html
19,2020 2월,https://finance.yahoo.com/news/jeff-bezos-10-billion-climate-change-200822069.html
20,,https://au.finance.yahoo.com/news/amazon-hiring-36000-011016609.html
21,,https://finance.yahoo.com/news/big-tech-stocks-like-amazon-may-be-in-a-gigantic-bubble-153114974.html
22,,https://finance.yahoo.com/news/amazon-reveals-development-electric-delivery-000448293.html
23,,https://finance.yahoo.com/news/amazon-testing-online-platform-let-024421493.html
24,2020 3월,https://finance.yahoo.com/news/amazon-planning-vpn-test-for-all-employees-amid-coronavirus-work-from-home-concerns-170421976.html
25,,https://finance.yahoo.com/news/amazon-good-position-outperform-benchmark-053941597.html
26,2020 4월,https://finance.yahoo.com/news/amazon-other-tech-giants-helping-190219972.html
