,Date,Amd
1,2019 7월 ,https://finance.yahoo.com/news/heres-expect-amds-q2-earnings-214509323.html
2,2019 8월,https://finance.yahoo.com/news/amd-lands-google-twitter-customers-230657001.html
3,,https://finance.yahoo.com/news/amd-desktop-gpu-shipments-overtake-161102973.html
4,2019 9월,https://finance.yahoo.com/news/amd-stock-quietly-stumbles-bull-123316753.html
5,2019 10월,NONE
6,2019 11월,NONE
7,2019 12월,https://finance.yahoo.com/news/semiconductor-stock-could-amd-2020-135001782.html
8,2020 1월,https://finance.yahoo.com/news/amds-rich-valuation-justified-191807460.html
9,2020 2월,NONE
10,2020 3월,NONE
11,2020 4월,NONE
12,2020 5월,NONE
13,2020 6월,https://finance.yahoo.com/news/5-star-analyst-bullish-amd-223306737.html
14,2020 7월,NONE
15,2020 8월,https://finance.yahoo.com/news/unusually-large-amd-option-trades-194849806.html
16,,https://finance.yahoo.com/news/amd-hit-analysts-bull-case-175519439.html
17,2020 9월,https://finance.yahoo.com/news/amd-sets-cpu-gpu-product-195441376.html
18,2020 10월,https://finance.yahoo.com/news/amd-officially-leaving-intel-dust-165834395.html
19,,https://finance.yahoo.com/news/amd-said-talks-buy-rival-022904775.html
20,2020 11월,https://finance.yahoo.com/news/amd-unveils-amd-ryzen-embedded-140000963.html
21,,https://au.finance.yahoo.com/news/amd-radeon-rx-6800-xt-review-gpus-140014999.html
22,2020 12월,https://finance.yahoo.com/news/advanced-micro-devices-amd-good-163929954.html
23,,https://finance.yahoo.com/news/amds-stock-reach-200-2022-194450308.html
24,2021 1월 ,https://finance.yahoo.com/news/amd-gives-upbeat-sales-forecast-213506337.html
25,,https://finance.yahoo.com/news/amd-president-ceo-lisa-su-170000867.html
26,,https://finance.yahoo.com/news/advanced-micro-devices-amd-stock-133606791.html
27,,https://finance.yahoo.com/news/3-amd-analysts-dissect-chipmakers-191316495.html
28,,https://finance.yahoo.com/news/amd-reports-fourth-quarter-full-211000742.html
29,,https://finance.yahoo.com/news/amd-sales-outlook-tops-estimates-065338505.html
30,2021 2월 ,NONE
31,2021 3월 ,https://finance.yahoo.com/news/amd-launches-graphics-card-gaming-215927089.html
32,,https://finance.yahoo.com/news/amd-launches-milan-chip-data-150239284.html
33,,https://finance.yahoo.com/news/artisan-mid-cap-amd-appreciated-161723113.html
34,,https://finance.yahoo.com/news/advanced-micro-devices-amd-stock-164004060.html
35,2021 4월 ,https://finance.yahoo.com/news/amd-gives-bullish-forecast-raises-202741601.html
36,,https://finance.yahoo.com/news/amd-xilinx-stockholders-overwhelmingly-approve-164900232.html
37,,https://finance.yahoo.com/news/latest-amd-radeon-software-release-130000909.html
38,,https://finance.yahoo.com/news/amd-ceo-lisa-su-this-is-a-very-unique-time-in-the-semiconductor-market-172229585.html
39,,https://finance.yahoo.com/news/amd-q1-earnings-beat-estimates-134101381.html
40,,https://finance.yahoo.com/news/amd-reports-first-quarter-2021-201000157.html
41,,https://finance.yahoo.com/news/smart-money-piling-advanced-micro-174554738.html
42,2021 5월,https://finance.yahoo.com/news/amd-announces-4-billion-share-162100452.html
43,,https://finance.yahoo.com/news/amd-ceo-lisa-su-says-213000094.html
44,,https://finance.yahoo.com/news/amd-gains-benchmark-upgrades-potential-130541436.html
45,,https://finance.yahoo.com/news/advanced-micro-amd-down-6-153103906.html
46,2021 6월,https://finance.yahoo.com/news/amd-unveils-rdna-2-based-030000546.html
47,,https://finance.yahoo.com/news/googles-cloud-taps-amd-chip-130631705.html
48,,https://finance.yahoo.com/news/amd-radeon-pro-w6000-series-130000614.html
49,,https://finance.yahoo.com/news/hedge-funds-cashing-advanced-micro-105826491.html
50,,https://finance.yahoo.com/news/amd-rises-price-target-hike-135443675.html
51,2021 7월,https://finance.yahoo.com/news/bull-day-advanced-micro-devices-092009068.html
52,,https://finance.yahoo.com/news/amd-ceo-demand-for-computing-is-exploding-173949300.html
53,,https://finance.yahoo.com/news/amd-unveils-the-radeon-rx-6600-xt-gpu-designed-for-1080-p-gaming-033049778.html
54,,https://finance.yahoo.com/news/advanced-micro-devices-inc-nasdaq-090600852.html
55,,https://finance.yahoo.com/news/why-advanced-micro-devices-nasdaq-120000543.html
56,,https://finance.yahoo.com/news/amd-reports-second-quarter-2021-201500785.html
57,,https://finance.yahoo.com/news/advanced-micro-devices-amd-earnings-190107429.html
58,,https://finance.yahoo.com/news/why-growth-investors-buy-advanced-164504155.html
59,2021 8월,https://finance.yahoo.com/news/amd-stock-pulls-back-bullish-204128769.html
60,,https://finance.yahoo.com/news/why-advanced-micro-devices-shares-172736875.html
61,,https://finance.yahoo.com/news/time-buy-advanced-micro-devices-132500229.html
62,,https://finance.yahoo.com/news/were-hedge-funds-advanced-micro-150452124.html
63,2021 9월,https://finance.yahoo.com/news/bull-day-amd-amd-110011826.html
