,Date,Cocacola
1,2019 7월 ,https://finance.yahoo.com/news/coca-cola-will-launch-a-global-attack-on-energy-drink-king-red-bull-120441646.html
2,2019 8월,NONE
3,2019 9월,https://finance.yahoo.com/news/time-invest-coca-cola-portfolio-100042396.html
4,2019 10월,https://finance.yahoo.com/news/coca-cola-will-fix-its-bottled-water-problem-120457016.html
5,,https://finance.yahoo.com/news/coca-cola-making-its-biggest-change-since-1892-and-investors-love-it-163904153.html
6,,https://finance.yahoo.com/news/coca-colas-product-expansion-stimulate-223910025.html
7,2019 11월,https://finance.yahoo.com/news/coca-cola-launches-its-biggest-new-drink-in-10-years-143007455.html
8,2019 12월,NONE
9,2020 1월,https://finance.yahoo.com/news/coca-cola-reports-q4-revenue-135419325.html
10,,https://finance.yahoo.com/news/coca-colas-powerade-adds-new-products-to-its-lineup-203452745.html
11,,https://finance.yahoo.com/news/coco-cola-vs-pepsi-win-133801638.html
12,2020 2월,https://finance.yahoo.com/news/lululemon-trades-down-coca-cola-154543601.html
13,2020 3월,NONE
14,2020 4월,https://finance.yahoo.com/news/coca-cola-beats-on-earnings-q1-2020-105952677.html
15,,https://finance.yahoo.com/news/pepsi-co-is-doing-better-than-longtime-rival-coca-cola-during-the-covid-19-pandemic-161723715.html
16,,https://finance.yahoo.com/news/2020-04-07-watch-this-coca-cola-machine-turn-soda-into-a-perfect-slushy-23972572.html
17,2020 5월,https://finance.yahoo.com/news/coca-cola-ceo-says-business-is-improving-amid-covid-19-pandemic-131025371.html
18,2020 6월,https://finance.yahoo.com/news/coca-cola-femsa-b-c-002009957.html
19,2020 7월,https://finance.yahoo.com/news/coca-cola-just-invented-a-way-to-save-the-soda-machine-from-covid-19-120031011.html
20,2020 8월,https://finance.yahoo.com/news/coca-cola-rises-business-restructuring-070617120.html
21,,https://finance.yahoo.com/news/coca-cola-vs-pepsico-beverage-052345098.html
22,,https://finance.yahoo.com/news/coca-cola-lacks-fizz-seltzer-114028914.html
23,2020 9월,https://finance.yahoo.com/news/coca-colas-first-alcoholic-drink-084006334.html
24,,https://finance.yahoo.com/news/coca-cola-warren-buffetts-lead-154220370.html
25,,https://finance.yahoo.com/news/hedge-funds-think-coca-cola-181407015.html
26,2020 10월,https://finance.yahoo.com/news/coca-cola-recovery-continues-grows-114602282.html
27,,https://finance.yahoo.com/news/buy-coca-cola-ko-stock-204708281.html
28,,https://finance.yahoo.com/news/coca-cola-consolidated-coke-fallen-151602819.html+B7
29,2020 11월,NONE
30,2020 12월,https://finance.yahoo.com/news/coca-cola-company-moodys-announces-193907434.html
31,,https://finance.yahoo.com/news/ko-good-stock-buy-now-173536616.html
32,2021 1월 ,NONE
33,2021 2월 ,https://finance.yahoo.com/news/1-000-5-years-later-152814619.html
34,,https://finance.yahoo.com/video/coca-cola-pens-letter-committing-194813112.html
35,,https://finance.yahoo.com/news/soda-maker-coca-cola-forecasts-150412375.html
36,,https://finance.yahoo.com/news/coca-cola-raises-quarterly-dividend-170923873.html
37,,https://finance.yahoo.com/news/coca-cola-boosts-quarterly-dividend-084147835.html
38,,https://finance.yahoo.com/news/coca-cola-posts-better-expected-155233961.html
39,,https://finance.yahoo.com/news/coca-cola-reports-fourth-quarter-115500487.html
40,,https://finance.yahoo.com/news/coca-cola-debuts-bottle-size-153905604.html
41,2021 3월 ,https://finance.yahoo.com/news/coca-cola-company-moodys-rates-172407939.html
42,,https://finance.yahoo.com/news/coca-cola-ko-stock-buy-150206781.html
43,,https://finance.yahoo.com/news/coca-cola-hbc-finance-b-161207238.html
44,,https://finance.yahoo.com/news/rbc-upgrades-coca-colas-stock-184321200.html
45,,https://finance.yahoo.com/news/coca-colas-roe-ratio-overcoming-193925381.html
46,2021 4월 ,https://finance.yahoo.com/news/coca-cola-company-moodys-rates-162806926.html
47,,https://finance.yahoo.com/news/coca-cola-company-announces-debt-071400611.html
48,,https://finance.yahoo.com/news/why-warren-buffett-invested-in-coca-cola-165914721.html
49,,https://finance.yahoo.com/news/coca-cola-nyse-ko-keep-015541037.html
50,2021 5월,https://finance.yahoo.com/news/were-hedge-funds-piling-coca-201708242.html
51,,https://finance.yahoo.com/news/coca-cola-company-announces-expiration-103000171.html
52,,https://finance.yahoo.com/news/the-rocks-new-energy-drink-is-off-to-a-strong-start-molson-coors-ceo-170804920.html
53,,https://finance.yahoo.com/news/coca-cola-discontinues-energy-drink-154036769.html
54,,https://finance.yahoo.com/news/coca-cola-company-announces-pricing-181500128.html
55,2021 6월,https://finance.yahoo.com/news/coca-cola-company-ko-good-151844510.html
56,,https://finance.yahoo.com/news/coca-cola-double-spending-minority-145553337.html
57,2021 7월,https://finance.yahoo.com/news/2021-shipper-choice-profile-coca-143518616.html
58,,https://finance.yahoo.com/news/look-every-company-coca-cola-161040655.html
59,,https://finance.yahoo.com/news/coca-cola-reports-strong-results-105500137.html
60,2021 8월,https://finance.yahoo.com/news/coca-cola-consolidated-reports-second-201000606.html
61,,https://finance.yahoo.com/news/coca-cola-beverages-africa-genpact-121500585.html
62,,https://finance.yahoo.com/news/coca-cola-stock-continue-climb-131724153.html
63,,https://finance.yahoo.com/news/coca-cola-company-nyse-ko-092607036.html
64,2021 9월,NONE
