,Date,Facebook
1,2019 8월,https://finance.yahoo.com/news/facebook-inc-fb-coo-sheryl-021502481.html
2,2019 9월,https://finance.yahoo.com/news/mark-zuckerberg-has-so-much-control-that-facebook-doesnt-have-good-corporate-governance-183515943.html
3,,https://finance.yahoo.com/news/facebook-monika-bickert-disinformation-140604791.html
4,2019 10월,https://finance.yahoo.com/news/facebook-under-fire-for-housing-discrimination-and-redlining-193747847.html
5,,https://finance.yahoo.com/news/mark-zuckerberg-plans-money-facebook-130616574.html
6,2019 11월,NONE
7,2019 12월,NONE
8,2020 1월,NONE
9,2020 2월,NONE
10,2020 3월 ,https://finance.yahoo.com/news/facebook-inc-nasdaq-fb-potentially-133105045.html
11,,https://finance.yahoo.com/news/facebooks-nasdaq-fb-p-e-110534676.html
12,2020 4월,https://finance.yahoo.com/news/16-earnings-drop-facebook-inc-101925883.html
13,2020 5월 ,https://finance.yahoo.com/news/buy-facebook-fb-stock-highs-214709308.html
14,,https://finance.yahoo.com/news/facebook-fb-next-stop-244-232227622.html
15,,https://finance.yahoo.com/news/facebook-removed-9-6m-posts-102224776.html
16,2020 6월,https://finance.yahoo.com/news/heres-a-running-list-of-companies-boycotting-facebook-185430503.html
17,2020 7월,https://finance.yahoo.com/news/facebook-reports-q2-2020-earnings-results-coronavirus-ad-boycott-200643294.html
18,,https://finance.yahoo.com/news/under-bonnet-facebooks-nasdaq-fb-162432814.html
19,,https://finance.yahoo.com/news/facebook-fb-report-q2-earnings-130601884.html
20,,https://finance.yahoo.com/news/insider-buying-fb-financial-corporation-121224395.html
21,2020 8월,https://finance.yahoo.com/news/facebook-fb-risen-67-last-154215379.html
22,,https://finance.yahoo.com/news/facebook-fb-risen-67-last-154215379.html
23,,https://finance.yahoo.com/news/facebook-inc-fb-third-most-224138284.html
24,,https://finance.yahoo.com/news/eps-growth-then-check-facebook-135759572.html
25,,https://finance.yahoo.com/news/5-reasons-invest-fb-financial-160104638.html
26,2020 9월,https://finance.yahoo.com/news/facebook-fb-gains-lags-market-214509613.html
27,,https://finance.yahoo.com/news/facebook-fb-outperforming-other-computer-153003773.html
28,2020 10월,https://finance.yahoo.com/news/facebook-fb-stock-sinks-market-214509811.html
29,,https://finance.yahoo.com/news/surprise-coming-facebook-fb-earnings-123612455.html
30,,https://finance.yahoo.com/news/look-fair-value-facebook-inc-195541808.html
31,,https://finance.yahoo.com/news/were-hedge-funds-piling-facebook-180632951.html
32,,https://finance.yahoo.com/news/facebook-fb-report-q3-earnings-134701698.html
33,,https://finance.yahoo.com/news/facebooks-fb-instagram-faces-probe-135101797.html
34,2020 11월,https://finance.yahoo.com/news/facebook-inc-nasdaq-fb-stock-053151590.html
35,,https://finance.yahoo.com/news/facebook-ai-mistakenly-bans-ads-110000988.html
36,,https://finance.yahoo.com/news/hedge-funds-never-bullish-facebook-185830909.html
37,2020 12월,https://finance.yahoo.com/news/facebook-fb-stock-moves-0-224510535.html
38,,https://finance.yahoo.com/news/don-t-underestimate-impact-diem-180450087.html
39,,https://finance.yahoo.com/news/facebook-antitrust-lawsuit-breakup-213358697.html
40,2021 1월,https://finance.yahoo.com/news/facebook-q4-2020-earnings-160948456.html
41,,https://finance.yahoo.com/news/facebook-announce-fourth-quarter-full-210500302.html
42,,https://finance.yahoo.com/news/facebook-fb-inc-bargain-price-161053509.html
43,2021 2월,https://finance.yahoo.com/news/eps-growth-more-facebook-nasdaq-074147465.html
44,,https://finance.yahoo.com/news/facebook-australia-face-off-could-083347071.html
45,,https://finance.yahoo.com/news/facebook-cuts-off-news-australia-214322458.html
46,2021 3월,https://finance.yahoo.com/news/facebook-fb-outpaces-stock-market-214509694.html
47,,https://finance.yahoo.com/news/facebook-fb-stock-buy-sell-203220485.html
48,,https://finance.yahoo.com/news/facebook-let-content-creators-monetize-142143866.html
49,2021 4월,https://finance.yahoo.com/news/facebook-reports-first-quarter-2021-200500288.html
50,,https://finance.yahoo.com/news/facebook-fb-stock-sinks-market-214509280.html
51,,https://finance.yahoo.com/news/facebook-fb-report-q1-earnings-124712251.html
52,,https://finance.yahoo.com/news/facebook-q-1-2021-earnings-200751589.html
53,,https://finance.yahoo.com/news/facebook-announce-first-quarter-2021-200500951.html
54,2021 5월,https://finance.yahoo.com/news/facebook-fb-upgraded-strong-buy-180806937.html
55,,https://finance.yahoo.com/news/looking-growth-stock-why-time-124912701.html
56,,https://finance.yahoo.com/news/facebook-fb-dips-more-broader-214509850.html
57,,https://finance.yahoo.com/news/facebook-fb-outperforming-other-computer-153003747.html
58,,https://finance.yahoo.com/news/facebook-fb-incredible-growth-stock-164504301.html
59,2021 6월,https://finance.yahoo.com/news/facebook-nasdaq-fb-share-price-063654710.html
60,,https://finance.yahoo.com/news/heres-why-facebook-fb-great-160004301.html
61,,https://finance.yahoo.com/news/facebook-fb-stock-outpacing-computer-153003928.html
62,,https://finance.yahoo.com/news/facebook-fb-good-stock-invest-170717703.html
63,,https://finance.yahoo.com/news/bull-day-facebook-fb-110011729.html
64,2021 7월,https://finance.yahoo.com/news/facebook-reports-q2-2021-earnings-results-211152220.html
