,Date,Microsoft
1,2019 08월,NONE
2,2019 9월,https://finance.yahoo.com/news/microsoft-msft-stock-great-safe-212309612.html
3,,https://finance.yahoo.com/news/microsoft-corporation-nasdaq-msft-worth-095718370.html
4,,https://finance.yahoo.com/news/buy-microsoft-msft-stock-highs-220810950.html
5,2019 10월,NONE
6,2019 11월,NONE
7,2019 12월,https://finance.yahoo.com/news/heres-microsoft-corporations-nasdaq-msft-141024308.html
8,2020 1월,https://finance.yahoo.com/news/microsoft-corporations-nasdaq-msft-39-133400829.html
9,,https://finance.yahoo.com/news/microsoft-msft-beats-q2-earnings-222510857.html
10,2020 2월,NONE
11,2020 3월,https://finance.yahoo.com/news/microsoft-shares-jump-8-5-092158486.html
12,2020 4월,https://finance.yahoo.com/news/microsoft-corporation-stock-analysis-154338543.html
13,,https://finance.yahoo.com/news/microsoft-q3-earnings-2020-193333578.html
14,,https://finance.yahoo.com/news/microsofts-msft-teams-sees-growth-143602378.html
15,2020 5월,https://finance.yahoo.com/news/3-reasons-why-microsoft-msft-164504444.html
16,,https://finance.yahoo.com/news/microsoft-msft-acquires-softomotive-strengthen-132101116.html
17,2020 6월,https://finance.yahoo.com/news/microsoft-msft-stock-144042002.html
18,,https://finance.yahoo.com/news/why-microsoft-msft-deserves-place-150502274.html
19,,https://finance.yahoo.com/news/microsoft-msft-smart-long-term-161037890.html
20,2020 7월,https://finance.yahoo.com/news/microsoft-q4-earnings-2020-132008488.html
21,,https://finance.yahoo.com/news/microsoft-msft-q4-earnings-revenues-132701882.html
22,,https://finance.yahoo.com/news/why-microsoft-morgan-stanleys-top-174234061.html
23,,https://finance.yahoo.com/news/microsoft-msft-q4-earnings-revenues-212509476.html
24,2020 8월,https://finance.yahoo.com/news/microsoft-said-talks-buy-tiktok-185221680.html
25,,https://finance.yahoo.com/news/microsoft-365-word-transcribe-150029898.html
26,2020 9월,https://finance.yahoo.com/news/microsoft-lost-its-best-chance-to-be-the-cool-tech-company-194022352.html
27,,https://finance.yahoo.com/news/microsoft-msft-announces-dividend-hike-131701978.html
28,2020 10월,https://finance.yahoo.com/news/buy-microsoft-corporation-nasdaq-msft-181702909.html
29,,https://finance.yahoo.com/news/buy-microsoft-msft-stock-ahead-180406047.html
30,,https://finance.yahoo.com/news/microsoft-q1-earnings-2021-194739018.html
31,2020 11월,NONE
32,2020 12월,https://finance.yahoo.com/news/why-microsoft-msft-best-faamg-144002797.html
33,,https://finance.yahoo.com/news/microsoft-msft-outperforming-other-computer-163004175.html
34,,https://finance.yahoo.com/news/microsofts-stock-reach-300-2022-193326589.html
35,2021 1월,https://finance.yahoo.com/news/microsoft-positioned-reach-highs-122837263.html
36,,https://finance.yahoo.com/news/microsoft-corp-msft-stock-buy-172054946.html
37,,https://finance.yahoo.com/news/microsoft-msft-stock-sinks-market-224510011.html
38,,https://finance.yahoo.com/news/p-e-ratio-insights-microsoft-145230620.html
39,,https://finance.yahoo.com/news/microsoft-msft-beats-q2-earnings-222510249.html
40,2021 2월,https://finance.yahoo.com/news/buy-microsoft-msft-2021-100337860.html
41,,https://finance.yahoo.com/news/why-hedge-fund-likes-microsoft-093144457.html
42,2021 3월,https://finance.yahoo.com/news/why-goldman-sachs-is-now-super-bullish-on-microsoft-and-salesforce-114647010.html
43,,https://finance.yahoo.com/news/analyst-ratings-microsoft-155308821.html
44,,https://finance.yahoo.com/news/buy-microsoft-msft-stock-too-153003748.html
45,,https://finance.yahoo.com/news/microsoft-talks-buy-discord-more-014123558.html
46,,https://finance.yahoo.com/news/microsoft-msft-stock-buy-sell-203625109.html
47,2021 4월,https://finance.yahoo.com/news/microsoft-msft-outpaces-stock-market-214509928.html
48,,https://finance.yahoo.com/news/microsoft-corporation-msft-smart-long-162144227.html
49,,https://finance.yahoo.com/news/heres-why-think-microsoft-nasdaq-085838918.html
50,,https://finance.yahoo.com/news/microsoft-q3-earnings-2021-164756837.html
51,2021 5월,https://finance.yahoo.com/news/consider-investing-microsoft-msft-165937187.html
52,,https://finance.yahoo.com/news/microsoft-best-large-cap-cloud-112045179.html
53,,https://finance.yahoo.com/news/why-microsoft-msft-became-top-165637570.html
54,,https://finance.yahoo.com/news/microsoft-msft-down-1-2-153103219.html
55,,https://finance.yahoo.com/news/microsoft-stock-appears-significantly-overvalued-181211676.html
56,2021 6월,https://finance.yahoo.com/news/microsoft-closes-trading-with-market-cap-2-trillion-first-time-204241685.html
57,,https://finance.yahoo.com/news/consider-investing-microsoft-msft-170821951.html
58,,https://finance.yahoo.com/news/microsoft-msft-dips-more-broader-214509059.html
59,,https://finance.yahoo.com/news/microsofts-nasdaq-msft-growth-existing-200910503.html
60,2021 7월,https://finance.yahoo.com/news/2-reasons-microsoft-winning-long-081157300.html
61,,https://finance.yahoo.com/news/microsoft-q4-earnings-2021-205140685.html
62,,https://finance.yahoo.com/news/microsoft-making-money-overvalued-084742889.html
