,Date,Nike
1,2019 8월,https://finance.yahoo.com/news/esg-investing-nike-responsible-investment-223600100.html
2,2019 9월,https://finance.yahoo.com/news/buy-nike-stock-ahead-q1-233911224.html
3,,https://finance.yahoo.com/news/things-must-know-nikes-nke-121712644.html
4,2019 10월,https://finance.yahoo.com/news/nike-vans-teens-piperjaffrey-sneakers-footwear-genz-apparel-192515204.html
5,2019 11월,NONE
6,2019 12월,https://finance.yahoo.com/news/nike-looks-unstoppable-in-2020-as-air-jordan-11-bred-is-re-released-193420626.html
7,2020 1월,NONE
8,2020 2월,https://finance.yahoo.com/news/worry-nike-inc-nyse-nke-125012339.html
9,,https://finance.yahoo.com/news/smart-buy-nike-inc-nyse-135728437.html
10,2020 3월,https://finance.yahoo.com/news/nike-reports-3q-2020-earnings-results-201823714.html
11,2020 4월,https://finance.yahoo.com/news/nike-is-poised-to-weather-coronavirus-far-better-than-peers-adidas-and-under-armour-173404672.html
12,2020 5월,https://finance.yahoo.com/news/why-nike-nke-deserves-place-165630730.html
13,,https://finance.yahoo.com/news/nike-has-reopened-almost-all-stores-in-china-and-south-korea-135030546.html
14,,https://finance.yahoo.com/news/estimating-fair-value-nike-inc-130526096.html
15,2020 6월,https://nz.finance.yahoo.com/news/analysts-estimate-nike-nke-report-163004953.html
16,2020 7월,NONE
17,2020 8월,https://www.yahoo.com/lifestyle/why-nike-air-force-1-162633889.html
18,2020 9월,https://finance.yahoo.com/news/2-key-numbers-show-how-quickly-nike-is-bouncing-back-from-the-pandemic-123605418.html
19,,https://finance.yahoo.com/news/nike-jumps-into-the-maternity-clothing-market-with-the-creation-of-nike-m-133012996.html
20,2020 10월,https://finance.yahoo.com/news/iconic-nike-dunk-2020-fn-151316083.html
21,2020 11월,https://finance.yahoo.com/news/why-nike-nke-stock-strong-232811062.html
22,2020 12월,https://finance.yahoo.com/news/wall-st-pro-calls-nike-his-top-pick-says-the-stock-could-go-up-33-171108873.html
23,,https://finance.yahoo.com/news/nike-reports-q2-2021-earnings-results-211700098.html
24,,https://finance.yahoo.com/news/nike-earnings-preview-analysts-expect-the-good-times-to-keep-on-rolling-for-nike-172243515.html
25,,https://finance.yahoo.com/news/nike-nke-gains-market-dips-225010081.html
26,,https://finance.yahoo.com/news/nike-nyse-nke-using-too-093759850.html
27,2021 1월,https://finance.yahoo.com/news/own-nike-nke-stock-sell-172240773.html
28,2021 2월,https://finance.yahoo.com/news/nike-air-max-market-share-on-stock-x-soared-800-since-2016-142246914.html
29,,https://finance.yahoo.com/news/nike-nke-outpaces-stock-market-224510804.html
30,2021 3월,https://finance.yahoo.com/news/fundsmith-nike-nke-high-returns-172840409.html
31,,https://finance.yahoo.com/news/nike-says-challenges-short-term-as-company-misses-on-revenue-173003798.html
32,,https://finance.yahoo.com/news/nike-nke-stock-buy-sell-173240943.html
33,,https://finance.yahoo.com/news/nike-nke-stock-outpacing-consumer-153003275.html
34,2021 4월,https://finance.yahoo.com/news/nike-nke-stock-moves-0-214509802.html
35,,https://finance.yahoo.com/news/now-opportunity-nike-inc-nyse-091355760.html
36,,https://finance.yahoo.com/news/why-nike-nke-down-6-153003887.html
37,2021 5월,NONE
38,2021 6월,https://finance.yahoo.com/video/analyst-explains-nikes-big-stock-211848587.html
39,2021 7월,https://finance.yahoo.com/news/why-nike-nke-could-impressive-121612959.html
40,,https://finance.yahoo.com/news/looking-top-momentum-pick-why-160004919.html
41,,https://finance.yahoo.com/news/nike-nke-stock-stands-strong-125712520.html
42,,https://finance.yahoo.com/news/buy-soaring-nike-stock-highs-231211024.html
43,,https://finance.yahoo.com/news/nike-inc-nyse-nke-stock-093247580.html
44,,https://finance.yahoo.com/news/moving-average-crossover-alert-nike-101610840.html
45,2021 8월,https://finance.yahoo.com/news/nike-nke-outpaces-stock-market-214509853.html
46,,https://finance.yahoo.com/news/were-hedge-funds-nike-inc-141247466.html
47,,https://finance.yahoo.com/news/nike-inc-announces-first-quarter-201500711.html
48,,https://finance.yahoo.com/news/nike-nke-outpaced-other-consumer-153003158.html
49,2021 9월,https://finance.yahoo.com/news/nike-nke-dips-more-broader-214509597.html
