,Date,Spotify
1,2021 1월,https://finance.yahoo.com/news/spotify-spot-report-q4-earnings-131001260.html
2,,https://finance.yahoo.com/news/spotify-technology-spot-one-most-033616292.html
3,2021 2월,https://finance.yahoo.com/news/spotify-spot-worth-5x-more-175228396.html
4,,https://finance.yahoo.com/news/analysts-made-financial-statement-spotify-044921059.html
5,,https://finance.yahoo.com/news/spotify-technology-announces-financial-results-110000240.html
6,,https://finance.yahoo.com/news/spotify-podcast-consumption-doubled-q4-133512326.html
7,2021 3월 ,https://finance.yahoo.com/news/spotify-technology-announce-financial-results-100000441.html
8,,https://finance.yahoo.com/news/spotify-spot-stock-buy-sell-203400867.html
9,2021 4월 ,https://finance.yahoo.com/news/spotify-technology-nyse-spot-expected-141702676.html
10,,https://finance.yahoo.com/news/spotify-launching-podcast-subscriptions-unlike-145026892.html
11,,https://finance.yahoo.com/news/spotify-results-beat-estimates-more-100000656.html
12,,https://finance.yahoo.com/news/surprise-coming-spotify-spot-earnings-123012485.html
13,,https://finance.yahoo.com/news/spotify-price-rise-premium-subscription-165930971.html
14,2021 5월 ,https://finance.yahoo.com/news/were-hedge-funds-spotify-spot-182448569.html
15,,https://news.yahoo.com/spotify-signs-another-exclusive-podcast-180007420.html
16,2021 6월 ,https://finance.yahoo.com/news/spotify-technology-announce-financial-results-200000608.html
17,,https://finance.yahoo.com/news/where-hedge-funds-stand-spotify-145239866.html
18,,https://finance.yahoo.com/news/estimating-intrinsic-value-spotify-technology-111212552.html
19,,https://finance.yahoo.com/news/spotify-technology-sa-stock-shows-120015887.html
20,2021 7월 ,https://finance.yahoo.com/news/spotify-spot-great-investment-pick-164306617.html
21,,https://finance.yahoo.com/news/spotify-technology-nyse-spot-share-130412161.html
22,,https://finance.yahoo.com/news/spotify-growth-disappoints-pandemic-cools-101716161.html
23,,https://finance.yahoo.com/news/spotifys-quarterly-revenue-beats-estimates-100300624.html
24,,https://finance.yahoo.com/news/spotify-spot-report-q2-earnings-125012454.html
25,,https://finance.yahoo.com/news/spotify-shares-tumble-2nd-quarter-142027949.html
26,,https://finance.yahoo.com/news/spotify-spot-reports-q2-loss-112511519.html
27,,https://finance.yahoo.com/news/spotify-spot-expected-beat-earnings-190207118.html
28,2021 8월 ,https://finance.yahoo.com/news/spotify-gains-announcing-1-billion-064843849.html
29,,https://finance.yahoo.com/news/worm-capital-spotify-spot-maintain-163755120.html
30,,https://finance.yahoo.com/news/spotify-nyse-spot-effective-ownership-223910399.html
31,,https://finance.yahoo.com/news/spotify-spend-1b-buying-own-145039433.html
32,,https://finance.yahoo.com/news/why-spotify-shares-trading-higher-153143386.html
33,,https://finance.yahoo.com/news/spotify-technologys-nyse-spot-quality-083559063.html
34,,https://finance.yahoo.com/news/spotify-announces-stock-repurchase-program-100000274.html
35,,https://finance.yahoo.com/news/spotify-opens-podcast-subscriptions-u-130026295.html
