,Date,Tesla
1,2019 7월 ,https://finance.yahoo.com/news/tesla-earnings-watch-171600350.html
2,2019 8월,NONE
3,2019 9월,https://finance.yahoo.com/news/teslas-finance-team-faces-serious-165717241.html
4,,https://finance.yahoo.com/news/tesla-tsla-gigafactory-impressive-stock-190835524.html
5,2019 10월,NONE
6,2019 11월,NONE
7,2019 12월,NONE
8,2020 1월,https://finance.yahoo.com/news/tesla-elonmusk-musk-bull-bear-earnings-223112774.html
9,,https://finance.yahoo.com/news/tesla-4q-2019-earnings-results-163001490.html
10,,https://finance.yahoo.com/news/elon-musk-about-to-get-richer-morning-brief-112843253.html
11,2020 2월,https://finance.yahoo.com/news/tesla-shares-monday-trading-morning-brief-113327468.html
12,,https://finance.yahoo.com/news/tesla-stock-next-amazon-150050181.html
13,,https://finance.yahoo.com/news/tesla-prices-2-billion-stock-163900538.html
14,2020 3월,https://finance.yahoo.com/news/why-tesla-cars-popular-180000550.html
15,2020 4월,https://finance.yahoo.com/news/tesla-reports-1q-2020-earnings-results-coronavirus-153352803.html
16,2020 5월,https://finance.yahoo.com/news/heres-warren-buffett-thinks-tesla-195520766.html
17,,https://finance.yahoo.com/news/tesla-china-model-3-sales-073946977.html
18,2020 6월,https://finance.yahoo.com/news/tesla-tsla-don-t-believe-012219072.html
19,,https://finance.yahoo.com/news/rationalizing-tesla-stock-price-105505430.html
20,,https://finance.yahoo.com/news/tesla-over-automotive-world-183806725.html
21,,https://finance.yahoo.com/news/tesla-sales-triple-china-model-112555845.html
22,,
23,2020 7월,https://finance.yahoo.com/news/why-tesla-tsla-stock-compelling-164435511.html
24,,https://finance.yahoo.com/news/tesla-stock-is-a-gigantic-bubble-on-the-verge-of-exploding-strategist-171531489.html
25,,https://finance.yahoo.com/news/tesla-share-price-is-a-beast-that-cannot-be-stopped-analyst-185726637.html
26,2020 8월,https://finance.yahoo.com/news/tesla-stock-looks-unstoppable-even-at-2000-strategist-174215675.html
27,,https://finance.yahoo.com/news/hedge-funds-never-bullish-tesla-180202627.html
28,,https://finance.yahoo.com/news/4-2-return-equity-tesla-103828801.html
29,2020 9월,https://finance.yahoo.com/news/tesla-tsla-risen-823-last-160943958.html
30,,https://finance.yahoo.com/news/billionaire-investor-mario-gabelli-explains-problem-with-tesla-stock-125040865.html
31,,https://finance.yahoo.com/news/tesla-analyst-is-bullish-on-what-the-company-is-doing-with-its-highpriced-stock-raises-price-target-to-550-170242543.html
32,,https://finance.yahoo.com/news/tesla-stock-crash-targets-75-052519343.html
33,2020 10월,https://finance.yahoo.com/news/heres-why-tesla-tsla-set-141502012.html
34,,https://finance.yahoo.com/news/why-tesla-tsla-stock-could-133118760.html
35,,https://finance.yahoo.com/news/buy-tesla-tsla-ahead-earnings-123812117.html
36,,https://finance.yahoo.com/news/tesla-delivered-record-number-electric-120932702.html
37,,https://finance.yahoo.com/news/tesla-tsla-good-stock-buy-203157040.html
38,,https://finance.yahoo.com/news/tesla-tsla-1-000-bull-224851459.html
39,2020 11월,NONE
40,2020 12월,https://finance.yahoo.com/news/want-buy-tesla-tsla-stock-140452443.html
41,,https://finance.yahoo.com/news/3-reasons-tesla-isnt-our-company-of-the-year-130616052.html
42,,https://finance.yahoo.com/news/tesla-tsla-smart-long-term-172005496.html
43,,https://finance.yahoo.com/news/teslas-stock-reach-1-000-175517319.html
44,,https://finance.yahoo.com/news/tesla-tsla-stock-sinks-market-224510405.html
45,,https://finance.yahoo.com/news/tesla-will-be-a-real-bell-weather-in-the-market-strategist-200500122.html
46,,https://finance.yahoo.com/news/tesla-tsla-gains-market-dips-224510314.html
47,2021 1월 ,https://finance.yahoo.com/news/tesla-stock-is-very-fully-priced-says-investing-legend-byron-wien-195839534.html
48,,https://finance.yahoo.com/news/teslas-stock-is-a-prime-example-of-a-bubble-research-affiliates-rob-arnott-195453373.html
49,,https://finance.yahoo.com/news/tesla-tsla-outpaces-stock-market-224510036.html
50,,https://finance.yahoo.com/news/wedbush-tesla-stock-double-digit-190100133.html
51,2021 2월 ,https://finance.yahoo.com/news/teslas-1-5b-bitcoin-investment-073527943.html
52,,https://finance.yahoo.com/news/why-mott-capital-keeps-selling-181208291.html
53,2021 3월 ,https://finance.yahoo.com/news/tesla-rebounds-track-best-day-171945771.html
54,,https://finance.yahoo.com/news/invested-1-000-tesla-10-135556708.html
55,,https://finance.yahoo.com/news/buy-tesla-tsla-stock-too-173026416.html
56,,https://finance.yahoo.com/news/tesla-tsla-stock-buy-sell-165650439.html
57,,https://finance.yahoo.com/news/tesla-tsla-outpaces-stock-market-214509071.html
58,,https://finance.yahoo.com/news/tesla-tsla-stock-sinks-market-224510552.html
59,,https://finance.yahoo.com/news/tesla-loses-more-244-billion-184156101.html
60,,https://finance.yahoo.com/news/analyst-ratings-tesla-155333683.html
61,,https://finance.yahoo.com/news/tesla-model-3-demand-spikes-202713722.html
62,,https://finance.yahoo.com/news/tesla-q1-deliveries-beat-street-013508985.html
63,,https://finance.yahoo.com/video/ark-invest-predicts-tesla-hit-170221534.html
