,Date,Walmart
1,2019 7월 ,https://finance.yahoo.com/news/who-cares-if-walmart-is-losing-1-billion-a-year-online-as-it-battles-amazon-183420696.html
2,2019 8월,https://finance.yahoo.com/news/walmart-ups-its-bakery-game-with-online-cake-ordering-175603473.html
3,2019 9월,https://finance.yahoo.com/news/walmart-dodged-2-6-billion-151531554.html
4,,https://finance.yahoo.com/news/walmart-opens-its-firstever-medical-center-and-one-analyst-thinks-its-really-cool-130421442.html
5,2019 10월,https://finance.yahoo.com/news/walmart-pilots-news-ways-to-cut-health-care-costs-040101743.html
6,,https://finance.yahoo.com/news/walmart-green-dot-jointly-establish-203046561.html
7,2019 11월,https://finance.yahoo.com/news/walmart-black-friday-050133189.html
8,,https://finance.yahoo.com/news/walmart-dodged-us-tax-2-120039434.html
9,2019 12월,NONE
10,2020 1월,https://finance.yahoo.com/news/walmart-goes-hightech-with-alphabot-a-grocerypicking-machine-163515254.html
11,2020 2월,https://finance.yahoo.com/news/walmart-e-commerce-growth-161040142.html
12,2020 3월,https://finance.yahoo.com/news/amid-coronavirus-walmart-says-its-seeing-increased-sales-of-tops-but-not-bottoms-202959379.html
13,,https://finance.yahoo.com/news/walmart-live-better-u-college-program-130056921.html
14,,https://finance.yahoo.com/news/credit-suisse-upgrades-walmart-to-outperform-amid-coronavirus-191947196.html
15,,https://finance.yahoo.com/news/walmart-to-hire-150000-people-amid-coronavirus-002023425.html
16,,https://finance.yahoo.com/news/walmart-coronavirus-emergency-paid-leave-amid-coronavirus-184524898.html
17,2020 4월,https://finance.yahoo.com/news/walmart-makes-a-huge-change-to-its-stores-because-of-the-coronavirus-pandemic-single-direction-aisles-161441040.html
18,2020 5월,https://finance.yahoo.com/news/walmart-q1-earnings-covid-19-111010251.html
19,,https://finance.yahoo.com/news/walmart-shutters-jet-com-4-123732327.html
20,2020 6월,https://finance.yahoo.com/news/walmart-acquires-health-management-startup-043135930.html
21,2020 7월,https://finance.yahoo.com/news/walmart-invests-additional-1-2-112231217.html
22,,https://ca.finance.yahoo.com/news/walmart-canada-to-build-new-distribution-centres-as-part-of-35-b-investment-172425394.html
23,2020 8월,https://finance.yahoo.com/news/walmart-and-target-huge-ecommerce-gains-are-a-blaring-siren-to-brickandmortar-retail-192709224.html
24,2020 9월,https://finance.yahoo.com/news/walmart-hits-a-grand-slam-with-its-tik-tok-deal-with-oracle-110306137.html
25,,https://finance.yahoo.com/news/walmart-unveils-store-updates-for-digital-age-163754789.html
26,,https://finance.yahoo.com/news/walmart-and-marcus-by-goldman-sachs-to-offer-lines-of-business-credit-040125003.html
27,,https://news.yahoo.com/walmart-looking-25-billion-investment-040031397.html
28,2020 10월,https://finance.yahoo.com/news/walmart-debuts-four-new-test-stores-100016606.html
29,,https://finance.yahoo.com/news/walmart-ceo-the-lack-of-stimulus-is-taking-its-toll-175700027.html
30,,https://finance.yahoo.com/news/walmarts-mexico-unit-launches-walmart-183619993.html
31,2020 11월,https://finance.yahoo.com/news/walmart-wmt-good-stock-buy-163633065.html
32,2020 12월,https://finance.yahoo.com/news/walmart-to-pilot-tiktok-shopping-product-140014459.html
33,,https://finance.yahoo.com/news/walmart-prepares-pharmacies-to-administer-covid-19-vaccine-193841695.html
34,,https://finance.yahoo.com/news/wal-mart-teams-fedex-challenge-195156510.html
35,2021 1월 ,https://finance.yahoo.com/news/walmart-launches-fintech-startup-with-ribbit-capital-211506705.html
36,2021 2월 ,https://finance.yahoo.com/news/walmart-promotes-denise-incandela-head-185019510.html
37,,https://finance.yahoo.com/news/1-000-5-years-later-234612640.html
38,,https://finance.yahoo.com/news/walmart-real-growth-problem-203714142.html
39,,https://finance.yahoo.com/news/1-walmart-rides-soaring-holiday-120710683.html
40,,https://finance.yahoo.com/news/walmart-just-dealt-a-major-blow-to-other-retailers-194807229.html
41,,https://finance.yahoo.com/news/walmart-raises-wages-for-425000-store-associates-121301438.html
42,,https://finance.yahoo.com/news/walmart-q-4-earnings-results-and-wage-increases-121139661.html
43,,https://finance.yahoo.com/news/walmart-stock-nears-a-tipping-point-115218108.html
44,,https://finance.yahoo.com/news/walmart-announces-14b-investments-plans-204802955.html
45,2021 3월 ,https://finance.yahoo.com/news/walmart-wmt-stock-buy-sell-161319568.html
46,,https://finance.yahoo.com/news/walmart-hires-2-goldman-sachs-194507617.html
47,,https://finance.yahoo.com/news/why-walmart-wmt-down-4-153003803.html
48,,https://ca.finance.yahoo.com/news/walmart-canada-hands-out-120-m-in-bonuses-to-employees-123426915.html
49,,https://finance.yahoo.com/news/walmart-board-directors-adds-former-214300620.html
50,,https://finance.yahoo.com/news/walmart-target-push-essential-advantage-100044733.html
51,2021 4월 ,https://finance.yahoo.com/news/walmart-sustainability-pitch-wall-street-222437826.html
52,,https://finance.yahoo.com/news/walmart-releases-2021-annual-report-210100873.html
53,,https://finance.yahoo.com/news/walmart-flipkart-said-aim-ipo-145725301.html
54,,https://finance.yahoo.com/news/walmart-tango-shareholders-disclosures-worker-213952552.html
55,2021 5월,https://finance.yahoo.com/news/walmart-and-target-earnings-housing-data-what-to-know-this-week-153636806.html
56,,https://finance.yahoo.com/news/walmart-reports-fiscal-q1-2022-earnings-results-pandemic-stimulus-retail-200710610.html
57,,https://finance.yahoo.com/news/walmart-blocks-emails-containing-racial-200539823.html
58,,https://finance.yahoo.com/news/walmart-buy-hold-stock-ahead-173905631.html
59,,https://finance.yahoo.com/news/walmart-ceo-harvard-business-school-commencement-speech-150222300.html
