Date,AMZN
2019-07-31,1866.78
2019-08-31,1776.29
2019-09-30,1735.91
2019-10-31,1776.66
2019-11-30,1800.8
2019-12-31,1847.84
2020-01-31,2008.72
2020-02-29,1883.75
2020-03-31,1949.72
2020-04-30,2474.0
2020-05-31,2442.37
2020-06-30,2758.82
2020-07-31,3164.68
2020-08-31,3450.96
2020-09-30,3148.73
2020-10-31,3036.15
2020-11-30,3168.04
2020-12-31,3256.93
2021-01-31,3206.2
2021-02-28,3092.93
2021-03-31,3094.08
2021-04-30,3467.42
2021-05-31,3223.07
2021-06-30,3440.16
2021-07-31,3327.59
2021-08-31,3470.79
