,nwords,npos,nneg,date
0,203,1,0,17-Aug-19
1,256,7,5,19-Sep-19
2,446,11,27,10-Sep-19
3,531,13,20,24-Oct-19
4,304,9,8,13-Nov-19
5,0,0,0,01-Dec-19
6,0,0,0,01-Jan-20
7,0,0,0,01-Feb-20
8,0,0,0,01-Mar-20
9,341,12,5,04-Mar-20
10,425,13,8,17-Mar-20
11,284,6,8,07-Apr-20
12,590,17,3,21-May-20
13,235,9,5,05-May-20
14,239,5,6,13-May-20
15,786,9,26,25-Jun-20
16,520,5,28,31-Jul-20
17,292,3,4,31-Jul-20
18,488,7,15,24-Jul-20
19,364,6,2,30-Jul-20
20,376,13,3,28-Aug-20
21,376,13,3,28-Aug-20
22,693,19,3,26-Aug-20
23,400,14,5,19-Aug-20
24,425,16,6,21-Aug-20
25,301,10,8,01-Oct-20
26,200,10,1,11-Sep-20
27,304,12,9,08-Oct-20
28,244,14,1,28-Oct-20
29,571,6,6,28-Oct-20
30,628,19,3,20-Oct-20
31,592,8,6,26-Oct-20
32,395,6,13,19-Oct-20
33,348,8,5,24-Nov-20
34,868,10,50,27-Nov-20
35,750,19,9,25-Nov-20
36,295,12,8,30-Dec-20
37,431,5,10,05-Dec-20
38,351,3,20,10-Dec-20
39,546,9,17,28-Jan-21
40,146,0,1,06-Jan-21
41,434,10,8,26-Jan-21
42,362,12,7,21-Feb-21
43,546,6,19,19-Feb-21
44,517,3,24,18-Feb-21
45,294,14,5,23-Mar-21
46,649,18,6,16-Mar-21
47,137,1,0,11-Mar-21
48,1270,14,9,29-Apr-21
49,299,12,5,22-Apr-21
50,394,11,3,23-Apr-21
51,386,7,10,29-Apr-21
52,144,0,1,02-Apr-21
53,415,14,2,14-May-21
54,236,12,1,27-May-21
55,287,13,5,11-May-21
56,201,9,4,04-May-21
57,356,16,2,08-May-21
58,258,9,3,09-Jun-21
59,399,15,3,15-Jun-21
60,202,9,2,05-Jun-21
61,297,11,4,11-Jun-21
62,500,24,7,08-Jun-21
63,490,6,5,29-Jul-21
64,293,12,2,13-Jul-21
65,229,8,2,30-Jul-21
66,297,11,3,20-Jul-21
67,475,14,5,26-Jul-21
68,312,12,12,30-Jul-21
69,345,11,5,26-Aug-21
70,486,12,11,11-Aug-21
71,401,11,8,27-Aug-21
72,656,19,5,09-Aug-21
73,563,14,4,03-Sep-21
74,283,12,4, September 11 2021
75,522,29,3, September 9 2021
76,466,16,4,05-Sep-21
