,nwords,npos,nneg,date
0,341,15,4,23-Jul-19
1,0,0,0,01-Aug-19
2,526,8,29,20-Sep-19
3,236,6,4,13-Sep-19
4,0,0,0,01-Oct-19
5,0,0,0,01-Nov-19
6,0,0,0,01-Dec-19
7,256,11,7,30-Jan-20
8,499,7,9,30-Jan-20
9,568,6,6,23-Jan-20
10,595,11,19,04-Feb-20
11,655,11,15,09-Feb-20
12,454,6,14,15-Feb-20
13,1180,28,27,29-Mar-20
14,434,10,19,30-Apr-20
15,246,2,2,03-May-20
16,252,1,5,11-May-20
17,281,4,7,11-Jun-20
18,504,19,12,07-Jun-20
19,465,6,6,18-Jun-20
20,219,3,1,08-Jun-20
21,383,12,7,07-Jul-20
22,351,12,5,09-Jul-20
23,316,5,4,16-Jul-20
24,325,9,3,22-Aug-20
25,677,21,5,01-Sep-20
26,376,13,5,12-Aug-20
27,353,12,8,19-Sep-20
28,372,4,6,02-Sep-20
29,342,4,3,03-Sep-20
30,128,2,5,11-Sep-20
31,427,10,3,16-Oct-20
32,385,14,6,15-Oct-20
33,261,14,2,20-Oct-20
34,424,9,12,03-Oct-20
35,690,25,4,01-Dec-20
36,353,9,4,24-Nov-20
37,436,24,7,11-Dec-20
38,961,22,46,07-Dec-20
39,333,17,4,05-Dec-20
40,220,1,1,11-Dec-20
41,291,14,4,17-Dec-20
42,276,3,1,09-Dec-20
43,285,12,5,30-Dec-20
44,375,6,6,15-Jan-21
45,270,1,3,20-Jan-21
46,279,14,4,14-Jan-21
47,389,12,6,16-Jan-21
48,249,0,12,09-Feb-21
49,297,10,3,16-Feb-21
50,222,10,5,10-Mar-21
51,259,1,1,10-Mar-21
52,363,20,4,18-Mar-21
53,684,22,4,17-Mar-21
54,285,11,4,26-Mar-21
55,286,13,8,13-Mar-21
56,162,2,10,09-Mar-21
57,190,1,3,30-Mar-21
58,225,3,2,07-Mar-21
59,263,6,1,31-Mar-21
60,635,9,11,23-Mar-21
61,499,10,15,27-Apr-21
62,289,14,2,09-Apr-21
63,310,11,5,05-Apr-21
64,205,0,2,08-Apr-21
65,377,8,6,27-Apr-21
66,294,8,2,06-Apr-21
67,200,1,11,19-Apr-21
68,267,14,2,22-Apr-21
69,251,8,3,03-Apr-21
70,235,6,5,05-Apr-21
71,343,6,12,06-Apr-21
72,278,8,7,06-Apr-21
73,475,20,2,22-Apr-21
74,311,11,9,14-May-21
75,440,4,11,26-May-21
76,290,10,6,11-May-21
77,261,4,12,20-May-21
78,213,5,8,18-May-21
79,276,7,8,21-Jun-21
80,283,12,4,22-Jun-21
81,454,6,19,08-Jun-21
82,313,9,2,14-Jul-21
83,284,12,4,22-Jul-21
84,306,9,4,27-Jul-21
85,209,13,1,23-Jul-21
86,532,10,23,27-Jul-21
87,565,19,7,24-Jul-21
88,256,7,8,28-Jul-21
89,78,0,1,27-Jul-21
90,153,1,2,16-Jul-21
91,386,11,8,03-Aug-21
92,540,31,4,28-Aug-21
93,462,14,4,25-Aug-21
94,212,4,6,20-Aug-21
95,128,6,1,04-Sep-21
96,189,7,2, September 11 2021
97,113,0,9,02-Sep-21
98,258,11,3,01-Sep-21
