,nwords,npos,nneg
0,371,7,10
1,263,6,2
2,205,3,5
3,475,10,13
4,0,0,0
5,0,0,0
6,510,18,3
7,340,11,10
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,267,6,6
13,0,0,0
14,414,4,6
15,229,3,3
16,226,5,3
17,301,8,7
18,522,6,8
19,804,29,3
20,575,11,6
21,736,25,8
22,172,4,1
23,291,10,2
24,1278,20,20
25,321,13,4
26,448,23,3
27,2577,32,26
28,211,9,3
29,0,0,0
30,219,5,0
31,196,5,2
32,345,9,4
33,730,22,7
34,313,10,7
35,630,27,17
36,851,30,4
37,256,6,4
38,1057,29,3
39,2368,32,29
40,691,22,6
41,663,13,24
42,228,10,6
43,129,4,1
44,950,27,8
45,1874,50,22
46,137,1,1
47,1287,22,22
48,683,24,8
49,128,3,1
50,1068,37,12
51,194,8,0
52,227,5,1
53,562,7,8
54,377,6,6
55,2338,27,28
56,495,16,13
57,371,19,2
58,743,2,3
59,120,1,1
60,305,11,7
61,664,11,6
62,585,23,5
