,nwords,npos,nneg,score
0,0,0,0,
1,577,14,5,32.92894280762565
2,591,4,8,20.30456852791878
3,590,20,4,40.67796610169491
4,0,0,0,
5,0,0,0,
6,419,14,10,57.279236276849645
7,404,18,3,51.980198019801975
8,296,9,2,37.16216216216216
9,0,0,0,
10,186,2,3,26.881720430107528
11,542,22,14,66.42066420664207
12,294,0,4,13.605442176870747
13,397,15,2,42.821158690176325
14,364,20,2,60.43956043956044
15,543,30,1,57.0902394106814
16,304,13,3,52.63157894736842
17,285,9,3,42.10526315789473
18,327,14,2,48.92966360856269
19,308,5,6,35.714285714285715
20,1106,29,22,46.1121157323689
21,167,1,1,11.976047904191617
22,304,10,2,39.473684210526315
23,571,10,17,47.285464098073554
24,374,7,3,26.737967914438503
25,640,11,19,46.875
26,545,24,6,55.04587155963303
27,341,10,5,43.98826979472141
28,517,11,6,32.88201160541586
29,336,3,2,14.88095238095238
30,0,0,0,
31,781,26,5,39.69270166453265
32,202,7,3,49.504950495049506
33,210,2,1,14.285714285714285
34,470,15,8,48.93617021276596
35,319,13,5,56.426332288401255
36,298,14,3,57.04697986577181
37,161,6,3,55.900621118012424
38,307,9,3,39.08794788273615
39,307,7,4,35.83061889250815
40,296,8,4,40.54054054054054
41,407,7,10,41.76904176904177
42,195,1,2,15.384615384615385
43,288,11,5,55.55555555555555
44,287,3,2,17.421602787456447
45,714,22,6,39.21568627450981
46,289,13,3,55.36332179930796
47,355,12,6,50.70422535211268
48,374,11,9,53.475935828877006
49,337,4,3,20.771513353115726
50,335,12,4,47.76119402985075
51,287,12,4,55.749128919860624
52,394,15,4,48.223350253807105
53,1116,30,11,36.738351254480285
54,422,18,14,75.82938388625593
55,269,5,7,44.60966542750929
56,295,10,4,47.45762711864407
57,291,12,5,58.419243986254294
58,1124,27,20,41.81494661921708
59,504,16,8,47.61904761904761
60,359,6,9,41.78272980501393
61,352,18,1,53.97727272727273
62,272,13,4,62.5
63,352,16,3,53.97727272727273
64,399,12,7,47.61904761904761
65,242,6,2,33.057851239669425
66,237,7,1,33.755274261603375
67,469,19,2,44.776119402985074
68,131,2,0,15.267175572519083
69,194,10,2,61.855670103092784
70,463,20,2,47.51619870410367
