,nwords,npos,nneg
0,0,0,0
1,577,14,5
2,591,4,8
3,590,20,4
4,0,0,0
5,0,0,0
6,419,14,10
7,404,18,3
8,296,9,2
9,0,0,0
10,186,2,3
11,542,22,14
12,294,0,4
13,397,15,2
14,364,20,2
15,543,30,1
16,304,13,3
17,285,9,3
18,327,14,2
19,308,5,6
20,1106,29,22
21,167,1,1
22,304,10,2
23,571,10,17
24,374,7,3
25,640,11,19
26,545,24,6
27,341,10,5
28,517,11,6
29,336,3,2
30,0,0,0
31,781,26,5
32,202,7,3
33,210,2,1
34,470,15,8
35,319,13,5
36,298,14,3
37,161,6,3
38,307,9,3
39,307,7,4
40,296,8,4
41,407,7,10
42,195,1,2
43,288,11,5
44,287,3,2
45,714,22,6
46,289,13,3
47,355,12,6
48,374,11,9
49,337,4,3
50,335,12,4
51,287,12,4
52,394,15,4
53,1116,30,11
54,422,18,14
55,269,5,7
56,295,10,4
57,291,12,5
58,1124,27,20
59,504,16,8
60,359,6,9
61,352,18,1
62,272,13,4
63,352,16,3
64,399,12,7
65,242,6,2
66,237,7,1
67,469,19,2
68,131,2,0
69,194,10,2
70,463,20,2
