,nwords,npos,nneg
0,488,9,15
1,371,5,3
2,1811,19,71
3,214,1,0
4,582,12,10
5,332,13,0
6,371,5,2
7,1195,11,56
8,0,0,0
9,290,12,1
10,426,13,6
11,323,5,8
12,601,22,5
13,257,6,8
14,337,6,7
15,203,6,2
16,265,2,3
17,407,4,13
18,273,4,8
19,152,0,2
20,338,6,4
21,304,4,1
22,512,4,15
23,599,9,2
24,261,4,0
25,383,5,1
26,197,2,0
27,357,5,1
28,343,7,14
29,130,2,0
30,731,21,6
31,320,12,1
32,237,1,1
33,361,12,5
34,184,1,0
35,293,11,0
36,284,9,5
37,286,6,12
38,206,1,2
39,465,14,9
40,371,11,0
41,427,9,8
42,285,7,4
43,139,3,0
44,632,19,7
45,169,1,1
46,783,22,21
47,272,6,1
48,317,11,1
49,847,24,11
50,397,5,7
51,473,16,8
52,315,5,2
53,674,5,20
54,870,11,13
55,392,6,10
56,95,0,4
57,433,9,5
58,665,13,15
59,365,7,6
60,306,1,10
61,299,6,6
62,462,6,8
63,115,0,3
64,647,7,3
65,280,3,1
66,587,10,5
67,594,26,4
68,146,1,0
69,606,19,12
70,672,23,5
71,284,7,2
72,434,11,2
73,477,6,11
74,262,8,1
75,170,0,0
76,605,22,9
77,189,3,3
78,453,5,9
79,333,8,4
80,669,17,11
81,661,23,5
82,279,8,4
83,187,1,4
84,495,7,9
85,372,10,0
86,521,17,10
87,87,0,2
88,221,2,2
89,391,23,0
90,261,4,1
91,361,18,0
92,340,11,7
93,275,7,5
94,305,11,9
95,271,7,3
96,633,5,23
97,280,6,0
98,923,14,18
99,214,3,11
100,487,9,1
101,308,3,7
102,395,6,4
103,352,10,11
104,155,0,4
105,131,1,2
106,207,1,1
107,265,6,1
108,809,19,11
109,1976,12,24
110,525,10,5
111,665,13,6
112,528,15,13
113,552,16,0
114,659,11,7
115,263,2,2
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,643,28,0
1,122,1,4
2,127,2,3
3,278,6,2
4,239,1,1
