,nwords,npos,nneg,date
0,371,7,10,"July 19, 2019"
1,263,6,2,"August 8, 2019"
2,205,3,5,"August 31, 2019"
3,475,10,13,"September 10, 2019"
4,0,0,0,NONE
5,0,0,0,NONE
6,510,18,3,"December 23, 2019"
7,340,11,10,"January 30, 2020"
8,0,0,0,NONE
9,0,0,0,NONE
10,0,0,0,NONE
11,0,0,0,NONE
12,267,6,6,"June 17, 2020"
13,0,0,0,NONE
14,414,4,6,"August 12, 2020"
15,229,3,3,"August 11, 2020"
16,226,5,3,"September 11, 2020"
17,301,8,7,"October 28, 2020"
18,522,6,8,"October 9, 2020"
19,804,29,3,"November 10, 2020"
20,575,11,6,18 November 2020
21,736,25,8,"December 1, 2020"
22,172,4,1,"December 14, 2020"
23,291,10,2,"January 27, 2021"
24,1278,20,20,"January 13, 2021"
25,321,13,4,"January 1, 2021"
26,448,23,3,"January 28, 2021"
27,2577,32,26,"January 27, 2021"
28,211,9,3,"January 27, 2021"
29,0,0,0,NONE
30,219,5,0,"March 4, 2021"
31,196,5,2,"March 16, 2021"
32,345,9,4,"March 19, 2021"
33,730,22,7,"March 17, 2021"
34,313,10,7,"April 28, 2021"
35,630,27,17,"April 8, 2021"
36,851,30,4,"April 20, 2021"
37,256,6,4,"April 30, 2021"
38,1057,29,3,"April 28, 2021"
39,2368,32,29,"April 28, 2021"
40,691,22,6,"April 23, 2021"
41,663,13,24,"May 20, 2021"
42,228,10,6,"May 20, 2021"
43,129,4,1,"May 28, 2021"
44,950,27,8,"May 28, 2021"
45,1874,50,22,"June 1, 2021"
46,137,1,1,"June 17, 2021"
47,1287,22,22,"June 8, 2021"
48,683,24,8,"June 15, 2021"
49,128,3,1,"June 30, 2021"
50,1068,37,12,"July 30, 2021"
51,194,8,0,"July 30, 2021"
52,227,5,1,"July 30, 2021"
53,562,7,8,"July 6, 2021"
54,377,6,6,"July 20, 2021"
55,2338,27,28,"July 28, 2021"
56,495,16,13,"July 21, 2021"
57,371,19,2,"July 31, 2021"
58,743,2,3,"August 19, 2021"
59,120,1,1,"August 17, 2021"
60,305,11,7,"August 25, 2021"
61,664,11,6,"August 10, 2021"
62,585,23,5,"September 2, 2021"
