,nwords,npos,nneg,date
0,0,0,0,NONE
1,577,14,5,"September 6, 2019"
2,591,4,8,"September 20, 2019"
3,590,20,4,"September 20, 2019"
4,0,0,0,NONE
5,0,0,0,NONE
6,419,14,10,"December 2, 2019"
7,404,18,3,"January 7, 2020"
8,296,9,2,"January 30, 2020"
9,0,0,0,NONE
10,186,2,3,"March 31, 2020"
11,542,22,14,"April 5, 2020"
12,294,0,4,"April 30, 2020"
13,397,15,2,"April 13, 2020"
14,364,20,2,"May 26, 2020"
15,543,30,1,"May 21, 2020"
16,304,13,3,"June 19, 2020"
17,285,9,3,"June 2, 2020"
18,327,14,2,"July 1, 2020"
19,308,5,6,"July 23, 2020"
20,1106,29,22,"July 23, 2020"
21,167,1,1,"July 17, 2020"
22,304,10,2,"July 23, 2020"
23,571,10,17,"August 1, 2020"
24,374,7,3,"August 26, 2020"
25,640,11,19,"September 17, 2020"
26,545,24,6,"September 16, 2020"
27,341,10,5,"October 6, 2020"
28,517,11,6,"October 24, 2020"
29,336,3,2,"October 28, 2020"
30,0,0,0,NONE
31,781,26,5,"December 28, 2020"
32,202,7,3,"December 23, 2020"
33,210,2,1,"December 12, 2020"
34,470,15,8,"January 31, 2021"
35,319,13,5,"January 16, 2021"
36,298,14,3,"January 13, 2021"
37,161,6,3,"January 26, 2021"
38,307,9,3,"January 27, 2021"
39,307,7,4,"February 9, 2021"
40,296,8,4,"February 10, 2021"
41,407,7,10,"March 9, 2021"
42,195,1,2,"March 30, 2021"
43,288,11,5,"March 6, 2021"
44,287,3,2,"March 23, 2021"
45,714,22,6,"March 16, 2021"
46,289,13,3,"April 14, 2021"
47,355,12,6,"April 21, 2021"
48,374,11,9,"April 14, 2021"
49,337,4,3,"April 28, 2021"
50,335,12,4,"May 15, 2021"
51,287,12,4,"May 31, 2021"
52,394,15,4,"May 4, 2021"
53,1116,30,11,"May 28, 2021"
54,422,18,14,"May 4, 2021"
55,269,5,7,"June 25, 2021"
56,295,10,4,"June 11, 2021"
57,291,12,5,"June 16, 2021"
58,1124,27,20,"June 4, 2021"
59,504,16,8,"July 18, 2021"
60,359,6,9,"July 28, 2021"
61,352,18,1,"July 8, 2021"
62,272,13,4,"July 20, 2021"
63,352,16,3,"August 27, 2021"
64,399,12,7,"August 13, 2021"
65,242,6,2,"August 24, 2021"
66,237,7,1,"August 21, 2021"
67,469,19,2,"August 16, 2021"
68,131,2,0,"August 21, 2021"
69,194,10,2,"September 2, 2021"
70,463,20,2,"September 1, 2021"
