,nwords,npos,nneg,date
0,541,9,21,"July 5, 2019"
1,615,9,20,"August 28, 2019"
2,450,6,16,"September 14, 2019"
3,538,10,22,"October 18, 2019"
4,0,0,0,NONE
5,0,0,0,NONE
6,0,0,0,NONE
7,493,10,9,"February 13, 2020"
8,0,0,0,NONE
9,0,0,0,NONE
10,0,0,0,NONE
11,0,0,0,NONE
12,0,0,0,NONE
13,379,10,7,"August 7, 2020"
14,268,5,2,"August 26, 2020"
15,383,18,8,"September 17, 2020"
16,749,25,9,"September 8, 2020"
17,811,18,25,"September 21, 2020"
18,0,0,0,NONE
19,756,7,33,"November 19, 2020"
20,392,7,1,"December 8, 2020"
21,1202,30,31,"December 31, 2020"
22,672,24,7,"December 15, 2020"
23,249,5,4,"January 29, 2021"
24,1535,25,64,"February 17, 2021"
25,964,35,16,"February 2, 2021"
26,1830,19,56,"February 2, 2021"
27,2108,17,55,"February 16, 2021"
28,271,1,5,"March 27, 2021"
29,4461,46,121,"April 29, 2021"
30,350,12,4,"April 14, 2021"
31,613,16,4,"April 8, 2021"
32,1195,35,15,"May 18, 2021"
33,1547,23,64,"May 21, 2021"
34,1221,20,55,"June 8, 2021"
35,905,16,41,"June 2, 2021"
36,0,0,0,NONE
37,687,27,7,"June 15, 2021"
38,328,5,9,"July 31, 2021"
39,132,2,1,"July 9, 2021"
40,5715,53,150,"July 29, 2021"
41,596,10,11,"July 21, 2021"
42,90,0,1,"July 15, 2021"
43,159,1,3,"July 26, 2021"
44,368,10,6,"August 24, 2021"
45,0,0,0,NONE
