,nwords,npos,nneg,date
0,654,11,2,"July 18, 2019"
1,446,8,13,"July 26, 2019"
2,378,10,8,"July 18, 2019"
3,488,5,4,"July 7, 2019"
4,381,4,9,"July 16, 2019"
5,337,5,10,"August 9, 2019"
6,450,3,6,"August 1, 2019"
7,329,8,8,"September 12, 2019"
8,217,2,3,"October 30, 2019"
9,604,5,9,"October 21, 2019"
10,483,7,1,20 November 2019
11,312,7,9,"November 29, 2019"
12,0,0,0,NONE
13,294,3,13,"January 30, 2020"
14,328,1,12,"January 24, 2020"
15,212,7,5,"January 31, 2020"
16,404,16,16,"January 4, 2020"
17,308,5,2,22 January 2020
18,201,3,5,"February 18, 2020"
19,241,1,0,7 February 2020
20,226,2,4,"February 13, 2020"
21,269,4,4,"February 5, 2020"
22,285,0,5,"February 4, 2020"
23,259,0,10,"March 5, 2020"
24,363,4,18,"March 17, 2020"
25,298,3,4,"April 1, 2020"
26,626,11,21,"April 15, 2020"
27,164,1,5,"April 8, 2020"
28,394,6,5,"May 1, 2020"
29,277,4,9,"May 19, 2020"
30,686,20,14,"May 23, 2020"
31,208,1,6,"June 24, 2020"
32,100,0,0,"June 17, 2020"
33,186,2,3,"June 3, 2020"
34,339,10,4,"June 1, 2020"
35,466,16,12,"June 9, 2020"
36,353,8,5,"June 16, 2020"
37,425,9,5,"July 31, 2020"
38,448,4,57,"July 8, 2020"
39,240,0,13,"July 22, 2020"
40,520,16,2,"July 28, 2020"
41,669,18,4,"August 26, 2020"
42,731,13,9,"August 18, 2020"
43,493,12,9,"August 13, 2020"
44,799,6,13,"September 16, 2020"
45,659,17,39,"September 11, 2020"
46,674,11,4,"October 8, 2020"
47,433,6,8,"October 30, 2020"
48,303,5,4,"October 30, 2020"
49,356,3,2,"October 21, 2020"
50,662,6,22,"October 28, 2020"
51,1616,33,14,"October 1, 2020"
52,200,6,2,"October 22, 2020"
53,573,9,7,"October 16, 2020"
54,393,5,6,"November 17, 2020"
55,372,19,4,"December 11, 2020"
56,407,20,5,"December 2, 2020"
57,221,3,0,"December 31, 2020"
58,297,3,5,"December 1, 2020"
59,197,2,0,"December 11, 2020"
60,282,8,2,"December 12, 2020"
61,500,9,5,"December 2, 2020"
62,366,10,4,"December 10, 2020"
63,2098,30,49,"January 30, 2021"
64,515,3,10,"February 3, 2021"
65,306,2,2,"March 24, 2021"
66,107,1,1,"March 24, 2021"
67,400,3,32,"March 2, 2021"
68,214,4,4,"March 8, 2021"
69,5084,96,62,"April 30, 2021"
70,149,0,0,"May 18, 2021"
71,275,3,3,"May 6, 2021"
72,373,4,32,"May 20, 2021"
73,181,3,8,"May 27, 2021"
74,736,10,18,"May 27, 2021"
75,427,2,7,"May 19, 2021"
76,526,4,24,"May 26, 2021"
77,238,6,23,"June 29, 2021"
78,307,2,10,"July 30, 2021"
79,129,2,0,"July 15, 2021"
80,427,4,20,"August 26, 2021"
81,141,0,0,"August 1, 2021"
82,194,1,2,"August 12, 2021"
83,413,1,20,"August 6, 2021"
84,231,0,4,"August 6, 2021"
85,128,5,0, September 11 2021
86,481,5,2, September 9 2021
87,258,8,2,"September 7, 2021"
88,400,11,8,"September 1, 2021"
89,248,2,2, September 10 2021
90,226,5,5, September 10 2021
