,nwords,npos,nneg,date
0,348,10,2,"July 2, 2019"
1,0,0,0,NONE
2,427,7,4,"September 5, 2019"
3,536,16,5,"October 28, 2019"
4,296,9,3,"October 19, 2019"
5,370,13,3,"October 16, 2019"
6,339,5,2,"November 7, 2019"
7,0,0,0,NONE
8,258,6,1,"January 30, 2020"
9,276,8,1,"January 17, 2020"
10,381,12,8,"January 15, 2020"
11,240,4,4,"February 22, 2020"
12,0,0,0,NONE
13,453,12,15,"April 21, 2020"
14,475,10,9,"April 29, 2020"
15,193,11,1,"April 8, 2020"
16,388,6,11,"May 21, 2020"
17,647,22,13,"June 16, 2020"
18,284,8,2,"July 13, 2020"
19,186,2,5,"August 30, 2020"
20,690,29,20,"August 26, 2020"
21,424,7,10,"August 21, 2020"
22,192,2,0,"September 22, 2020"
23,685,26,18,"September 12, 2020"
24,689,27,8,"September 1, 2020"
25,364,6,7,"October 22, 2020"
26,560,7,7,"October 21, 2020"
27,375,10,5,"October 2, 2020"
28,0,0,0,NONE
29,1113,5,30,"December 19, 2020"
30,666,27,7,"December 8, 2020"
31,0,0,0,NONE
32,293,5,10,"February 13, 2021"
33,558,19,13,"February 2, 2021"
34,474,11,19,"February 11, 2021"
35,173,2,2,"February 20, 2021"
36,241,8,4,"February 19, 2021"
37,302,10,5,"February 12, 2021"
38,2454,59,76,"February 10, 2021"
39,263,5,1,"February 11, 2021"
40,1616,14,43,"March 2, 2021"
41,657,21,5,"March 24, 2021"
42,1102,2,28,"March 18, 2021"
43,195,8,1,"March 9, 2021"
44,298,6,7,"March 31, 2021"
45,2748,22,79,"April 29, 2021"
46,668,18,9,"April 28, 2021"
47,708,14,10,"April 30, 2021"
48,689,22,7,"April 22, 2021"
49,1768,14,67,"May 4, 2021"
50,327,6,7,"May 6, 2021"
51,198,2,2,"May 1, 2021"
52,1915,14,72,"May 15, 2021"
53,674,23,7,"May 6, 2021"
54,204,5,0,"June 16, 2021"
55,386,17,4,"June 22, 2021"
56,1075,31,6,"July 27, 2021"
57,2336,57,13,"July 30, 2021"
58,1756,36,31,"July 21, 2021"
59,518,22,1,"August 11, 2021"
60,507,13,2,"August 2, 2021"
61,471,15,12,"August 12, 2021"
62,0,0,0,"August 9, 2021"
