,nwords,npos,nneg,date
0,203,1,0,"August 17, 2019"
1,256,7,5,"September 19, 2019"
2,446,11,27,"September 10, 2019"
3,531,13,20,"October 24, 2019"
4,304,9,8,"November 13, 2019"
5,0,0,0,NONE
6,0,0,0,NONE
7,0,0,0,NONE
8,0,0,0,NONE
9,341,12,5,"March 4, 2020"
10,425,13,8,"March 17, 2020"
11,284,6,8,"April 7, 2020"
12,590,17,3,"May 21, 2020"
13,235,9,5,"May 5, 2020"
14,239,5,6,"May 13, 2020"
15,786,9,26,"June 25, 2020"
16,520,5,28,"July 31, 2020"
17,292,3,4,"July 31, 2020"
18,488,7,15,"July 24, 2020"
19,364,6,2,"July 30, 2020"
20,376,13,3,"August 28, 2020"
21,376,13,3,"August 28, 2020"
22,693,19,3,"August 26, 2020"
23,400,14,5,"August 19, 2020"
24,425,16,6,"August 21, 2020"
25,301,10,8,"October 1, 2020"
26,200,10,1,"September 11, 2020"
27,304,12,9,"October 8, 2020"
28,244,14,1,"October 28, 2020"
29,571,6,6,"October 28, 2020"
30,628,19,3,"October 20, 2020"
31,592,8,6,"October 26, 2020"
32,395,6,13,"October 19, 2020"
33,348,8,5,"November 24, 2020"
34,868,10,50,"November 27, 2020"
35,750,19,9,"November 25, 2020"
36,295,12,8,"December 30, 2020"
37,431,5,10,"December 5, 2020"
38,351,3,20,"December 10, 2020"
39,546,9,17,"January 28, 2021"
40,146,0,1,"January 6, 2021"
41,434,10,8,"January 26, 2021"
42,362,12,7,"February 21, 2021"
43,546,6,19,"February 19, 2021"
44,517,3,24,"February 18, 2021"
45,294,14,5,"March 23, 2021"
46,649,18,6,"March 16, 2021"
47,137,1,0,"March 11, 2021"
48,1270,14,9,"April 29, 2021"
49,299,12,5,"April 22, 2021"
50,394,11,3,"April 23, 2021"
51,386,7,10,"April 29, 2021"
52,144,0,1,"April 2, 2021"
53,415,14,2,"May 14, 2021"
54,236,12,1,"May 27, 2021"
55,287,13,5,"May 11, 2021"
56,201,9,4,"May 4, 2021"
57,356,16,2,"May 8, 2021"
58,258,9,3,"June 9, 2021"
59,399,15,3,"June 15, 2021"
60,202,9,2,"June 5, 2021"
61,297,11,4,"June 11, 2021"
62,500,24,7,"June 8, 2021"
63,490,6,5,"July 29, 2021"
64,293,12,2,"July 13, 2021"
65,229,8,2,"July 30, 2021"
66,297,11,3,"July 20, 2021"
67,475,14,5,"July 26, 2021"
68,312,12,12,"July 30, 2021"
69,345,11,5,"August 26, 2021"
70,486,12,11,"August 11, 2021"
71,401,11,8,"August 27, 2021"
72,656,19,5,"August 9, 2021"
73,563,14,4,"September 3, 2021"
74,283,12,4, September 11 2021
75,522,29,3, September 9 2021
76,466,16,4,"September 5, 2021"
