,nwords,npos,nneg,date
0,1206,43,8,"August 20, 2019"
1,695,19,5,"September 11, 2019"
2,840,40,15,"September 16, 2019"
3,222,4,3,"October 9, 2019"
4,0,0,0,NONE
5,375,11,0,"December 17, 2019"
6,0,0,0,NONE
7,401,10,7,"February 3, 2020"
8,379,9,10,"February 23, 2020"
9,419,14,16,"March 25, 2020"
10,693,11,30,"April 23, 2020"
11,355,12,6,"May 23, 2020"
12,283,5,4,"May 15, 2020"
13,587,6,10,"May 5, 2020"
14,487,17,15,19 June 2020
15,0,0,0,NONE
16,397,10,13,"August 29, 2020"
17,384,8,6,"September 23, 2020"
18,291,2,1,"September 1, 2020"
19,300,13,0,"October 29, 2020"
20,448,20,4,"November 5, 2020"
21,312,11,2,"December 23, 2020"
22,481,9,7,"December 19, 2020"
23,440,10,2,"December 18, 2020"
24,302,13,6,"December 8, 2020"
25,441,3,18,"December 21, 2020"
26,323,13,5,"January 9, 2021"
27,369,6,5,"February 10, 2021"
28,282,9,3,"February 5, 2021"
29,301,12,5,"March 12, 2021"
30,401,9,10,"March 20, 2021"
31,743,20,8,"March 21, 2021"
32,212,8,3,"March 18, 2021"
33,278,12,2,"May 1, 2021"
34,366,14,5,"April 14, 2021"
35,880,32,36,"April 18, 2021"
36,0,0,0,NONE
37,498,13,13,"June 26, 2021"
38,219,11,1,"July 2, 2021"
39,407,15,3,"July 6, 2021"
40,238,6,2,"July 2, 2021"
41,462,18,4,"July 7, 2021"
42,429,13,6,"July 23, 2021"
43,176,5,1,"July 2, 2021"
44,297,12,3,"August 11, 2021"
45,666,24,7,"August 9, 2021"
