,nwords,npos,nneg,date
0,0,0,0,NONE
1,0,0,0,NONE
2,402,13,6,"October 31, 2019"
3,0,0,0,NONE
4,495,19,17,"December 27, 2019"
5,296,13,5,"December 18, 2019"
6,0,0,0,NONE
7,0,0,0,NONE
8,50,1,0,"March 16, 2020"
9,0,0,0,NONE
10,292,10,8,"June 1, 2020"
11,778,30,27,"June 3, 2020"
12,451,8,17,"July 23, 2020"
13,394,10,8,"July 26, 2020"
14,0,0,0,NONE
15,276,9,3,"September 19, 2020"
16,196,5,3,"September 14, 2020"
17,436,5,5,"October 21, 2020"
18,825,20,17,"September 19, 2020"
19,442,13,7,"October 26, 2020"
20,529,18,6,"November 25, 2020"
21,721,27,7,"December 1, 2020"
22,365,7,12,"November 2, 2020"
23,328,7,9,"November 11, 2020"
24,293,11,6,"December 10, 2020"
25,365,8,7,"January 23, 2021"
26,459,22,3,"January 16, 2021"
27,276,11,5,"January 13, 2021"
28,626,25,13,"February 23, 2021"
29,285,7,4,"February 27, 2021"
30,294,13,7,"March 11, 2021"
31,679,21,8,"March 24, 2021"
32,416,15,12,"March 31, 2021"
33,176,4,2,"April 24, 2021"
34,279,10,4,"April 20, 2021"
35,275,4,3,"May 5, 2021"
36,693,24,10,"May 4, 2021"
37,600,22,5,"May 16, 2021"
38,285,5,3,"May 5, 2021"
39,284,11,4,"June 3, 2021"
40,671,23,5,"June 15, 2021"
41,397,7,3,"July 28, 2021"
42,283,9,3,"July 20, 2021"
43,38,0,0,"July 28, 2021"
44,307,9,3,"July 28, 2021"
45,676,17,5,"August 9, 2021"
46,211,6,3,"August 11, 2021"
47,258,5,1,"August 19, 2021"
48,0,0,0,NONE
