,nwords,npos,nneg,date
0,296,9,6,"January 28, 2021"
1,367,16,1,"January 17, 2021"
2,351,11,5,"February 5, 2021"
3,365,7,10,"February 9, 2021"
4,2723,59,47,"February 3, 2021"
5,444,7,5,"February 3, 2021"
6,102,2,3,"March 30, 2021"
7,679,20,7,"March 23, 2021"
8,308,7,6,"April 12, 2021"
9,421,12,6,"April 23, 2021"
10,117,1,1,"April 28, 2021"
11,292,17,3,"April 27, 2021"
12,146,0,1,"April 28, 2021"
13,674,21,3,"May 11, 2021"
14,285,15,7,"May 13, 2021"
15,106,2,3,"July 1, 2021"
16,715,24,10,"June 21, 2021"
17,585,5,8,"June 24, 2021"
18,467,14,10,"June 10, 2021"
19,303,7,6,"July 9, 2021"
20,347,10,6,"July 30, 2021"
21,197,1,8,"July 29, 2021"
22,216,1,2,"July 28, 2021"
23,244,6,5,"July 23, 2021"
24,407,13,19,"July 28, 2021"
25,306,9,9,"July 28, 2021"
26,485,16,16,"July 22, 2021"
27,105,1,2,"August 20, 2021"
28,411,13,9,"August 10, 2021"
29,532,15,6,"August 31, 2021"
30,401,14,9,"August 20, 2021"
31,120,4,0,"August 21, 2021"
32,517,13,15,"August 4, 2021"
33,652,13,25,"August 20, 2021"
34,212,4,0,"August 24, 2021"
