,nwords,npos,nneg,date
0,341,15,4,"July 23, 2019"
1,0,0,0,NONE
2,526,8,29,"September 20, 2019"
3,236,6,4,"September 13, 2019"
4,0,0,0,NONE
5,0,0,0,NONE
6,0,0,0,NONE
7,256,11,7,"January 30, 2020"
8,499,7,9,"January 30, 2020"
9,568,6,6,"January 23, 2020"
10,595,11,19,"February 4, 2020"
11,655,11,15,"February 9, 2020"
12,454,6,14,"February 15, 2020"
13,1180,28,27,"March 29, 2020"
14,434,10,19,"April 30, 2020"
15,246,2,2,"May 3, 2020"
16,252,1,5,"May 11, 2020"
17,281,4,7,"June 11, 2020"
18,504,19,12,"June 7, 2020"
19,465,6,6,"June 18, 2020"
20,219,3,1,"June 8, 2020"
21,383,12,7,"July 7, 2020"
22,351,12,5,"July 9, 2020"
23,316,5,4,"July 16, 2020"
24,325,9,3,"August 22, 2020"
25,677,21,5,"September 1, 2020"
26,376,13,5,"August 12, 2020"
27,353,12,8,"September 19, 2020"
28,372,4,6,"September 2, 2020"
29,342,4,3,"September 3, 2020"
30,128,2,5,"September 11, 2020"
31,427,10,3,"October 16, 2020"
32,385,14,6,"October 15, 2020"
33,261,14,2,"October 20, 2020"
34,424,9,12,"October 3, 2020"
35,690,25,4,"December 1, 2020"
36,353,9,4,"November 24, 2020"
37,0,0,0,NONE
38,436,24,7,"December 11, 2020"
39,961,22,46,"December 7, 2020"
40,333,17,4,"December 5, 2020"
41,220,1,1,"December 11, 2020"
42,291,14,4,"December 17, 2020"
43,276,3,1,"December 9, 2020"
44,285,12,5,"December 30, 2020"
45,375,6,6,"January 15, 2021"
46,270,1,3,"January 20, 2021"
47,279,14,4,"January 14, 2021"
48,389,12,6,"January 16, 2021"
49,249,0,12,"February 9, 2021"
50,297,10,3,"February 16, 2021"
51,222,10,5,"March 10, 2021"
52,259,1,1,"March 10, 2021"
53,363,20,4,"March 18, 2021"
54,684,22,4,"March 17, 2021"
55,285,11,4,"March 26, 2021"
56,286,13,8,"March 13, 2021"
57,162,2,10,"March 9, 2021"
58,190,1,3,"March 30, 2021"
59,225,3,2,"March 7, 2021"
60,263,6,1,"March 31, 2021"
61,635,9,11,"March 23, 2021"
62,499,10,15,"April 27, 2021"
63,289,14,2,"April 9, 2021"
64,310,11,5,"April 5, 2021"
65,205,0,2,"April 8, 2021"
66,377,8,6,"April 27, 2021"
67,294,8,2,"April 6, 2021"
68,200,1,11,"April 19, 2021"
69,267,14,2,"April 22, 2021"
70,251,8,3,"April 3, 2021"
71,235,6,5,"April 5, 2021"
72,343,6,12,"April 6, 2021"
73,278,8,7,"April 6, 2021"
74,475,20,2,"April 22, 2021"
75,311,11,9,"May 14, 2021"
76,440,4,11,"May 26, 2021"
77,290,10,6,"May 11, 2021"
78,261,4,12,"May 20, 2021"
79,213,5,8,"May 18, 2021"
80,276,7,8,"June 21, 2021"
81,283,12,4,"June 22, 2021"
82,454,6,19,"June 8, 2021"
83,313,9,2,"July 14, 2021"
84,284,12,4,"July 22, 2021"
85,306,9,4,"July 27, 2021"
86,209,13,1,"July 23, 2021"
87,532,10,23,"July 27, 2021"
88,565,19,7,"July 24, 2021"
89,256,7,8,"July 28, 2021"
90,78,0,1,"July 27, 2021"
91,153,1,2,"July 16, 2021"
92,386,11,8,"August 3, 2021"
93,540,31,4,"August 28, 2021"
94,462,14,4,"August 25, 2021"
95,212,4,6,"August 20, 2021"
96,128,6,1,"September 4, 2021"
97,189,7,2, September 11 2021
98,113,0,9,"September 2, 2021"
99,258,11,3,"September 1, 2021"
