,nwords,npos,nneg,date
0,488,9,15,"July 9, 2019"
1,371,5,3,"August 29, 2019"
2,1811,19,71,"September 6, 2019"
3,214,1,0,"September 16, 2019"
4,582,12,10,"October 3, 2019"
5,332,13,0,"October 30, 2019"
6,371,5,2,"November 14, 2019"
7,1195,11,56,"November 29, 2019"
8,0,0,0,NONE
9,290,12,1,"January 9, 2020"
10,426,13,6,"February 20, 2020"
11,323,5,8,"March 27, 2020"
12,601,22,5,"February 15, 2020"
13,257,6,8,"March 19, 2020"
14,337,6,7,"March 20, 2020"
15,203,6,2,"March 11, 2020"
16,265,2,3,"April 1, 2020"
17,407,4,13,"May 19, 2020"
18,273,4,8,"May 27, 2020"
19,152,0,2,"June 16, 2020"
20,338,6,4,"July 14, 2020"
21,304,4,1,"July 22, 2020"
22,512,4,15,"August 19, 2020"
23,599,9,2,"September 21, 2020"
24,261,4,0,"October 1, 2020"
25,383,5,1,"September 22, 2020"
26,197,2,0,"September 29, 2020"
27,357,5,1,"October 29, 2020"
28,343,7,14,"October 27, 2020"
29,130,2,0,"October 29, 2020"
30,731,21,6,"December 1, 2020"
31,320,12,1,"December 17, 2020"
32,237,1,1,"December 11, 2020"
33,361,12,5,"December 25, 2020"
34,184,1,0,"January 12, 2021"
35,293,11,0,"February 20, 2021"
36,284,9,5,"February 18, 2021"
37,286,6,12,"February 19, 2021"
38,206,1,2,"February 18, 2021"
39,465,14,9,"February 19, 2021"
40,371,11,0,"February 18, 2021"
41,427,9,8,"February 18, 2021"
42,285,7,4,"February 19, 2021"
43,139,3,0,"February 21, 2021"
44,632,19,7,"March 21, 2021"
45,169,1,1,"March 1, 2021"
46,783,22,21,"March 21, 2021"
47,272,6,1,"March 19, 2021"
48,317,11,1,"March 6, 2021"
49,847,24,11,"March 16, 2021"
50,397,5,7,"April 7, 2021"
51,473,16,8,"April 23, 2021"
52,315,5,2,"April 6, 2021"
53,674,5,20,"April 24, 2021"
54,870,11,13,"May 17, 2021"
55,392,6,10,"May 18, 2021"
56,95,0,4,"May 25, 2021"
57,433,9,5,"May 15, 2021"
58,665,13,15,"May 28, 2021"
59,365,7,6,"May 18, 2021"
60,306,1,10,"May 16, 2021"
61,299,6,6,"May 20, 2021"
62,462,6,8,"May 13, 2021"
63,115,0,3,"May 7, 2021"
64,647,7,3,"May 4, 2021"
65,280,3,1,"June 29, 2021"
66,587,10,5,"June 3, 2021"
67,594,26,4,"June 9, 2021"
68,146,1,0,"June 4, 2021"
69,606,19,12,"June 28, 2021"
70,672,23,5,"June 17, 2021"
71,284,7,2,"June 24, 2021"
72,434,11,2,"June 3, 2021"
73,477,6,11,"June 2, 2021"
74,262,8,1,"July 27, 2021"
75,170,0,0,"July 30, 2021"
76,605,22,9,"July 30, 2021"
77,189,3,3,"July 15, 2021"
78,453,5,9,"July 20, 2021"
79,333,8,4,"July 9, 2021"
80,669,17,11,"July 22, 2021"
81,661,23,5,"July 10, 2021"
82,279,8,4,"July 29, 2021"
83,187,1,4,"July 23, 2021"
84,495,7,9,"July 24, 2021"
85,372,10,0,"July 29, 2021"
86,521,17,10,"July 27, 2021"
87,87,0,2,"July 1, 2021"
88,221,2,2,"July 14, 2021"
89,391,23,0,"July 15, 2021"
90,261,4,1,"July 12, 2021"
91,361,18,0,"July 28, 2021"
92,340,11,7,"August 16, 2021"
93,275,7,5,"August 16, 2021"
94,305,11,9,"August 12, 2021"
95,271,7,3,"August 17, 2021"
96,633,5,23,"August 26, 2021"
97,280,6,0,"August 18, 2021"
98,923,14,18,"August 16, 2021"
99,214,3,11,"August 17, 2021"
100,487,9,1,"August 18, 2021"
101,308,3,7,"August 25, 2021"
102,395,6,4,"August 18, 2021"
103,352,10,11,"August 19, 2021"
104,155,0,4,"August 7, 2021"
105,131,1,2,"August 16, 2021"
106,207,1,1,"August 24, 2021"
107,265,6,1,"September 3, 2021"
108,809,19,11, September 10 2021
109,1976,12,24, September 8 2021
110,525,10,5,"September 1, 2021"
111,665,13,6,"Thu, 9 September 2021, 11:17 am"
112,528,15,13, September 10 2021
113,552,16,0,"September 2, 2021"
114,659,11,7,"September 3, 2021"
115,263,2,2,"September 1, 2021"
116,643,28,0, September 8 2021
117,122,1,4, September 9 2021
118,127,2,3,"September 1, 2021"
119,278,6,2, September 9 2021
120,239,1,1,"September 2, 2021"
