,nwords,npos,nneg,date
0,541,9,21,05-Jul-19
1,615,9,20,28-Aug-19
2,450,6,16,14-Sep-19
3,538,10,22,18-Oct-19
4,0,0,0,01-Nov-19
5,0,0,0,01-Dec-19
6,0,0,0,01-Jan-20
7,493,10,9,13-Feb-20
8,0,0,0,01-Mar-20
9,0,0,0,01-Apr-20
10,0,0,0,01-May-20
11,0,0,0,01-Jun-20
12,0,0,0,01-Jul-20
13,379,10,7,07-Aug-20
14,268,5,2,26-Aug-20
15,383,18,8,17-Sep-20
16,749,25,9,08-Sep-20
17,811,18,25,21-Sep-20
18,0,0,0,01-Oct-20
19,756,7,33,19-Nov-20
20,392,7,1,08-Dec-20
21,1202,30,31,31-Dec-20
22,672,24,7,15-Dec-20
23,249,5,4,29-Jan-21
24,1535,25,64,17-Feb-21
25,964,35,16,02-Feb-21
26,1830,19,56,02-Feb-21
27,2108,17,55,16-Feb-21
28,271,1,5,27-Mar-21
29,4461,46,121,29-Apr-21
30,350,12,4,14-Apr-21
31,613,16,4,08-Apr-21
32,1195,35,15,18-May-21
33,1547,23,64,21-May-21
34,1221,20,55,08-Jun-21
35,905,16,41,02-Jun-21
36,0,0,0,01-Jul-21
37,687,27,7,15-Jun-21
38,328,5,9,31-Jul-21
39,132,2,1,09-Jul-21
40,5715,53,150,29-Jul-21
41,596,10,11,21-Jul-21
42,90,0,1,15-Jul-21
43,159,1,3,26-Jul-21
44,368,10,6,24-Aug-21
45,0,0,0,01-Sep-21
