,nwords,npos,nneg,date
0,371,7,10,19-Jul-19
1,263,6,2,08-Aug-19
2,205,3,5,31-Aug-19
3,475,10,13,10-Sep-19
4,0,0,0,01-Oct-19
5,0,0,0,01-Nov-19
6,510,18,3,23-Dec-19
7,340,11,10,30-Jan-20
8,0,0,0,01-Jan-20
9,0,0,0,01-Feb-20
10,0,0,0,01-Mar-20
11,0,0,0,01-Apr-20
12,0,0,0,01-May-20
13,267,6,6,17-Jun-20
14,0,0,0,01-Jul-20
15,414,4,6,12-Aug-20
16,229,3,3,11-Aug-20
17,226,5,3,11-Sep-20
18,301,8,7,28-Oct-20
19,522,6,8,09-Oct-20
20,804,29,3,10-Nov-20
21,575,11,6,18-Nov-20
22,736,25,8,01-Dec-20
23,172,4,1,14-Dec-20
24,291,10,2,27-Jan-21
25,1278,20,20,13-Jan-21
26,321,13,4,01-Jan-21
27,448,23,3,28-Jan-21
28,2577,32,26,27-Jan-21
29,211,9,3,27-Jan-21
30,0,0,0,01-Feb-21
31,219,5,0,04-Mar-21
32,196,5,2,16-Mar-21
33,345,9,4,19-Mar-21
34,730,22,7,17-Mar-21
35,313,10,7,28-Apr-21
36,630,27,17,08-Apr-21
37,851,30,4,20-Apr-21
38,256,6,4,30-Apr-21
39,1057,29,3,28-Apr-21
40,2368,32,29,28-Apr-21
41,691,22,6,23-Apr-21
42,663,13,24,20-May-21
43,228,10,6,20-May-21
44,129,4,1,28-May-21
45,950,27,8,28-May-21
46,1874,50,22,01-Jun-21
47,137,1,1,17-Jun-21
48,1287,22,22,08-Jun-21
49,683,24,8,15-Jun-21
50,128,3,1,30-Jun-21
51,1068,37,12,30-Jul-21
52,194,8,0,30-Jul-21
53,227,5,1,30-Jul-21
54,562,7,8,06-Jul-21
55,377,6,6,20-Jul-21
56,2338,27,28,28-Jul-21
57,495,16,13,21-Jul-21
58,371,19,2,31-Jul-21
59,743,2,3,19-Aug-21
60,120,1,1,17-Aug-21
61,305,11,7,25-Aug-21
62,664,11,6,10-Aug-21
63,585,23,5,02-Sep-21
