,nwords,npos,nneg,date,,,
0,654,11,2,18-Jul-19,,,
1,446,8,13,26-Jul-19,,,
2,378,10,8,18-Jul-19,,,
3,488,5,4,07-Jul-19,,,
4,381,4,9,16-Jul-19,,,
5,337,5,10,09-Aug-19,,,
6,450,3,6,01-Aug-19,,,
7,329,8,8,12-Sep-19,,,
8,217,2,3,30-Oct-19,,,
9,604,5,9,21-Oct-19,,,
10,483,7,1,20-Nov-19,,,
11,312,7,9,29-Nov-19,,,
12,0,0,0,01-Dec-19,,,
13,294,3,13,30-Jan-20,,,
14,328,1,12,24-Jan-20,,,
15,212,7,5,31-Jan-20,,,
16,404,16,16,04-Jan-20,,,
17,308,5,2,22-Jan-20,,,
18,201,3,5,18-Feb-20,,,
19,241,1,0,07-Feb-20,,,
20,226,2,4,13-Feb-20,,,
21,269,4,4,05-Feb-20,,,
22,285,0,5,04-Feb-20,,,
23,259,0,10,05-Mar-20,,,
24,363,4,18,17-Mar-20,,,
25,298,3,4,01-Apr-20,,,
26,626,11,21,15-Apr-20,,,
27,164,1,5,08-Apr-20,,,
28,394,6,5,01-May-20,,,
29,277,4,9,19-May-20,,,
30,686,20,14,23-May-20,,,
31,208,1,6,24-Jun-20,,,
32,100,0,0,17-Jun-20,,,
33,186,2,3,03-Jun-20,,,
34,339,10,4,01-Jun-20,,,
35,466,16,12,09-Jun-20,,,
36,353,8,5,16-Jun-20,,,
37,425,9,5,31-Jul-20,,,
38,448,4,57,08-Jul-20,,,
39,240,0,13,22-Jul-20,,,
40,520,16,2,28-Jul-20,,,
41,669,18,4,26-Aug-20,,,
42,731,13,9,18-Aug-20,,,
43,493,12,9,13-Aug-20,,,
44,799,6,13,16-Sep-20,,,
45,659,17,39,11-Sep-20,,,
46,674,11,4,08-Oct-20,,,
47,433,6,8,30-Oct-20,,,
48,303,5,4,30-Oct-20,,,
49,356,3,2,21-Oct-20,,,
50,662,6,22,28-Oct-20,,,
51,1616,33,14,01-Oct-20,,,
52,200,6,2,22-Oct-20,,,
53,573,9,7,16-Oct-20,,,
54,393,5,6,17-Nov-20,,,
55,372,19,4,11-Dec-20,,,
56,407,20,5,02-Dec-20,,,
57,221,3,0,31-Dec-20,,,
58,297,3,5,01-Dec-20,,,
59,197,2,0,11-Dec-20,,,
60,282,8,2,12-Dec-20,,,
61,500,9,5,02-Dec-20,,,
62,366,10,4,10-Dec-20,,,
63,2098,30,49,30-Jan-21,,,
64,515,3,10,03-Feb-21,,,
65,306,2,2,24-Mar-21,,,
66,107,1,1,24-Mar-21,,,
67,400,3,32,02-Mar-21,,,
68,214,4,4,08-Mar-21,,,
69,5084,96,62,30-Apr-21,,,
70,149,0,0,18-May-21,,,
71,275,3,3,06-May-21,,,
72,373,4,32,20-May-21,,,
73,181,3,8,27-May-21,,,
74,736,10,18,27-May-21,,,
75,427,2,7,19-May-21,,,
76,526,4,24,26-May-21,,,
77,238,6,23,29-Jun-21,,,
78,307,2,10,30-Jul-21,,,
79,129,2,0,15-Jul-21,,,
80,427,4,20,26-Aug-21,,,
81,141,0,0,01-Aug-21,,,
82,194,1,2,12-Aug-21,,,
83,413,1,20,06-Aug-21,,,
84,231,0,4,06-Aug-21,,,
85,128,5,0,11-Sep-21,,,
86,481,5,2,09-Sep-21,,,
87,258,8,2,07-Sep-21,,,
88,400,11,8,01-Sep-21,,,
89,248,2,2,10-Sep-21,,,
90,226,5,5,10-Sep-21,,,
