,nwords,npos,nneg,date
0,348,10,2,02-Jul-19
1,0,0,0,01-Aug-19
2,427,7,4,05-Sep-19
3,536,16,5,28-Oct-19
4,296,9,3,19-Oct-19
5,370,13,3,16-Oct-19
6,339,5,2,07-Nov-19
7,0,0,0,01-Dec-19
8,258,6,1,30-Jan-20
9,276,8,1,17-Jan-20
10,381,12,8,15-Jan-20
11,240,4,4,22-Feb-20
12,0,0,0,01-Mar-20
13,453,12,15,21-Apr-20
14,475,10,9,29-Apr-20
15,193,11,1,08-Apr-20
16,388,6,11,21-May-20
17,647,22,13,16-Jun-20
18,284,8,2,13-Jul-20
19,186,2,5,30-Aug-20
20,690,29,20,26-Aug-20
21,424,7,10,21-Aug-20
22,192,2,0,22-Sep-20
23,685,26,18,12-Sep-20
24,689,27,8,01-Sep-20
25,364,6,7,22-Oct-20
26,560,7,7,21-Oct-20
27,375,10,5,02-Oct-20
28,0,0,0,01-Nov-20
29,1113,5,30,19-Dec-20
30,666,27,7,08-Dec-20
31,0,0,0,01-Jan-21
32,293,5,10,13-Feb-21
33,558,19,13,02-Feb-21
34,474,11,19,11-Feb-21
35,173,2,2,20-Feb-21
36,241,8,4,19-Feb-21
37,302,10,5,12-Feb-21
38,2454,59,76,10-Feb-21
39,263,5,1,11-Feb-21
40,1616,14,43,02-Mar-21
41,657,21,5,24-Mar-21
42,1102,2,28,18-Mar-21
43,195,8,1,09-Mar-21
44,298,6,7,31-Mar-21
45,2748,22,79,29-Apr-21
46,668,18,9,28-Apr-21
47,708,14,10,30-Apr-21
48,689,22,7,22-Apr-21
49,1768,14,67,04-May-21
50,327,6,7,06-May-21
51,198,2,2,01-May-21
52,1915,14,72,15-May-21
53,674,23,7,06-May-21
54,204,5,0,16-Jun-21
55,386,17,4,22-Jun-21
56,1075,31,6,27-Jul-21
57,2336,57,13,30-Jul-21
58,1756,36,31,21-Jul-21
59,518,22,1,11-Aug-21
60,507,13,2,02-Aug-21
61,471,15,12,12-Aug-21
62,0,0,0,09-Aug-21
