,nwords,npos,nneg,date
0,0,0,0,01-Aug-19
1,577,14,5,06-Sep-19
2,591,4,8,20-Sep-19
3,590,20,4,20-Sep-19
4,0,0,0,01-Oct-19
5,0,0,0,01-Nov-19
6,419,14,10,02-Dec-19
7,404,18,3,07-Jan-20
8,296,9,2,30-Jan-20
9,0,0,0,01-Feb-20
10,186,2,3,31-Mar-20
11,542,22,14,05-Apr-20
12,294,0,4,30-Apr-20
13,397,15,2,13-Apr-20
14,364,20,2,26-May-20
15,543,30,1,21-May-20
16,304,13,3,19-Jun-20
17,285,9,3,02-Jun-20
18,327,14,2,01-Jul-20
19,308,5,6,23-Jul-20
20,1106,29,22,23-Jul-20
21,167,1,1,17-Jul-20
22,304,10,2,23-Jul-20
23,571,10,17,01-Aug-20
24,374,7,3,26-Aug-20
25,640,11,19,17-Sep-20
26,545,24,6,16-Sep-20
27,341,10,5,06-Oct-20
28,517,11,6,24-Oct-20
29,336,3,2,28-Oct-20
30,0,0,0,01-Nov-20
31,781,26,5,28-Dec-20
32,202,7,3,23-Dec-20
33,210,2,1,12-Dec-20
34,470,15,8,31-Jan-21
35,319,13,5,16-Jan-21
36,298,14,3,13-Jan-21
37,161,6,3,26-Jan-21
38,307,9,3,27-Jan-21
39,307,7,4,09-Feb-21
40,296,8,4,10-Feb-21
41,407,7,10,09-Mar-21
42,195,1,2,30-Mar-21
43,288,11,5,06-Mar-21
44,287,3,2,23-Mar-21
45,714,22,6,16-Mar-21
46,289,13,3,14-Apr-21
47,355,12,6,21-Apr-21
48,374,11,9,14-Apr-21
49,337,4,3,28-Apr-21
50,335,12,4,15-May-21
51,287,12,4,31-May-21
52,394,15,4,04-May-21
53,1116,30,11,28-May-21
54,422,18,14,04-May-21
55,269,5,7,25-Jun-21
56,295,10,4,11-Jun-21
57,291,12,5,16-Jun-21
58,1124,27,20,04-Jun-21
59,504,16,8,18-Jul-21
60,359,6,9,28-Jul-21
61,352,18,1,08-Jul-21
62,272,13,4,20-Jul-21
63,352,16,3,27-Aug-21
64,399,12,7,13-Aug-21
65,242,6,2,24-Aug-21
66,237,7,1,21-Aug-21
67,469,19,2,16-Aug-21
68,131,2,0,21-Aug-21
69,194,10,2,02-Sep-21
70,463,20,2,01-Sep-21
