,nwords,npos,nneg,date
0,0,0,0,01-Aug-19
1,0,0,0,01-Sep-19
2,402,13,6,31-Oct-19
3,0,0,0,01-Nov-19
4,495,19,17,27-Dec-19
5,296,13,5,18-Dec-19
6,0,0,0,01-Jan-20
7,0,0,0,01-Feb-20
8,50,1,0,16-Mar-20
9,0,0,0,01-Apr-20
10,0,0,0,01-May-20
11,292,10,8,01-Jun-20
12,778,30,27,03-Jun-20
13,451,8,17,23-Jul-20
14,394,10,8,26-Jul-20
15,0,0,0,01-Aug-20
16,276,9,3,19-Sep-20
17,196,5,3,14-Sep-20
18,436,5,5,21-Oct-20
19,825,20,17,19-Sep-20
20,442,13,7,26-Oct-20
21,529,18,6,25-Nov-20
22,721,27,7,01-Dec-20
23,365,7,12,02-Nov-20
24,328,7,9,11-Nov-20
25,293,11,6,10-Dec-20
26,365,8,7,23-Jan-21
27,459,22,3,16-Jan-21
28,276,11,5,13-Jan-21
29,626,25,13,23-Feb-21
30,285,7,4,27-Feb-21
31,294,13,7,11-Mar-21
32,679,21,8,24-Mar-21
33,416,15,12,31-Mar-21
34,176,4,2,24-Apr-21
35,279,10,4,20-Apr-21
36,275,4,3,05-May-21
37,693,24,10,04-May-21
38,600,22,5,16-May-21
39,285,5,3,05-May-21
40,284,11,4,03-Jun-21
41,671,23,5,15-Jun-21
42,397,7,3,28-Jul-21
43,283,9,3,20-Jul-21
44,38,0,0,28-Jul-21
45,307,9,3,28-Jul-21
46,676,17,5,09-Aug-21
47,211,6,3,11-Aug-21
48,258,5,1,19-Aug-21
49,0,0,0,01-Sep-21
