,nwords,npos,nneg,date
0,0,0,0,01-Jul-19
1,0,0,0,01-Aug-19
2,0,0,0,01-Sep-19
3,607,12,13,09-Oct-19
4,0,0,0,01-Nov-19
5,0,0,0,01-Dec-19
6,0,0,0,01-Jan-20
7,0,0,0,01-Feb-20
8,0,0,0,01-Mar-20
9,599,13,14,10-Apr-20
10,0,0,0,01-May-20
11,236,6,1,23-Jun-20
12,366,13,6,21-Jul-20
13,405,14,3,30-Jul-20
14,361,15,5,12-Aug-20
15,0,0,0,01-Sep-20
16,0,0,0,01-Oct-20
17,456,9,9,04-Nov-20
18,316,11,5,08-Dec-20
19,175,4,2,16-Dec-20
20,296,9,6,28-Jan-21
21,367,16,1,17-Jan-21
22,351,11,5,05-Feb-21
23,365,7,10,09-Feb-21
24,2723,59,47,03-Feb-21
25,444,7,5,03-Feb-21
26,102,2,3,30-Mar-21
27,679,20,7,23-Mar-21
28,308,7,6,12-Apr-21
29,421,12,6,23-Apr-21
30,117,1,1,28-Apr-21
31,292,17,3,27-Apr-21
32,146,0,1,28-Apr-21
33,674,21,3,11-May-21
34,285,15,7,13-May-21
35,106,2,3,01-Jul-21
36,715,24,10,21-Jun-21
37,585,5,8,24-Jun-21
38,467,14,10,10-Jun-21
39,303,7,6,09-Jul-21
40,347,10,6,30-Jul-21
41,197,1,8,29-Jul-21
42,216,1,2,28-Jul-21
43,244,6,5,23-Jul-21
44,407,13,19,28-Jul-21
45,306,9,9,28-Jul-21
46,485,16,16,22-Jul-21
47,105,1,2,20-Aug-21
48,411,13,9,10-Aug-21
49,532,15,6,31-Aug-21
50,401,14,9,20-Aug-21
51,120,4,0,21-Aug-21
52,517,13,15,04-Aug-21
53,652,13,25,20-Aug-21
54,212,4,0,24-Aug-21
