,nwords,npos,nneg,date
0,488,9,15,09-Jul-19
1,371,5,3,29-Aug-19
2,1811,19,71,06-Sep-19
3,214,1,0,16-Sep-19
4,582,12,10,03-Oct-19
5,332,13,0,30-Oct-19
6,371,5,2,14-Nov-19
7,1195,11,56,29-Nov-19
8,0,0,0,01-Dec-19
9,290,12,1,09-Jan-20
10,426,13,6,20-Feb-20
11,323,5,8,27-Mar-20
12,601,22,5,15-Feb-20
13,257,6,8,19-Mar-20
14,337,6,7,20-Mar-20
15,203,6,2,11-Mar-20
16,265,2,3,01-Apr-20
17,407,4,13,19-May-20
18,273,4,8,27-May-20
19,152,0,2,16-Jun-20
20,338,6,4,14-Jul-20
21,304,4,1,22-Jul-20
22,512,4,15,19-Aug-20
23,599,9,2,21-Sep-20
24,261,4,0,01-Oct-20
25,383,5,1,22-Sep-20
26,197,2,0,29-Sep-20
27,357,5,1,29-Oct-20
28,343,7,14,27-Oct-20
29,130,2,0,29-Oct-20
30,0,0,0,01-Nov-20
31,731,21,6,01-Dec-20
32,320,12,1,17-Dec-20
33,237,1,1,11-Dec-20
34,361,12,5,25-Dec-20
35,184,1,0,12-Jan-21
36,293,11,0,20-Feb-21
37,284,9,5,18-Feb-21
38,286,6,12,19-Feb-21
39,206,1,2,18-Feb-21
40,465,14,9,19-Feb-21
41,371,11,0,18-Feb-21
42,427,9,8,18-Feb-21
43,285,7,4,19-Feb-21
44,139,3,0,21-Feb-21
45,632,19,7,21-Mar-21
46,169,1,1,01-Mar-21
47,783,22,21,21-Mar-21
48,272,6,1,19-Mar-21
49,317,11,1,06-Mar-21
50,847,24,11,16-Mar-21
51,397,5,7,07-Apr-21
52,473,16,8,23-Apr-21
53,315,5,2,06-Apr-21
54,674,5,20,24-Apr-21
55,870,11,13,17-May-21
56,392,6,10,18-May-21
57,95,0,4,25-May-21
58,433,9,5,15-May-21
59,665,13,15,28-May-21
60,365,7,6,18-May-21
61,306,1,10,16-May-21
62,299,6,6,20-May-21
63,462,6,8,13-May-21
64,115,0,3,07-May-21
65,647,7,3,04-May-21
66,280,3,1,29-Jun-21
67,587,10,5,03-Jun-21
68,594,26,4,09-Jun-21
69,146,1,0,04-Jun-21
70,606,19,12,28-Jun-21
71,672,23,5,17-Jun-21
72,284,7,2,24-Jun-21
73,434,11,2,03-Jun-21
74,477,6,11,02-Jun-21
75,262,8,1,27-Jul-21
76,170,0,0,30-Jul-21
77,605,22,9,30-Jul-21
78,189,3,3,15-Jul-21
79,453,5,9,20-Jul-21
80,333,8,4,09-Jul-21
81,669,17,11,22-Jul-21
82,661,23,5,10-Jul-21
83,279,8,4,29-Jul-21
84,187,1,4,23-Jul-21
85,495,7,9,24-Jul-21
86,372,10,0,29-Jul-21
87,521,17,10,27-Jul-21
88,87,0,2,01-Jul-21
89,221,2,2,14-Jul-21
90,391,23,0,15-Jul-21
91,261,4,1,12-Jul-21
92,361,18,0,28-Jul-21
93,340,11,7,16-Aug-21
94,275,7,5,16-Aug-21
95,305,11,9,12-Aug-21
96,271,7,3,17-Aug-21
97,633,5,23,26-Aug-21
98,280,6,0,18-Aug-21
99,923,14,18,16-Aug-21
100,214,3,11,17-Aug-21
101,487,9,1,18-Aug-21
102,308,3,7,25-Aug-21
103,395,6,4,18-Aug-21
104,352,10,11,19-Aug-21
105,155,0,4,07-Aug-21
106,131,1,2,16-Aug-21
107,207,1,1,24-Aug-21
108,265,6,1,03-Sep-21
109,809,19,11,10-Sep-21
110,1976,12,24,08-Sep-21
111,525,10,5,08-Sep-21
112,665,13,6,09-Sep-21
113,528,15,13,10-Sep-21
114,552,16,0,02-Sep-21
115,659,11,7,03-Sep-21
116,263,2,2,01-Sep-21
117,643,28,0,08-Sep-21
118,122,1,4,09-Sep-21
119,127,2,3,01-Sep-21
120,278,6,2,09-Sep-21
121,239,1,1,02-Sep-21
