Date,AMD,next_month,nnext_month,yield
2019-07-31,30.45,28.99,33.93,0.1142857142857143
2019-08-31,31.45,33.93,39.15,0.24483306836248012
2019-09-30,28.99,39.15,45.86,0.5819248016557435
2019-10-31,33.93,45.86,47.0,0.38520483348069556
2019-11-30,39.15,47.0,45.48,0.16168582375478924
2019-12-31,45.86,45.48,45.48,-0.008286088094199794
2020-01-31,47.0,45.48,52.39,0.1146808510638298
2020-02-29,45.48,52.39,53.8,0.18293755496921726
2020-03-31,45.48,53.8,52.61,0.15677220756376437
2020-04-30,52.39,52.61,77.43,0.47795380797862197
2020-05-31,53.8,77.43,90.82,0.6881040892193309
2020-06-30,52.61,90.82,81.99,0.5584489640752708
2020-07-31,77.43,81.99,75.29,-0.02763786646002842
2020-08-31,90.82,75.29,92.66,0.02025985465756445
2020-09-30,81.99,92.66,91.71,0.11855104281009879
2020-10-31,75.29,91.71,85.64,0.13746845530614946
2020-11-30,92.66,85.64,84.51,-0.08795596805525568
2020-12-31,91.71,84.51,78.5,-0.14404099880056695
2021-01-31,85.64,78.5,81.62,-0.04694068192433438
2021-02-28,84.51,81.62,80.08,-0.0524198319725477
2021-03-31,78.5,80.08,93.93,0.19656050955414023
2021-04-30,81.62,93.93,106.19,0.3010291595197255
2021-05-31,80.08,106.19,110.72,0.38261738261738265
2021-06-30,93.93,110.72,0.0,-1.0
2021-07-31,106.19,0.0,0.0,-1.0
2021-08-31,110.72,0.0,0.0,-1.0
