Date,FB,next_month,nnext_month,yield
2019-07-31,194.23,178.08,191.65,-0.013283220923647142
2019-08-31,185.67,191.65,201.64,0.08601281844132062
2019-09-30,178.08,201.64,205.25,0.1525718778077268
2019-10-31,191.65,205.25,201.91,0.05353509000782672
2019-11-30,201.64,201.91,192.47,-0.04547708787938895
2019-12-31,205.25,192.47,166.8,-0.18733252131546888
2020-01-31,201.91,166.8,204.71,0.013867564756574769
2020-02-29,192.47,204.71,225.09,0.16948095807138777
2020-03-31,166.8,225.09,227.07,0.36133093525179844
2020-04-30,204.71,227.07,253.67,0.23916760295051526
2020-05-31,225.09,253.67,293.2,0.3025900750810786
2020-06-30,227.07,293.2,261.9,0.15338882282996427
2020-07-31,253.67,261.9,263.11,0.0372137028422755
2020-08-31,293.2,263.11,276.97,-0.055354706684856626
2020-09-30,261.9,276.97,273.16,0.0429935089728906
2020-10-31,263.11,273.16,258.33,-0.01816730644977397
2020-11-30,276.97,258.33,257.62,-0.0698631620753151
2020-12-31,273.16,257.62,294.53,0.07823253770683829
2021-01-31,258.33,294.53,325.08,0.258390430844269
2021-02-28,257.62,325.08,328.73,0.2760267060010869
2021-03-31,294.53,328.73,347.71,0.18055885648321057
2021-04-30,325.08,347.71,356.3,0.09603789836347985
2021-05-31,328.73,356.3,379.38,0.15407781461990075
2021-06-30,347.71,379.38,0.0,-1.0
2021-07-31,356.3,0.0,0.0,-1.0
2021-08-31,379.38,0.0,0.0,-1.0
